Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																		
Дата голосования: 02.12.2007																																		
																																		
Наименование Избирательной комиссии:    ТИК Карагайского МР																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327					
1	"Число избирателей, внесенных в списки избирателей"	18201	293	165	1324	652	364	637	247	1179	297	491	1412	1517	1173	657	197	1223	1198	709	753	681	665	318	957	190	367	271	264					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17793	300	168	1300	645	379	620	223	1150	280	478	1400	1337	1100	662	208	1200	1200	686	740	695	670	322	970	194	374	259	233					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8006	124	73	644	221	206	161	134	469	76	112	749	781	639	303	122	573	551	232	197	209	326	193	312	87	214	142	156					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2557	53	26	16	113	86	253	28	190	91	139	50	104	32	123	16	26	16	143	249	213	76	35	297	43	57	38	44					
6	Число погашенных избирательных бюллетеней	7230	123	69	640	311	87	206	61	491	113	227	601	452	429	236	70	601	633	311	294	273	268	94	361	64	103	79	33					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2557	53	26	16	113	86	253	28	190	91	139	50	104	32	123	16	26	16	143	249	213	76	35	297	43	57	38	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8006	124	73	644	221	206	161	134	469	76	112	749	781	639	303	122	573	551	232	197	209	326	193	312	87	214	142	156					
9	Число недействительных избирательных бюллетеней	89	0	1	3	6	3	2	6	4	1	1	10	4	3	3	1	6	10	2	1	3	6	1	2	1	4	3	2					
10	Число действительных избирательных бюллетеней	10474	177	98	657	328	289	412	156	655	166	250	789	881	668	423	137	593	557	373	445	419	396	227	607	129	267	177	198					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	392	10	7	20	15	20	15	10	20	7	10	20	20	20	16	7	25	20	15	17	16	15	10	20	5	15	7	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	201	6	1	10	4	18	4	3	3	4	2	11	16	12	11	5	22	20	3	2	7	9	0	9	0	12	3	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	90	2	3	2	3	2	2	2	2	3	0	7	10	7	5	2	4	4	3	3	2	6	2	5	3	0	0	6					
14	Число погашенных неиспользованных открепительных удостоверений	191	4	6	10	11	2	11	7	17	3	8	9	4	8	5	2	3	0	12	15	9	6	10	11	5	3	4	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	1.Политическая партия «Аграрная партия России»	423	7	0	33	18	19	16	1	23	3	12	25	30	28	21	9	22	12	10	15	15	12	15	30	9	6	8	24					
		4.00%	3.95%	0.00%	5.00%	5.39%	6.51%	3.86%	0.62%	3.49%	1.80%	4.78%	3.13%	3.39%	4.17%	4.93%	6.52%	3.67%	2.12%	2.67%	3.36%	3.55%	2.99%	6.58%	4.93%	6.92%	2.21%	4.44%	12.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	56	2	0	5	3	0	1	0	3	1	0	6	10	8	4	1	2	1	1	0	1	3	0	2	0	0	2	0					
		0.53%	1.13%	0.00%	0.76%	0.90%	0.00%	0.24%	0.00%	0.46%	0.60%	0.00%	0.75%	1.13%	1.19%	0.94%	0.72%	0.33%	0.18%	0.27%	0.00%	0.24%	0.75%	0.00%	0.33%	0.00%	0.00%	1.11%	0.00%					
20	3.Политическая партия «Демократическая партия России»	14	0	0	0	0	0	1	0	1	0	1	1	2	3	0	1	0	0	0	0	0	1	1	2	0	0	0	0					
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.15%	0.00%	0.40%	0.13%	0.23%	0.45%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.44%	0.33%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	662	6	3	60	25	14	23	5	26	8	7	47	63	71	35	12	44	36	28	14	22	15	10	52	5	5	11	15					
		6.27%	3.39%	3.03%	9.09%	7.49%	4.79%	5.56%	3.09%	3.95%	4.79%	2.79%	5.88%	7.12%	10.58%	8.22%	8.70%	7.35%	6.35%	7.47%	3.14%	5.21%	3.73%	4.39%	8.54%	3.85%	1.85%	6.11%	7.50%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	111	2	0	14	0	5	3	1	3	0	2	11	16	10	7	5	5	5	6	4	4	1	1	2	1	3	0	0					
		1.05%	1.13%	0.00%	2.12%	0.00%	1.71%	0.72%	0.62%	0.46%	0.00%	0.80%	1.38%	1.81%	1.49%	1.64%	3.62%	0.83%	0.88%	1.60%	0.90%	0.95%	0.25%	0.44%	0.33%	0.77%	1.11%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	14	0	0	0	0	1	0	0	2	0	0	3	0	1	1	0	1	0	2	2	1	0	0	0	0	0	0	0					
