Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Иркутская - 94																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №772	УИК №776	УИК №777	УИК №778	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №1924									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36520	553	207	213	221	99	37	2068	1319	1593	775	879	320	106	359	2285	238	522	409	444	173	170	476	318	613	436	199	600	1538	1393	323	626	1424	161	182	149	167	661	850	1580	1527	2405	1516	1989	548	652	260	756	353	144	358	1326									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32785	540	205	210	220	100	40	1700	1100	1300	650	800	290	115	350	2000	240	500	400	440	175	175	640	330	600	400	200	560	1400	1000	350	570	1300	165	185	150	170	640	830	1500	1200	2000	1300	1700	550	600	255	720	330	150	340	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11560	125	53	70	61	30	18	701	321	780	281	240	95	46	96	459	37	116	90	115	60	51	343	261	210	205	77	176	479	566	218	136	342	70	56	65	72	190	275	588	376	734	333	477	119	187	120	252	131	42	136	479									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	705	15	9	5	6	1	0	34	38	32	15	26	9	0	19	45	0	11	24	7	4	15	35	0	25	6	19	14	34	27	11	0	47	0	8	2	0	12	7	8	8	7	7	21	10	13	0	4	12	10	24	19									
6	Число погашенных избирательных бюллетеней	20520	400	143	135	153	69	22	965	741	488	354	534	186	69	235	1496	203	373	286	318	111	109	262	69	365	189	104	370	887	407	121	434	911	95	121	83	98	438	548	904	816	1259	960	1202	421	400	135	464	187	98	180	602									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	705	15	9	5	6	1	0	34	38	32	15	26	9	0	19	45	0	11	24	7	4	15	35	0	25	6	19	14	34	27	11	0	47	0	8	2	0	12	7	8	8	7	7	21	10	13	0	4	12	10	24	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11556	125	53	70	61	30	18	701	321	780	281	240	95	46	93	459	37	116	90	115	60	51	343	261	210	205	77	176	479	566	218	136	342	70	56	65	71	190	275	588	376	734	333	477	119	187	120	252	131	42	136	479									
9	Число недействительных избирательных бюллетеней	298	3	2	0	0	0	0	13	7	12	15	10	2	2	3	8	1	3	0	2	1	1	12	11	7	5	5	3	15	17	3	1	5	0	5	0	1	7	9	18	11	8	12	15	5	5	3	11	0	2	8	9									
10	Число действительных избирательных бюллетеней	11963	137	60	75	67	31	18	722	352	800	281	256	102	44	109	496	36	124	114	120	63	65	366	250	228	206	91	187	498	576	226	135	384	70	59	67	70	195	273	578	373	733	328	483	124	195	117	245	143	50	152	489									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	800	15	10	10	10	10	10	25	20	25	20	10	10	10	10	20	10	10	10	10	10	15	10	10	10	10	10	10	20	30	20	20	20	10	10	10	10	15	15	40	30	30	25	25	25	25	15	10	10	10	10	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	265	3	0	0	0	0	0	11	10	14	8	1	1	2	1	10	1	0	2	0	1	0	5	7	6	2	0	4	10	22	8	5	15	0	1	0	0	4	11	36	9	19	2	10	0	2	7	2	1	0	0	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	360	0	0	2	2	0	0	7	3	7	7	1	4	0	3	2	0	1	2	1	2	0	179	3	6	1	2	1	8	5	41	3	0	1	0	3	1	1	3	5	3	11	9	6	3	10	0	1	8	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	535	12	10	10	10	10	10	14	10	11	12	9	9	8	9	10	9	10	8	10	9	15	5	3	4	8	10	6	10	8	12	15	5	10	9	10	10	11	4	4	21	11	23	15	25	23	8	8	9	10	10	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	164	2	0	0	1	1	0	3	4	17	0	1	0	0	0	2	0	3	2	1	0	2	2	8	4	1	1	0	9	7	4	3	6	1	1	1	3	4	4	17	10	14	2	5	2	1	1	4	1	0	0	9									
		1.34%	1.43%	0.00%	0.00%	1.49%	3.23%	0.00%	0.41%	1.11%	2.09%	0.00%	0.38%	0.00%	0.00%	0.00%	0.40%	0.00%	2.36%	1.75%	0.82%	0.00%	3.03%	0.53%	3.07%	1.70%	0.47%	1.04%	0.00%	1.75%	1.18%	1.75%	2.21%	1.54%	1.43%	1.56%	1.49%	4.23%	1.98%	1.42%	2.85%	2.60%	1.89%	0.59%	1.00%	1.55%	0.50%	0.83%	1.56%	0.70%	0.00%	0.00%	1.81%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	405	6	4	3	6	0	2	32	14	16	16	8	4	2	3	12	2	2	9	8	1	2	12	7	16	2	0	3	12	20	5	2	18	2	4	4	4	8	18	12	13	19	5	24	1	11	0	12	2	0	5	12									
		3.30%	4.29%	6.45%	4.00%	8.96%	0.00%	11.11%	4.35%	3.90%	1.97%	5.41%	3.01%	3.85%	4.35%	2.68%	2.38%	5.41%	1.57%	7.89%	6.56%	1.56%	3.03%	3.17%	2.68%	6.81%	0.95%	0.00%	1.58%	2.34%	3.37%	2.18%	1.47%	4.63%	2.86%	6.25%	5.97%	5.63%	3.96%	6.38%	2.01%	3.39%	2.56%	1.47%	4.82%	0.78%	5.50%	0.00%	4.69%	1.40%	0.00%	3.13%	2.41%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	231	1	0	0	1	0	0	20	8	19	6	3	0	0	2	13	0	3	0	2	0	0	2	6	6	1	0	4	4	18	3	1	8	0	2	3	2	3	4	6	5	16	7	5	2	6	4	7	2	1	5	20									
		1.88%	0.71%	0.00%	0.00%	1.49%	0.00%	0.00%	2.72%	2.23%	2.34%	2.03%	1.13%	0.00%	0.00%	1.79%	2.58%	0.00%	2.36%	0.00%	1.64%	0.00%	0.00%	0.53%	2.30%	2.55%	0.47%	0.00%	2.11%	0.78%	3.04%	1.31%	0.74%	2.06%	0.00%	3.13%	4.48%	2.82%	1.49%	1.42%	1.01%	1.30%	2.16%	2.06%	1.00%	1.55%	3.00%	3.33%	2.73%	1.40%	1.92%	3.13%	4.02%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5446	46	18	35	33	16	9	345	126	358	123	136	47	24	40	233	21	66	53	61	38	29	189	109	114	154	44	103	234	231	123	47	132	34	36	35	41	87	95	314	160	243	158	211	49	77	54	126	78	28	69	214									
		44.42%	32.86%	29.03%	46.67%	49.25%	51.61%	50.00%	46.94%	35.10%	44.09%	41.55%	51.13%	45.19%	52.17%	35.71%	46.23%	56.76%	51.97%	46.49%	50.00%	59.38%	43.94%	50.00%	41.76%	48.51%	72.99%	45.83%	54.21%	45.61%	38.95%	53.71%	34.56%	33.93%	48.57%	56.25%	52.24%	57.75%	43.07%	33.69%	52.68%	41.67%	32.79%	46.47%	42.37%	37.98%	38.50%	45.00%	49.22%	54.55%	53.85%	43.13%	42.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	133	0	0	0	0	0	0	5	1	16	5	4	1	2	0	3	0	0	2	2	0	1	6	2	0	1	2	1	5	11	1	3	4	1	0	0	0	5	4	12	3	9	3	6	0	5	3	1	1	0	1	1									
		1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.28%	1.97%	1.69%	1.50%	0.96%	4.35%	0.00%	0.60%	0.00%	0.00%	1.75%	1.64%	0.00%	1.52%	1.59%	0.77%	0.00%	0.47%	2.08%	0.53%	0.97%	1.85%	0.44%	2.21%	1.03%	1.43%	0.00%	0.00%	0.00%	2.48%	1.42%	2.01%	0.78%	1.21%	0.88%	1.20%	0.00%	2.50%	2.50%	0.39%	0.70%	0.00%	0.63%	0.20%									
24	"6. Политическая партия ""Гражданская Платформа"""	67	2	0	0	1	0	1	1	2	5	0	2	0	0	1	2	0	0	0	0	0	0	4	3	1	0	0	0	1	5	0	2	2	0	1	0	0	0	1	5	4	5	3	9	1	0	0	1	0	0	0	2									
		0.55%	1.43%	0.00%	0.00%	1.49%	0.00%	5.56%	0.14%	0.56%	0.62%	0.00%	0.75%	0.00%	0.00%	0.89%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.06%	1.15%	0.43%	0.00%	0.00%	0.00%	0.19%	0.84%	0.00%	1.47%	0.51%	0.00%	1.56%	0.00%	0.00%	0.00%	0.35%	0.84%	1.04%	0.67%	0.88%	1.81%	0.78%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.40%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2180	27	13	13	2	6	4	128	100	144	45	33	23	3	26	68	8	27	21	9	13	12	89	64	35	27	16	30	85	95	40	22	84	21	8	13	4	32	46	105	82	133	70	75	20	26	27	42	29	10	30	95									
		17.78%	19.29%	20.97%	17.33%	2.99%	19.35%	22.22%	17.41%	27.86%	17.73%	15.20%	12.41%	22.12%	6.52%	23.21%	13.49%	21.62%	21.26%	18.42%	7.38%	20.31%	18.18%	23.54%	24.52%	14.89%	12.80%	16.67%	15.79%	16.57%	16.02%	17.47%	16.18%	21.59%	30.00%	12.50%	19.40%	5.63%	15.84%	16.31%	17.62%	21.35%	17.95%	20.59%	15.06%	15.50%	13.00%	22.50%	16.41%	20.28%	19.23%	18.75%	19.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	101	3	1	2	0	0	0	4	5	10	0	2	0	1	0	1	0	1	1	0	0	0	1	2	4	1	0	1	5	5	4	2	0	0	1	0	0	2	4	10	1	18	1	3	1	1	0	0	0	1	0	2									
		0.82%	2.14%	1.61%	2.67%	0.00%	0.00%	0.00%	0.54%	1.39%	1.23%	0.00%	0.75%	0.00%	2.17%	0.00%	0.20%	0.00%	0.79%	0.88%	0.00%	0.00%	0.00%	0.26%	0.77%	1.70%	0.47%	0.00%	0.53%	0.97%	0.84%	1.75%	1.47%	0.00%	0.00%	1.56%	0.00%	0.00%	0.99%	1.42%	1.68%	0.26%	2.43%	0.29%	0.60%	0.78%	0.50%	0.00%	0.00%	0.00%	1.92%	0.00%	0.40%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	120	0	0	0	0	0	0	4	3	11	4	1	0	0	0	4	0	1	1	1	0	0	0	1	2	1	1	0	5	10	1	2	4	1	0	0	1	3	4	5	1	21	4	6	5	0	1	0	0	0	0	11									
		0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.84%	1.35%	1.35%	0.38%	0.00%	0.00%	0.00%	0.79%	0.00%	0.79%	0.88%	0.82%	0.00%	0.00%	0.00%	0.38%	0.85%	0.47%	1.04%	0.00%	0.97%	1.69%	0.44%	1.47%	1.03%	1.43%	0.00%	0.00%	1.41%	1.49%	1.42%	0.84%	0.26%	2.83%	1.18%	1.20%	3.88%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	2.21%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	27	0	0	2	0	0	0	1	1	2	1	1	0	1	0	1	0	0	0	0	0	0	5	0	0	0	0	1	1	1	2	0	1	0	0	0	1	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0									
		0.22%	0.00%	0.00%	2.67%	0.00%	0.00%	0.00%	0.14%	0.28%	0.25%	0.34%	0.38%	0.00%	2.17%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%	0.53%	0.19%	0.17%	0.87%	0.00%	0.26%	0.00%	0.00%	0.00%	1.41%	0.00%	0.00%	0.50%	0.26%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	100	1	0	0	0	0	0	11	3	5	2	1	0	0	0	5	0	0	0	1	2	1	5	2	1	0	0	3	6	5	3	5	3	0	0	0	0	1	3	5	4	8	0	6	0	0	1	3	2	0	1	1									
