Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    Хлевенская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884					
1	"Число избирателей, внесенных в списки избирателей"	16821	491	85	598	954	264	82	1484	174	535	480	1015	1495	203	187	94	545	1116	505	152	532	199	512	187	2528	1567	837					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16385	500	85	600	900	260	80	1460	160	530	480	980	1430	200	170	90	530	1100	500	150	530	190	500	180	2400	1560	820					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9235	301	83	313	588	172	52	946	98	184	267	619	746	122	123	58	310	501	274	95	292	65	283	92	1260	948	443					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2464	95	0	144	144	68	22	187	26	181	101	152	209	58	33	27	131	119	63	42	140	89	127	68	145	53	40					
6	Число погашенных избирательных бюллетеней	4686	104	2	143	168	20	6	327	36	165	112	209	475	20	14	5	89	480	163	13	98	36	90	20	995	559	337					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2464	95	0	144	144	68	22	187	26	181	101	152	209	58	33	27	131	119	63	42	140	89	127	68	145	53	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9235	301	83	313	588	172	52	946	98	184	267	619	746	122	123	58	310	501	274	95	292	65	283	92	1260	948	443					
9	Число недействительных избирательных бюллетеней	247	0	0	4	98	2	0	19	0	2	8	1	4	3	3	1	0	56	6	7	3	0	1	0	16	12	1					
10	Число действительных избирательных бюллетеней	11452	396	83	453	634	238	74	1114	124	363	360	770	951	177	153	84	441	564	331	130	429	154	409	160	1389	989	482					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	246	5	2	10	15	5	2	25	3	10	10	15	25	7	3	2	10	10	10	3	10	3	10	3	16	25	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	80	1	1	3	3	0	0	4	0	1	3	2	8	1	1	0	0	5	0	1	3	1	0	1	15	21	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	80	1	0	1	3	2	1	6	1	1	3	2	7	2	7	3	3	3	1	1	7	7	0	1	8	5	4					
14	Число погашенных неиспользованных открепительных удостоверений	166	4	1	7	12	5	2	21	3	9	7	13	17	6	2	2	10	5	10	2	7	2	10	2	1	4	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	1.Политическая партия «Аграрная партия России»	200	5	2	10	4	3	0	21	5	3	5	3	23	8	4	0	12	9	4	0	9	2	14	0	27	23	4					
		1.71%	1.26%	2.41%	2.19%	0.55%	1.25%	0.00%	1.85%	4.03%	0.82%	1.36%	0.39%	2.41%	4.44%	2.56%	0.00%	2.72%	1.45%	1.19%	0.00%	2.08%	1.30%	3.41%	0.00%	1.92%	2.30%	0.83%					
19	2.Всероссийская политическая партия «Гражданская Сила»	28	0	0	0	1	0	2	1	1	1	0	1	4	1	0	0	1	2	0	0	1	1	3	0	5	2	1					
