Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Павлово-Посадская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131					
1	"Число избирателей, внесенных в списки избирателей"	66595	338	1024	2407	1825	629	916	1249	1732	1503	2345	1573	1757	1235	1228	1561	1358	1664	1434	2662	1849	1687	2188	2277	2046	1866	1568	1527	1403	1589	1674	1239	994	936	2105	1823	755	243	323	903	350	1547	187	2630	548	739	259	1838	372	288	402					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	66480	400	1050	2400	1800	600	900	1200	1700	1500	2250	1550	1750	1250	1200	1550	1350	1650	1450	2650	1850	1700	2200	2250	2100	1850	1550	1550	1400	1600	1700	1150	1000	900	2150	1850	750	240	320	930	270	1550	230	2650	540	750	280	1850	400	310	410					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	32870	246	519	1254	927	328	494	628	941	740	1188	815	903	573	594	763	661	897	620	1287	945	727	1103	1120	1070	991	648	788	807	716	810	627	369	442	1116	810	366	72	135	358	94	650	94	1352	247	332	174	1024	138	167	200					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3137	85	47	52	105	24	49	21	51	41	82	55	50	55	45	75	32	37	58	29	30	58	30	62	72	30	53	28	32	48	31	85	127	61	64	84	51	69	64	142	161	111	37	110	82	111	38	79	86	32	76					
6	Число погашенных избирательных бюллетеней	30473	69	484	1094	768	248	357	551	708	719	980	680	797	622	561	712	657	716	772	1334	875	915	1067	1068	958	829	849	734	561	836	859	438	504	397	970	956	333	99	121	430	15	789	99	1188	211	307	68	747	176	111	134					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3137	85	47	52	105	24	49	21	51	41	82	55	50	55	45	75	32	37	58	29	30	58	30	62	72	30	53	28	32	48	31	85	127	61	64	84	51	69	64	142	161	111	37	110	82	111	38	79	86	32	76					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32847	246	519	1253	927	328	494	626	941	740	1187	815	901	572	594	763	661	887	620	1286	944	727	1103	1119	1070	990	648	788	806	716	809	627	369	442	1116	810	366	72	135	358	94	650	94	1352	247	332	174	1024	138	167	200					
9	Число недействительных избирательных бюллетеней	447	7	6	12	5	3	4	8	13	13	24	12	8	7	7	10	6	13	15	20	14	8	13	13	22	7	9	17	10	7	5	7	8	6	20	13	9	2	0	3	2	7	0	22	4	0	3	17	1	1	4					
10	Число действительных избирательных бюллетеней	35537	324	560	1293	1027	349	539	639	979	768	1245	858	943	620	632	828	687	911	663	1295	960	777	1120	1168	1120	1013	692	799	828	757	835	705	488	497	1160	881	408	139	199	497	253	754	131	1440	325	443	209	1086	223	198	272					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1692	0	34	54	33	15	23	24	31	32	43	27	25	47	24	19	18	29	40	48	42	35	37	35	58	32	59	40	26	30	51	33	35	11	54	70	27	5	20	44	10	26	50	60	15	31	30	61	50	30	19					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1688	0	34	54	33	15	23	24	30	32	43	27	25	47	24	19	18	29	40	48	42	35	37	35	58	32	59	40	26	30	51	33	33	11	53	70	27	5	20	44	10	26	50	60	15	31	30	61	50	30	19					
