Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Омская																																																																																						
																																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																						
																																																																																						
		Сумма	УИК  1420	УИК  1421	УИК  1422	УИК  1423	УИК  1424	УИК  1425	УИК  1426	УИК  1427	УИК  1428	УИК  1429	УИК  1430	УИК  1431	УИК  1432	УИК  1433	УИК  1434	УИК  1435	УИК  1436	УИК  1437	УИК  1438	УИК  1439	УИК  1440	УИК  1441	УИК  1442	УИК  1443	УИК  1444	УИК  1445	УИК  1446	УИК  1447	УИК  1448	УИК  1449	УИК  1450	УИК  1451	УИК  1452	УИК  1453	УИК  1454	УИК  1455	УИК  1456	УИК  1457	УИК  1458	УИК  1459	УИК  1460	УИК  1461	УИК  1462	УИК  1463	УИК  1464	УИК  1465	УИК  1466	УИК  1467	УИК  1468	УИК  1469	УИК  1470	УИК  1471	УИК  1472	УИК  1473	УИК  1474	УИК  1475	УИК  1476	УИК  1477	УИК  1478	УИК  1479	УИК  1480	УИК  1481	УИК  1482	УИК  1483	УИК  1484	УИК  1485	УИК  1486	УИК  1487	УИК  1488	УИК  1489	УИК  1490	УИК  1491	УИК  1492	УИК  1493	УИК  1494	УИК  1495	УИК  1496	УИК  1497	УИК  1498					
1	"Число избирателей, внесенных в списки"	69937	1034	165	203	229	1136	729	1143	157	1450	1390	1466	1898	852	314	667	1202	260	2504	1668	159	1055	175	1430	1115	275	1839	194	357	181	2109	954	340	2397	752	224	185	248	1907	1823	2078	1808	998	767	699	1346	350	1952	1949	677	599	1403	335	371	1503	1471	999	1317	238	1453	1632	371	1059	221	220	1201	135	141	258	139	191	133	1568	457	132	1163	337	856	223	1001					
2	"Число бюллетеней, полученных участковыми комиссиями"	65373	1000	160	200	220	1100	700	1000	150	1300	1200	1300	1700	800	290	650	1100	260	2400	1500	160	1000	170	1300	1100	290	1700	190	350	176	2000	900	340	2100	650	225	180	220	1750	1700	1900	1600	900	750	680	1300	350	1800	1800	660	600	1250	320	360	1400	1400	990	1200	230	1350	1450	370	1000	215	215	1100	135	140	260	145	206	130	1500	450	130	1100	336	840	340	940					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	38533	608	127	136	184	649	259	542	107	746	752	723	1151	341	179	349	630	157	1800	991	124	666	125	821	507	185	870	116	225	133	1019	372	159	1181	475	192	100	208	1181	950	1227	925	512	364	311	646	183	914	993	424	401	686	207	147	855	834	512	709	107	641	926	166	655	153	162	790	84	117	166	94	137	94	821	234	79	743	236	472	214	552					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2161	23	0	0	0	75	83	73	29	6	12	12	25	0	0	15	35	17	75	37	0	70	9	89	29	56	35	10	13	8	63	29	24	37	20	0	6	2	26	32	9	10	12	20	19	5	13	143	31	30	32	31	44	35	17	8	19	38	23	81	75	24	38	25	3	44	10	7	21	17	10	5	38	19	2	42	15	57	5	9					
6	Число погашенных бюллетеней	24679	369	33	64	36	376	358	385	14	548	436	565	524	459	111	286	435	86	525	472	36	264	36	390	564	49	795	64	112	35	918	499	157	882	155	33	74	10	543	718	664	665	376	366	350	649	154	743	776	206	167	533	69	178	528	558	459	453	100	628	449	180	307	37	50	266	41	16	73	34	59	31	641	197	49	315	85	311	121	379					
7	Число бюллетеней в переносных ящиках для голосования	2161	23	0	0	0	75	83	73	29	6	12	12	25	0	0	15	35	17	75	37	0	70	9	89	29	56	35	10	13	8	63	29	24	37	20	0	6	2	26	32	9	10	12	20	19	5	13	143	31	30	32	31	44	35	17	8	19	38	23	81	75	24	38	25	3	44	10	7	21	17	10	5	38	19	2	42	15	57	5	9					
8	Число бюллетеней в стационарных ящиках для голосования	38523	608	127	136	184	646	259	542	107	743	752	722	1151	341	179	349	630	157	1800	991	124	666	125	821	507	185	870	116	225	133	1019	372	158	1181	475	192	100	208	1181	950	1227	925	512	364	311	646	183	914	993	424	401	686	207	147	855	834	512	709	107	641	926	166	655	153	162	788	84	117	166	94	137	94	821	234	79	743	236	472	214	552					
9	Число недействительных бюллетеней	646	23	2	1	3	18	5	14	0	9	9	14	21	1	2	3	23	3	26	22	0	9	3	0	7	0	9	4	3	1	11	0	5	3	7	3	3	0	17	24	14	13	5	0	7	8	2	8	8	9	11	20	12	5	7	18	6	6	4	12	3	17	32	4	7	12	0	4	3	0	2	0	16	7	0	29	2	9	10	6					
10	Число действительных бюллетеней	40038	608	125	135	181	703	337	601	136	740	755	720	1155	340	177	361	642	171	1849	1006	124	727	131	910	529	241	896	122	235	140	1071	401	177	1215	488	189	103	210	1190	958	1222	922	519	384	323	643	194	1049	1016	445	422	697	239	177	865	824	525	741	126	710	998	173	661	174	158	820	94	120	184	111	145	99	843	246	81	756	249	520	209	555					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	820	10	5	5	5	10	10	10	5	15	15	15	20	5	5	10	10	5	20	10	5	20	5	10	10	5	10	5	5	5	20	15	5	20	10	5	5	5	20	20	20	20	10	10	10	10	5	10	10	10	5	10	5	5	15	15	5	10	5	10	15	5	10	5	5	20	10	10	15	10	15	10	15	5	5	10	5	20	15	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	193	0	0	0	1	0	0	5	0	3	3	6	2	0	0	4	1	0	7	4	0	1	1	0	5	5	7	0	0	0	17	4	0	17	8	1	0	0	6	6	3	4	1	2	2	9	2	4	3	0	0	9	0	0	4	1	1	3	0	0	1	1	6	0	0	0	0	0	0	0	0	0	4	0	3	3	1	3	6	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	313	3	0	0	0	6	0	0	0	5	3	2	2	2	1	5	2	0	2	10	0	7	0	4	2	1	6	0	3	0	9	5	0	1	6	2	3	1	7	3	2	4	6	2	8	4	4	6	8	0	1	2	0	3	3	2	1	7	4	0	2	1	3	2	3	3	0	0	2	2	0	0	4	2	0	2	0	20	21	76					
14	Число погашенных открепительных удостоверений	627	10	5	5	4	10	10	5	5	12	12	9	18	5	5	6	9	5	13	6	5	19	4	10	5	0	3	5	5	5	3	11	5	3	2	4	5	5	14	14	17	16	9	8	8	1	3	6	7	10	5	1	5	5	11	14	4	7	5	10	14	4	4	5	5	20	10	10	15	10	15	10	11	5	2	7	4	17	9	17					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																						
18	"1. ""ЕДИНЕНИЕ"""	687	12	6	0	6	14	2	10	1	13	9	8	13	6	1	8	11	11	20	20	3	15	7	14	6	8	7	3	3	5	14	2	5	19	10	1	0	0	12	17	8	14	11	5	6	14	2	26	14	7	8	19	9	2	8	14	8	13	2	24	26	0	17	2	7	19	5	0	6	1	3	3	15	5	2	12	8	10	3	7					
		1.68%	1.90%	4.72%	0.0%	3.26%	1.94%	0.58%	1.62%	0.73%	1.73%	1.17%	1.08%	1.10%	1.75%	0.55%	2.19%	1.65%	6.32%	1.06%	1.94%	2.41%	2.03%	5.22%	1.53%	1.11%	3.31%	0.77%	2.38%	1.26%	3.54%	1.29%	0.49%	2.74%	1.55%	2.02%	0.52%	0.0%	0.0%	0.99%	1.73%	0.64%	1.49%	2.09%	1.30%	1.81%	2.15%	1.02%	2.45%	1.36%	1.54%	1.84%	2.64%	3.58%	1.09%	0.91%	1.66%	1.50%	1.74%	1.53%	3.32%	2.59%	0.0%	2.45%	1.12%	4.24%	2.28%	5.31%	0.0%	3.20%	0.90%	2.04%	3.03%	1.74%	1.97%	2.46%	1.52%	3.18%	1.89%	1.36%	1.24%					
