Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Липецкая - 115																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1501	УИК №1502	УИК №1504	УИК №1508	УИК №1509	УИК №1513	УИК №1514	УИК №1519	УИК №1520	УИК №1521	УИК №1526	УИК №1527	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1535	УИК №1536									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24042	2431	2546	516	694	515	653	237	1035	1130	2924	426	540	953	2626	2649	2041	1814	312									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23875	2425	2550	500	675	500	650	225	1025	1125	2900	425	525	925	2625	2650	2025	1825	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12256	1683	1799	239	440	311	293	104	645	752	1174	252	328	462	779	898	1198	782	117									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1626	113	149	40	58	45	74	44	73	45	192	47	52	214	64	124	185	67	40									
6	Число погашенных избирательных бюллетеней	9993	629	602	221	177	144	283	77	307	328	1534	126	145	249	1782	1628	642	976	143									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1626	113	149	40	58	45	74	44	73	45	192	47	52	214	64	124	185	67	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12255	1683	1799	239	440	311	292	104	645	752	1174	252	328	462	779	898	1198	782	117									
9	Число недействительных избирательных бюллетеней	235	56	19	6	6	6	4	1	23	6	28	4	4	0	19	27	6	18	2									
10	Число действительных избирательных бюллетеней	13646	1740	1929	273	492	350	362	147	695	791	1338	295	376	676	824	995	1377	831	155									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	275	20	20	5	10	15	15	10	20	20	20	10	10	10	20	20	20	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	92	11	13	3	1	4	2	0	1	3	17	1	1	0	9	6	9	9	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	1	3	2	7	3	1	2	2	6	7	1	3	2	0	4	2	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	183	9	7	2	9	11	13	10	19	17	3	9	9	10	11	14	11	11	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	0	0	1	0	1	0	0	0	5	0	1	0	1	0	0	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	197	28	24	1	1	4	15	3	5	3	11	6	3	5	32	26	13	17	0									
		1.42%	1.56%	1.23%	0.36%	0.20%	1.12%	4.10%	2.03%	0.70%	0.38%	0.81%	2.01%	0.79%	0.74%	3.80%	2.54%	0.94%	2.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	246	38	34	6	3	9	8	0	15	17	0	8	14	10	14	24	14	31	1									
		1.77%	2.12%	1.75%	2.15%	0.60%	2.53%	2.19%	0.00%	2.09%	2.13%	0.00%	2.68%	3.68%	1.48%	1.66%	2.35%	1.01%	3.65%	0.64%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	273	44	48	7	1	12	3	4	5	8	17	5	10	15	33	22	12	26	1									
		1.97%	2.45%	2.46%	2.51%	0.20%	3.37%	0.82%	2.70%	0.70%	1.00%	1.24%	1.67%	2.63%	2.22%	3.91%	2.15%	0.87%	3.06%	0.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9451	1293	1401	140	362	262	283	94	547	598	1030	181	204	543	348	508	1180	351	126									
		68.09%	71.99%	71.92%	50.18%	72.69%	73.60%	77.32%	63.51%	76.18%	75.03%	75.40%	60.54%	53.68%	80.33%	41.28%	49.71%	85.32%	41.34%	80.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	49	5	3	0	1	2	4	0	2	4	0	1	2	2	4	5	2	11	1									
		0.35%	0.28%	0.15%	0.00%	0.20%	0.56%	1.09%	0.00%	0.28%	0.50%	0.00%	0.33%	0.53%	0.30%	0.47%	0.49%	0.14%	1.30%	0.64%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	3	6	1	0	1	1	0	5	0	0	0	0	0	1	1	3	2	1									
		0.18%	0.17%	0.31%	0.36%	0.00%	0.28%	0.27%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.10%	0.22%	0.24%	0.64%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1233	105	172	39	47	21	11	21	55	76	115	33	52	41	127	147	36	128	7									
		8.88%	5.85%	8.83%	13.98%	9.44%	5.90%	3.01%	14.19%	7.66%	9.54%	8.42%	11.04%	13.68%	6.07%	15.07%	14.38%	2.60%	15.08%	4.46%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	43	0	12	0	1	1	3	1	0	5	3	1	1	1	5	5	1	2	1									
		0.31%	0.00%	0.62%	0.00%	0.20%	0.28%	0.82%	0.68%	0.00%	0.63%	0.22%	0.33%	0.26%	0.15%	0.59%	0.49%	0.07%	0.24%	0.64%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	86	13	7	2	2	3	6	0	2	6	7	2	0	5	13	7	4	5	2									
		0.62%	0.72%	0.36%	0.72%	0.40%	0.84%	1.64%	0.00%	0.28%	0.75%	0.51%	0.67%	0.00%	0.74%	1.54%	0.68%	0.29%	0.59%	1.27%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	22	4	2	0	0	0	0	0	3	0	4	0	2	1	2	2	1	0	1									
