Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    Бронницкая городская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88					
1	"Число избирателей, внесенных в список избирателей"	15912	1852	2033	2700	2150	2205	1852	2007	1113					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13000	1500	1500	2000	2000	2000	1500	1500	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7640	825	896	1435	960	1029	821	988	686					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	332	98	43	54	35	56	15	30	1					
6	Число погашенных избирательных бюллетеней	5028	577	561	511	1005	915	664	482	313					
7	Число избирательных бюллетеней в переносных ящиках для голосования	332	98	43	54	35	56	15	30	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7627	822	896	1433	956	1029	821	985	685					
9	Число недействительных избирательных бюллетеней	224	15	27	34	24	43	23	42	16					
10	Число действительных избирательных бюллетеней	7735	905	912	1453	967	1042	813	973	670					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	30	35	45	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	177	25	28	40	21	14	19	21	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	146	22	38	19	12	17	11	18	9					
14	Число погашенных неиспользованных открепительных удостоверений	83	5	7	5	9	16	11	9	21					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	4	3	6	2	8	1	6	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1299	158	145	237	153	180	154	164	108					
		16.32%	17.17%	15.44%	15.94%	15.44%	16.59%	18.42%	16.16%	15.74%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1072	118	123	208	151	142	127	135	68					
		13.47%	12.83%	13.10%	13.99%	15.24%	13.09%	15.19%	13.30%	9.91%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	109	14	11	16	14	24	8	14	8					
		1.37%	1.52%	1.17%	1.08%	1.41%	2.21%	0.96%	1.38%	1.17%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2697	297	316	545	313	349	243	329	305					
		33.89%	32.28%	33.65%	36.65%	31.58%	32.17%	29.07%	32.41%	44.46%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	321	41	37	73	41	29	35	42	23					
		4.03%	4.46%	3.94%	4.91%	4.14%	2.67%	4.19%	4.14%	3.35%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2189	274	276	367	286	312	241	282	151					
		27.50%	29.78%	29.39%	24.68%	28.86%	28.76%	28.83%	27.78%	22.01%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	48	3	4	7	9	6	5	7	7					
		0.60%	0.33%	0.43%	0.47%	0.91%	0.55%	0.60%	0.69%	1.02%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
