Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Бронницкая городская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83					
1	"Число избирателей, внесенных в списки избирателей"	15703	1814	2472	2167	2235	2372	1471	2115	1057					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13800	1500	2100	1900	2000	2100	1300	1900	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8385	902	1377	1243	1122	1192	733	1122	694					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	431	138	35	58	44	78	26	43	9					
6	Число погашенных избирательных бюллетеней	4982	460	688	599	834	830	539	735	297					
7	Число избирательных бюллетеней в переносных ящиках для голосования	431	138	35	58	44	78	26	43	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8372	898	1377	1237	1122	1192	733	1119	694					
9	Число недействительных избирательных бюллетеней	115	19	17	16	22	10	7	18	6					
10	Число действительных избирательных бюллетеней	8688	1017	1395	1279	1144	1260	752	1144	697					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	400	50	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	263	25	42	32	46	40	20	39	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	228	38	62	48	23	12	15	21	9					
14	Число погашенных неиспользованных открепительных удостоверений	137	25	8	18	4	10	30	11	31					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	3	1	3	0	0	1	0	1					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	2	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	232	30	30	36	31	28	15	33	29					
		2.64%	2.90%	2.12%	2.78%	2.66%	2.20%	1.98%	2.84%	4.13%					
19	2.Всероссийская политическая партия «Гражданская Сила»	106	14	14	16	17	12	11	10	12					
		1.20%	1.35%	0.99%	1.24%	1.46%	0.94%	1.45%	0.86%	1.71%					
20	3.Политическая партия «Демократическая партия России»	13	7	3	1	0	1	0	1	0					
		0.15%	0.68%	0.21%	0.08%	0.00%	0.08%	0.00%	0.09%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1042	94	152	195	129	140	77	169	86					
		11.84%	9.07%	10.76%	15.06%	11.06%	11.02%	10.14%	14.54%	12.23%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	90	11	17	13	14	14	10	6	5					
		1.02%	1.06%	1.20%	1.00%	1.20%	1.10%	1.32%	0.52%	0.71%					
23	6.Политическая партия «Партия социальной справедливости»	24	3	1	5	2	6	6	0	1					
		0.27%	0.29%	0.07%	0.39%	0.17%	0.47%	0.79%	0.00%	0.14%					
24	7.Политическая партия «Либерально-демократическая партия России»	838	109	155	104	106	121	72	103	68					
		9.52%	10.52%	10.98%	8.03%	9.09%	9.53%	9.49%	8.86%	9.67%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	745	93	88	104	112	112	68	108	60					
		8.46%	8.98%	6.23%	8.03%	9.61%	8.82%	8.96%	9.29%	8.53%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	94	7	16	15	14	19	4	5	14					
		1.07%	0.68%	1.13%	1.16%	1.20%	1.50%	0.53%	0.43%	1.99%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5343	632	889	757	703	792	477	690	403					
		60.70%	61.00%	62.96%	58.46%	60.29%	62.36%	62.85%	59.38%	57.33%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	161	17	30	33	16	15	12	19	19					
		1.83%	1.64%	2.12%	2.55%	1.37%	1.18%	1.58%	1.64%	2.70%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
