Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    Бородинская городская																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14601	1851	1892	1496	2005	1993	1393	1546	2425									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14400	1800	1900	1400	2000	2000	1400	1500	2400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5469	773	670	535	777	740	573	621	780									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	168	6	36	17	13	23	20	21	32									
6	Число погашенных избирательных бюллетеней	8763	1021	1194	848	1210	1237	807	858	1588									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	168	6	36	17	13	23	20	21	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5469	773	670	535	777	740	573	621	780									
9	Число недействительных избирательных бюллетеней	188	27	24	26	23	28	13	21	26									
10	Число действительных избирательных бюллетеней	5449	752	682	526	767	735	580	621	786									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	489	55	60	60	60	60	60	60	74									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	56	6	11	3	3	5	11	4	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	11	0	13	5	10	1	9	1									
14	Число погашенных неиспользованных открепительных удостоверений	433	49	49	57	57	55	49	56	61									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	1	2	1	1	0	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	14	8	6	13	11	4	6	4									
		1.17%	1.80%	1.13%	1.09%	1.65%	1.44%	0.67%	0.93%	0.49%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	207	24	25	26	26	31	30	16	29									
		3.67%	3.08%	3.54%	4.71%	3.29%	4.06%	5.06%	2.49%	3.57%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	137	13	25	11	20	19	15	12	22									
		2.43%	1.67%	3.54%	1.99%	2.53%	2.49%	2.53%	1.87%	2.71%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2003	306	237	201	316	261	196	190	296									
		35.53%	39.28%	33.57%	36.41%	40.00%	34.21%	33.05%	29.60%	36.45%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	35	3	7	1	2	7	4	10	1									
		0.62%	0.39%	0.99%	0.18%	0.25%	0.92%	0.67%	1.56%	0.12%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	2	0	0	1	2	1	0	4									
		0.18%	0.26%	0.00%	0.00%	0.13%	0.26%	0.17%	0.00%	0.49%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1234	158	159	117	165	162	140	155	178									
		21.89%	20.28%	22.52%	21.20%	20.89%	21.23%	23.61%	24.14%	21.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	23	2	2	1	2	4	0	4	8									
		0.41%	0.26%	0.28%	0.18%	0.25%	0.52%	0.00%	0.62%	0.99%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	30	3	1	2	7	1	4	5	7									
		0.53%	0.39%	0.14%	0.36%	0.89%	0.13%	0.67%	0.78%	0.86%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	1	1	1	0	0	0	1	1									
		0.09%	0.13%	0.14%	0.18%	0.00%	0.00%	0.00%	0.16%	0.12%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	42	2	8	1	4	9	4	12	2									
		0.75%	0.26%	1.13%	0.18%	0.51%	1.18%	0.67%	1.87%	0.25%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1307	165	171	116	169	170	144	184	188									
		23.19%	21.18%	24.22%	21.01%	21.39%	22.28%	24.28%	28.66%	23.15%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	121	17	10	14	12	18	17	12	21									
		2.15%	2.18%	1.42%	2.54%	1.52%	2.36%	2.87%	1.87%	2.59%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	229	42	28	29	30	40	21	14	25									
		4.06%	5.39%	3.97%	5.25%	3.80%	5.24%	3.54%	2.18%	3.08%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
