Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Нижнеилимская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	43405	1599	1161	1015	1554	1586	2111	2234	2272	1290	2227	920	1672	89	368	429	284	855	515	942	47	497	39	704	682	106	474	57	1372	877	145	444	313	1892	1118	879	939	665	699	2156	1702	1624	2851									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36212	1300	950	850	1250	1300	1700	1800	1900	1050	1800	750	1400	92	350	400	250	700	450	800	48	450	42	600	600	106	400	63	1150	750	141	400	270	1600	950	750	800	550	600	1800	1400	1350	2300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12782	387	352	231	317	409	604	617	744	397	752	383	571	34	62	104	109	330	260	335	27	166	17	207	155	28	94	25	333	258	71	130	71	458	280	340	325	229	283	561	425	409	892									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	663	10	13	7	40	17	55	13	14	14	15	8	7	2	4	9	5	15	16	19	0	25	0	25	44	30	42	0	53	26	0	1	7	18	13	10	11	11	14	12	6	4	28									
6	Число погашенных избирательных бюллетеней	22767	903	585	612	893	874	1041	1170	1142	639	1033	359	822	56	284	287	136	355	174	446	21	259	25	368	401	48	264	38	764	466	70	269	192	1124	657	400	464	310	303	1227	969	937	1380									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	663	10	13	7	40	17	55	13	14	14	15	8	7	2	4	9	5	15	16	19	0	25	0	25	44	30	42	0	53	26	0	1	7	18	13	10	11	11	14	12	6	4	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12781	387	352	231	317	409	604	617	744	397	752	383	571	34	62	104	109	330	260	335	27	166	17	207	155	28	94	25	333	258	71	130	71	458	280	340	325	229	283	561	424	409	892									
9	Число недействительных избирательных бюллетеней	299	8	10	10	6	4	19	12	19	10	15	2	13	0	11	3	7	5	12	15	0	2	0	6	5	0	2	0	9	13	1	5	2	8	8	9	6	3	5	8	11	2	13									
10	Число действительных избирательных бюллетеней	13145	389	355	228	351	422	640	618	739	401	752	389	565	36	55	110	107	340	264	339	27	189	17	226	194	58	134	25	377	271	70	126	76	468	285	341	330	237	292	565	419	411	907									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	691	20	20	20	20	20	20	20	20	20	20	20	20	20	10	20	10	20	20	10	10	10	10	15	10	10	10	10	15	15	10	10	10	20	20	20	20	20	15	20	20	20	21									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	159	5	4	2	2	2	4	13	7	7	8	2	5	0	0	20	0	2	0	1	0	1	0	7	1	0	5	0	11	4	0	0	1	6	2	18	4	0	4	3	4	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	4	2	3	1	2	3	4	0	5	6	1	5	1	0	1	0	2	0	4	0	1	0	0	1	2	3	1	2	0	1	2	1	0	0	5	0	0	3	1	1	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	532	15	16	18	18	18	16	7	13	13	12	18	15	20	10	0	10	18	20	9	10	9	10	8	9	10	5	10	4	11	10	10	9	14	18	2	16	20	11	17	16	18	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	1	1	0	0	1	2	0	1	1	4	2	4	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	191	3	5	6	4	7	11	15	13	9	15	7	12	0	0	0	1	5	2	5	0	0	0	1	2	0	0	0	1	1	0	3	1	12	6	4	1	1	7	8	3	6	14									
