Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
"Наименование Избирательной комиссии:    Ижевск, Октябрьская"																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360					
1	"Число избирателей, внесенных в списки"	117983	2794	2820	2875	2215	1809	2647	2952	2869	2882	3000	2957	3035	2907	2502	2691	1829	2706	2081	1949	1691	1202	2097	1083	1468	856	875	1260	1781	1743	2452	1443	1524	1565	2812	2093	2555	2535	2484	1941	2692	2095	2556	3172	2825	2744	2959	2310	2780	2197	604	338	440	116	872	168	2550	141	1295	45	104					
2	"Число бюллетеней, полученных участковыми комиссиями"	108435	2600	2600	2600	2100	1700	2400	2700	2600	2700	2700	2700	2700	2700	2300	2500	1700	2400	1800	1800	1600	1100	2000	1100	1300	800	850	1200	1700	1600	2200	1300	1400	1450	2600	1900	2300	2300	2200	1800	2500	2000	2400	2700	2600	2500	2700	2100	2500	2000	550	300	450	200	800	200	2400	135	1200	100	100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	64253	1428	1519	1539	1275	988	1443	1589	1682	1343	1515	1535	1608	1421	1483	1530	914	1304	1067	1102	997	656	1197	486	846	545	464	705	1042	1051	1343	810	848	912	1714	987	1493	1391	1507	1041	1419	1244	1463	1594	1567	1497	1656	961	1674	1211	31	152	242	97	509	162	1561	92	670	45	86					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	869	33	18	21	5	8	12	14	9	25	4	21	21	25	7	12	12	31	8	10	3	8	15	8	7	6	7	5	28	11	20	13	22	13	22	5	23	21	5	10	11	12	8	14	10	9	6	11	2	10	198	0	0	0	3	0	16	2	9	0	0					
6	Число погашенных бюллетеней	43306	1139	1063	1040	820	703	945	1097	909	1332	1181	1144	1071	1254	810	958	774	1065	725	688	600	436	788	606	447	249	379	490	630	538	837	477	530	525	864	908	784	888	688	748	1070	741	928	1092	1023	994	1037	1128	824	779	321	148	208	103	288	38	823	41	521	55	14					
7	Число бюллетеней в переносных ящиках для голосования	869	33	18	21	5	8	12	14	9	25	4	21	21	25	7	12	12	31	8	10	3	8	15	8	7	6	7	5	28	11	20	13	22	13	22	5	23	21	5	10	11	12	8	14	10	9	6	11	2	10	198	0	0	0	3	0	16	2	9	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	64202	1428	1519	1539	1274	980	1430	1589	1682	1343	1515	1535	1608	1421	1483	1530	914	1304	1066	1100	997	655	1197	486	846	545	464	705	1042	1044	1343	809	848	912	1714	985	1493	1391	1507	1041	1408	1244	1463	1594	1567	1493	1656	961	1674	1211	31	152	242	97	509	162	1561	92	670	45	86					
9	Число недействительных бюллетеней	854	28	17	34	24	15	22	32	22	22	9	42	17	11	15	13	28	9	8	14	14	12	19	9	6	8	5	3	13	0	18	9	8	18	21	18	9	21	12	13	19	11	17	19	17	10	39	7	14	12	1	7	19	1	5	2	16	12	7	1	0					
10	Число действительных бюллетеней	64217	1433	1520	1526	1255	973	1420	1571	1669	1346	1510	1514	1612	1435	1475	1529	898	1326	1066	1096	986	651	1193	485	847	543	466	707	1057	1055	1345	813	862	907	1715	972	1507	1391	1500	1038	1400	1245	1454	1589	1560	1492	1623	965	1662	1209	228	145	223	96	507	160	1561	82	672	44	86					
