Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Чойская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219					
1	"Число избирателей, внесенных в списки"	6400	467	582	538	88	110	247	657	667	357	1083	153	240	416	429	133	233					
2	"Число бюллетеней, полученных участковыми комиссиями"	6311	458	560	518	91	111	246	636	651	349	1094	158	235	412	431	134	227					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3856	322	386	345	65	76	171	376	347	237	538	110	164	283	202	81	153					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	268	23	30	28	8	14	13	18	17	17	49	7	3	11	14	14	2					
6	Число погашенных бюллетеней	2187	113	144	145	18	21	62	242	287	95	507	41	68	118	215	39	72					
7	Число бюллетеней в переносных ящиках для голосования	268	23	30	28	8	14	13	18	17	17	49	7	3	11	14	14	2					
8	Число бюллетеней в стационарных ящиках для голосования	3856	322	386	345	65	76	171	376	347	237	538	110	164	283	202	81	153					
9	Число недействительных бюллетеней	102	6	4	6	3	4	5	7	11	8	18	4	9	6	7	2	2					
10	Число действительных бюллетеней	4022	339	412	367	70	86	179	387	353	246	569	113	158	288	209	93	153					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	147	10	11	11	5	5	8	14	14	10	19	5	5	10	10	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	21	1	1	1	3	0	1	0	0	3	10	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	1	2	1	0	0	0	3	2	0	1	0	1	0	0	0	2					
