Выборы Президента Российской Федерации																																																								
																																																								
"Наименование Избирательной комиссии:    Калуга, Ленинская"																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240					
1	"Число избирателей, внесенных в список"	106635	2714	2012	2747	1961	2100	1916	1956	2093	1966	2355	2490	1549	696	1483	2264	2733	2826	3169	2784	3063	3069	2745	3182	2865	2646	2109	2259	2568	2935	3148	2980	2458	2900	2387	3099	3284	2177	2309	2247	1567	936	1913	837	256	1056	539	1914	723	650					
2	Число полученных избирательных бюллетеней	96300	2300	1700	2500	1700	1800	1700	1700	1900	1700	2100	2300	1500	600	1300	2000	2500	2500	2800	2400	2600	2800	2500	2900	2600	2400	1900	2000	2300	2600	2800	2700	2200	2600	2100	2900	3000	2000	2000	2000	1200	800	1800	1500	200	900	500	1700	800	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	55627	1602	1108	1484	981	1202	974	960	961	1039	1089	1208	749	259	770	1237	1254	1279	1583	1422	1568	1644	1487	1682	1480	1505	1179	1249	1425	1511	1593	1518	1294	1520	1213	1432	1602	1145	1249	1231	841	337	1017	799	102	504	197	897	598	647					
5	"Число избирательных бюллетеней, выданных вне помещения"	2014	92	109	46	30	9	37	29	32	23	31	59	53	9	28	73	43	54	37	25	159	49	52	37	45	37	22	49	23	32	17	33	33	30	22	24	38	15	16	16	70	132	27	38	57	41	15	66	0	0					
6	Число погашенных избирательных бюллетеней	38659	606	483	970	689	589	689	711	907	638	980	1033	698	332	502	690	1203	1167	1180	953	873	1107	961	1181	1075	858	699	702	852	1057	1190	1149	873	1050	865	1444	1360	840	735	753	289	331	756	663	41	355	288	737	202	353					
7	Число избирательных бюллетеней в переносных ящиках	2013	92	109	46	30	9	37	29	32	23	31	59	53	9	28	73	43	54	37	25	159	49	52	37	45	37	22	49	23	32	17	33	33	30	22	24	38	15	16	16	70	131	27	38	57	41	15	66	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	55407	1600	999	1484	980	1202	974	960	949	1038	1087	1208	749	259	765	1234	1254	1279	1583	1422	1568	1639	1435	1680	1478	1505	1179	1248	1425	1510	1580	1518	1294	1520	1213	1429	1602	1145	1244	1231	841	337	1017	799	102	504	197	897	597	647					
9	Число недействительных избирательных бюллетеней	436	9	6	6	8	7	4	9	7	9	11	12	6	0	9	15	7	7	6	5	28	7	10	6	11	9	5	9	21	8	21	6	9	23	21	4	3	10	7	12	1	0	7	8	1	6	1	15	3	21					
10	Число действительных избирательных бюллетеней	56984	1683	1102	1524	1002	1204	1007	980	974	1052	1107	1255	796	268	784	1292	1290	1326	1614	1442	1699	1681	1477	1711	1512	1533	1196	1288	1427	1534	1576	1545	1318	1527	1214	1449	1637	1150	1253	1235	910	468	1037	829	158	539	211	948	594	626					
