Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Ленинская - 184																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32323	1117	1189	1045	1190	1288	1104	1519	1107	1612	782	1557	1444	1430	859	1069	1039	927	1036	978	1363	1053	1496	1418	968	952	619	2162									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30610	1100	1200	1000	1100	1200	1000	1400	1000	1500	780	1500	1400	1400	850	1000	1000	920	1000	980	1200	1100	1300	1200	950	930	600	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12253	433	430	410	375	416	407	585	324	615	580	638	706	485	240	348	281	365	501	367	437	388	621	424	563	291	214	809									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1492	38	31	12	98	72	18	60	47	38	0	33	44	60	114	22	65	18	46	84	47	44	110	107	50	122	73	39									
6	Число погашенных избирательных бюллетеней	16865	629	739	578	627	712	575	755	629	847	200	829	650	855	496	630	654	537	453	529	716	668	569	669	337	517	313	1152									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1492	38	31	12	98	72	18	60	47	38	0	33	44	60	114	22	65	18	46	84	47	44	110	107	50	122	73	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12253	433	430	410	375	416	407	585	324	615	580	638	706	485	240	348	281	365	501	367	437	388	621	424	563	291	214	809									
9	Число недействительных избирательных бюллетеней	204	9	10	4	6	9	15	8	8	11	6	9	5	18	3	3	4	5	3	4	6	3	9	6	10	8	4	18									
10	Число действительных избирательных бюллетеней	13541	462	451	418	467	479	410	637	363	642	574	662	745	527	351	367	342	378	544	447	478	429	722	525	603	405	283	830									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	444	15	20	20	20	12	10	20	10	15	10	10	16	20	20	25	10	10	15	10	10	11	30	20	30	15	15	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	322	15	15	10	18	12	9	19	4	15	0	9	16	6	3	17	5	10	15	10	7	11	30	18	30	1	1	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	296	8	11	19	4	18	6	11	5	4	0	3	5	2	3	2	29	5	3	2	2	20	109	4	9	4	2	6									
14	Число погашенных неиспользованных открепительных удостоверений	122	0	5	10	2	0	1	1	6	0	10	1	0	14	17	8	5	0	0	0	3	0	0	2	0	14	14	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	3	4	5	1	2	7	1	0	1	0	1	3	1	3	4	1	1	0	0	1	0	0	0	0	5	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	299	11	13	11	11	9	7	17	8	12	49	16	13	11	6	7	16	6	9	8	10	8	5	6	8	4	2	16									
		2.18%	2.34%	2.82%	2.61%	2.33%	1.84%	1.65%	2.64%	2.16%	1.84%	8.45%	2.38%	1.73%	2.02%	1.69%	1.89%	4.62%	1.57%	1.65%	1.77%	2.07%	1.85%	0.68%	1.13%	1.31%	0.97%	0.70%	1.89%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	398	18	10	14	10	14	10	12	19	16	43	25	14	11	8	13	9	11	9	12	24	15	14	13	13	10	10	21									
		2.90%	3.82%	2.17%	3.32%	2.11%	2.87%	2.35%	1.86%	5.12%	2.45%	7.41%	3.73%	1.87%	2.02%	2.26%	3.51%	2.60%	2.87%	1.65%	2.66%	4.96%	3.47%	1.92%	2.45%	2.12%	2.42%	3.48%	2.48%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	367	11	17	17	12	17	13	22	12	21	2	19	21	13	8	10	14	14	15	8	10	14	10	11	13	4	13	26									
		2.67%	2.34%	3.69%	4.03%	2.54%	3.48%	3.06%	3.41%	3.23%	3.22%	0.34%	2.83%	2.80%	2.39%	2.26%	2.70%	4.05%	3.66%	2.74%	1.77%	2.07%	3.24%	1.37%	2.07%	2.12%	0.97%	4.53%	3.07%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7830	234	234	205	255	263	216	355	172	329	466	302	472	300	215	187	182	173	352	259	263	238	486	310	421	314	181	446									
