Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																											
																																																																											
Наименование Избирательной комиссии:    Павловская																																																																											
																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																											
																																																																											
		Сумма	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908					
1	"Число избирателей, внесенных в списки"	83096	1267	1782	1351	2161	1929	2082	1978	2012	947	2848	2181	1813	1684	583	1396	1821	2334	1719	1928	1890	2103	2003	1491	1787	2533	1140	1620	40	1579	1420	1380	1542	1466	1707	1320	893	1006	152	2675	1476	1525	308	490	203	166	1183	466	518	174	208	266	1222	113	1095	183	792	1393	1553	604	137	1386	1235	520	80	290	213	363	1371					
2	"Число бюллетеней, полученных участковыми комиссиями"	74935	1200	1600	1200	1900	1700	1900	1800	1800	900	2600	2000	1600	1500	550	1300	1600	2100	1500	1700	1700	1800	1800	1300	1600	2200	1000	1500	100	1400	1300	1300	1300	1300	1500	1200	800	900	145	2400	1300	1400	290	490	195	165	1100	470	500	180	210	275	1100	115	1000	185	790	1300	1200	590	135	1200	1100	530	80	280	210	350	1200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	36995	578	858	602	1045	910	1035	885	991	353	1240	936	765	685	224	659	837	983	843	953	927	915	864	744	747	986	483	770	21	656	655	692	725	699	857	731	471	473	73	1156	547	611	97	199	82	107	447	196	188	101	68	91	597	81	478	77	261	550	666	252	91	621	391	184	42	134	66	113	630					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2202	29	6	6	26	45	49	28	31	17	23	18	21	25	14	35	31	39	30	50	26	14	23	8	23	40	16	48	19	55	36	30	61	61	15	41	17	12	19	34	38	75	13	21	14	2	33	24	118	30	41	62	0	8	16	37	138	32	3	0	0	20	73	92	9	34	40	95	13					
6	Число погашенных бюллетеней	35738	593	736	592	829	745	816	887	778	530	1337	1046	814	790	312	606	732	1078	627	697	747	871	913	548	830	1174	501	682	60	689	609	578	514	540	628	428	312	415	53	1210	715	714	180	270	99	56	620	250	194	49	101	122	503	26	506	71	391	718	531	338	44	559	636	254	29	112	104	142	557					
7	Число бюллетеней в переносных ящиках для голосования	2202	29	6	6	26	45	49	28	31	17	23	18	21	25	14	35	31	39	30	50	26	14	23	8	23	40	16	48	19	55	36	30	61	61	15	41	17	12	19	34	38	75	13	21	14	2	33	24	118	30	41	62	0	8	16	37	138	32	3	0	0	20	73	92	9	34	40	95	13					
8	Число бюллетеней в стационарных ящиках для голосования	37049	578	858	602	1045	910	1033	885	991	353	1249	936	765	685	224	659	837	983	843	953	927	915	862	744	747	986	483	761	21	656	655	692	725	699	857	731	471	471	73	1156	546	611	97	199	82	107	447	196	188	101	68	153	597	81	478	77	261	550	666	252	91	620	391	184	42	134	66	113	630					
9	Число недействительных бюллетеней	1093	18	12	12	19	35	21	16	21	17	33	16	11	23	3	20	11	18	13	14	23	19	25	15	40	25	8	8	3	26	35	26	17	34	19	28	18	11	3	35	25	26	9	3	9	10	26	7	1	2	6	3	21	9	38	2	18	26	11	5	9	14	18	11	2	10	1	6	14					
10	Число действительных бюллетеней	38158	589	852	596	1052	920	1061	897	1001	353	1239	938	775	687	235	674	857	1004	860	989	930	910	860	737	730	1001	491	801	37	685	656	696	769	726	853	744	470	472	89	1155	559	660	101	217	87	99	454	213	305	129	103	212	576	80	456	112	381	556	658	247	82	626	446	265	49	158	105	202	629					
