Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																								
Дата голосования: 02.12.2007																																								
																																								
Наименование Избирательной комиссии:    Няндомская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610					
1	"Число избирателей, внесенных в списки избирателей"	26142	1740	1520	1448	1717	1761	1880	1657	1486	1266	2134	399	1102	448	106	522	120	317	183	195	747	615	134	224	369	183	177	85	789	1309	675	514	126	194					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25400	1700	1500	1400	1700	1700	1900	1600	1400	1200	2000	400	1000	450	100	500	100	300	180	180	750	600	130	230	370	180	170	80	800	1300	650	500	130	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11878	771	632	568	769	931	981	831	712	556	829	177	487	202	60	225	74	151	84	69	317	248	67	122	202	82	63	39	339	625	265	222	76	102					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1329	56	44	60	61	35	32	88	20	18	66	14	89	45	13	33	10	72	29	68	104	56	1	13	24	13	27	5	36	55	86	42	7	7					
6	Число погашенных избирательных бюллетеней	12193	873	824	772	870	734	887	681	668	626	1105	209	424	203	27	242	16	77	67	43	329	296	62	95	144	85	80	36	425	620	299	236	47	91					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1329	56	44	60	61	35	32	88	20	18	66	14	89	45	13	33	10	72	29	68	104	56	1	13	24	13	27	5	36	55	86	42	7	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11877	771	632	568	769	930	981	831	712	556	829	177	487	202	60	225	74	151	84	69	317	248	67	122	202	82	63	39	339	625	265	222	76	102					
9	Число недействительных избирательных бюллетеней	97	4	7	2	4	5	5	7	9	5	9	1	6	2	0	3	0	2	0	0	2	3	0	1	1	1	0	0	6	5	0	2	3	2					
10	Число действительных избирательных бюллетеней	13109	823	669	626	826	960	1008	912	723	569	886	190	570	245	73	255	84	221	113	137	419	301	68	134	225	94	90	44	369	675	351	262	80	107					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	390	15	15	15	15	15	31	15	15	15	15	8	15	10	5	15	5	15	8	8	20	10	8	8	10	8	5	5	10	15	10	10	8	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	194	7	8	2	5	15	23	14	14	7	11	1	7	5	0	15	1	12	4	1	9	1	1	1	6	1	0	0	5	4	4	3	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	144	8	10	7	4	11	10	15	12	3	3	0	9	2	3	3	2	2	4	2	8	4	2	0	3	1	0	2	4	7	0	1	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	196	8	7	13	10	0	8	1	1	8	4	7	8	5	5	0	4	3	4	7	11	9	7	7	4	7	5	5	5	11	6	7	6	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	1.Политическая партия «Аграрная партия России»	446	33	19	18	29	44	25	34	16	12	26	10	22	10	0	2	0	29	4	9	17	9	2	10	3	3	0	0	7	30	6	4	0	13					
		3.38%	3.99%	2.81%	2.87%	3.49%	4.56%	2.47%	3.70%	2.19%	2.09%	2.91%	5.24%	3.82%	4.05%	0.00%	0.78%	0.00%	13.00%	3.54%	6.57%	4.04%	2.96%	2.94%	7.41%	1.33%	3.16%	0.00%	0.00%	1.87%	4.41%	1.71%	1.52%	0.00%	11.93%					
19	2.Всероссийская политическая партия «Гражданская Сила»	113	5	4	6	6	15	16	9	2	2	12	3	6	6	0	0	0	2	1	2	3	3	0	0	0	0	0	0	3	6	1	0	0	0					
		0.86%	0.60%	0.59%	0.96%	0.72%	1.55%	1.58%	0.98%	0.27%	0.35%	1.34%	1.57%	1.04%	2.43%	0.00%	0.00%	0.00%	0.90%	0.88%	1.46%	0.71%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.88%	0.28%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	20	1	0	2	0	0	2	2	0	1	3	0	1	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0					
		0.15%	0.12%	0.00%	0.32%	0.00%	0.00%	0.20%	0.22%	0.00%	0.17%	0.34%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.45%	1.77%	0.73%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	1.20%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1173	56	55	42	68	108	100	105	87	56	75	17	74	21	8	20	3	12	4	3	35	14	8	13	12	14	4	9	23	57	24	25	12	9					
