Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																			
Дата голосования: 02.12.2007																																			
																																			
"Наименование Избирательной комиссии:    Новосибирск, Центральная"																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017					
1	"Число избирателей, внесенных в списки избирателей"	56618	2130	2593	1600	1567	2134	2368	1762	1307	2047	1569	2002	2013	2577	2038	2286	1871	2310	1449	1774	1229	3185	2317	2330	1443	1992	2173	2258	2294					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	50400	1950	2400	1500	1500	1800	1950	1500	1200	1800	1350	1800	1800	2400	1800	1800	1500	2250	1350	1650	1200	2400	2250	2100	1200	1800	1950	2100	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	31342	1229	1466	984	899	1136	1254	1035	789	1094	896	958	1182	1391	1157	1351	914	1312	807	1014	772	1824	1386	1123	666	1151	1162	1190	1200					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1014	27	129	29	22	33	58	29	18	42	20	47	48	44	28	30	22	40	33	34	19	16	42	35	10	32	88	16	23					
6	Число погашенных избирательных бюллетеней	18044	694	805	487	579	631	638	436	393	664	434	795	570	965	615	419	564	898	510	602	409	560	822	942	524	617	700	894	877					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1014	27	129	29	22	33	58	29	18	42	20	47	48	44	28	30	22	40	33	34	19	16	42	35	10	32	88	16	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31276	1226	1466	982	898	1135	1254	1033	789	1086	895	958	1180	1376	1157	1351	914	1311	805	999	772	1824	1385	1120	666	1149	1162	1188	1195					
9	Число недействительных избирательных бюллетеней	329	9	21	3	17	12	19	13	5	15	5	20	14	12	10	20	6	12	8	11	9	21	12	7	6	7	11	8	16					
10	Число действительных избирательных бюллетеней	31961	1244	1574	1008	903	1156	1293	1049	802	1113	910	985	1214	1408	1175	1361	930	1339	830	1022	782	1819	1415	1148	670	1174	1239	1196	1202					
