Выборы Президента Российской Федерации																																																																																																																																																																	
																																																																																																																																																																	
Наименование Избирательной комиссии:    Набережно-Челнинская городская																																																																																																																																																																	
																																																																																																																																																																	
Итоги голосования 																																																																																																																																																																	
																																																																																																																																																																	
		Сумма	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224					
1	"Число избирателей, внесенных в список"	363109	758	1967	341	1820	2201	529	1493	1660	2806	2797	2854	2257	2165	2881	2871	2759	2543	2776	2867	2520	2078	2772	2185	2363	1986	2408	2921	2411	2182	2182	2128	2811	1274	2371	1125	2490	2772	1060	2790	2830	2590	2413	2376	2691	2784	2886	2848	2786	2747	2603	2787	2642	1607	2836	2838	1778	2114	2792	2793	3033	2731	2292	2286	2170	2519	2728	2344	2581	2568	1918	1885	2700	2836	2643	1982	2170	2702	2487	2705	2600	2655	2868	2488	2688	2557	2749	2658	2268	2273	2274	1434	1736	2776	2139	2326	1744	2068	1891	2220	2368	2678	2579	2659	2674	2983	2405	2741	2825	2703	2815	2204	2293	2385	2450	2370	2683	2699	2319	2451	2365	2052	2078	1818	2769	2916	2967	2756	2132	2968	2715	1059	2166	2229	1042	2890	1872	2599	2071	2414	2680	1585	1648	2834	1368	1443	2117	2145	2774	2338	2317	2244	2305	2753	2789					
2	Число полученных избирательных бюллетеней	357450	700	1800	500	1700	2300	500	1500	1650	2600	2700	2700	2200	2100	2600	2500	2700	2500	2600	2700	3000	2200	2700	2100	2300	1900	2300	2500	2500	2100	2100	2000	2600	1600	2300	1100	2400	2800	1000	2600	3000	2500	2300	2200	2600	2700	2700	2800	2600	2600	2400	2600	2500	1400	2700	2900	1700	2100	2700	2600	2900	2800	2200	2200	2000	2600	2800	2200	2500	2700	1800	1800	2600	2800	2600	1900	2300	2700	2700	2700	2500	2600	2900	2500	2700	2500	2800	2800	2200	2300	2200	1400	1700	2600	2100	2300	1900	1900	1800	2200	2500	2600	2500	2500	2600	2800	2200	2700	2600	2800	2800	2350	2300	2400	2600	2600	2600	2700	2500	2800	2600	2100	2000	2200	2700	2800	2800	2800	2300	2900	2800	1050	2100	1900	1000	2800	2600	2600	2100	2300	2600	1600	1600	2800	1300	1400	2100	2100	2700	2300	2300	2200	2300	2500	2800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	242319	389	1272	243	1272	1698	321	993	1226	1827	1883	1794	1463	1409	1866	1753	1718	1677	1874	1727	1877	1554	1824	1337	1486	1263	1539	1749	1560	1355	1371	1406	1751	800	1439	624	1815	2046	620	1669	1840	1726	1584	1622	1735	1801	1886	1941	1858	1829	1819	1834	1805	1053	1744	2051	1158	1354	1840	1640	1865	1879	1534	1503	1468	1765	2095	1560	1713	1899	1228	1231	1703	1825	1631	1335	1734	1960	1860	1829	1663	1698	2019	1670	1823	1722	1924	1935	1537	1573	1417	983	1161	1861	1462	1513	1232	1419	1220	1512	1689	1753	1713	1717	1862	1833	1537	1822	1811	1893	1828	1566	1468	1632	1685	1784	1782	1868	1727	1981	1895	1485	1365	1806	1782	1872	1925	1709	1457	1789	1933	766	1485	1571	662	1671	1842	1614	1283	1481	1716	948	1114	1867	888	939	1370	1349	1770	1555	1524	1435	1427	1731	1771					
5	"Число избирательных бюллетеней, выданных вне помещения"	5775	140	13	46	53	47	16	18	37	108	127	64	22	161	120	46	73	32	67	30	58	33	40	34	48	33	41	90	45	38	12	18	52	286	30	47	10	16	40	48	22	25	21	15	12	26	15	11	15	19	26	7	23	118	16	16	122	76	57	36	15	30	12	23	10	21	78	19	32	23	80	71	56	58	35	25	20	24	30	36	43	20	14	28	35	35	32	39	23	14	21	28	27	24	13	16	21	18	27	27	30	21	40	15	19	12	244	41	34	21	28	14	34	23	29	26	20	48	238	55	28	10	9	12	5	20	11	18	21	11	22	2	20	33	10	40	30	33	29	17	10	21	15	30	2	9	17	23	44	16	33	21	10	8	23					
6	Число погашенных избирательных бюллетеней	109356	171	515	211	375	555	163	489	387	665	690	842	715	530	614	701	909	791	659	943	1065	613	836	729	766	604	720	661	895	707	717	576	797	514	831	429	575	738	340	883	1138	749	695	563	853	873	799	848	727	752	555	759	672	229	940	833	420	670	803	924	1020	891	654	674	522	814	627	621	755	778	492	498	841	917	934	540	546	716	810	835	794	882	867	802	842	743	844	826	640	713	762	389	512	715	625	771	647	463	553	661	781	826	747	768	719	955	419	837	755	886	944	770	798	745	886	790	798	784	535	764	677	605	626	382	913	908	864	1073	822	1100	845	282	595	296	328	1089	728	953	788	802	874	631	471	903	410	452	713	728	886	729	743	744	863	761	1006					
7	Число избирательных бюллетеней в переносных ящиках	5774	140	13	46	53	47	16	18	37	108	127	64	22	161	120	46	73	32	67	30	58	33	40	34	48	33	41	90	45	38	12	18	52	285	30	47	10	16	40	48	22	25	21	15	12	26	15	11	15	19	26	7	23	118	16	16	122	76	57	36	15	30	12	23	10	21	78	19	32	23	80	71	56	58	35	25	20	24	30	36	43	20	14	28	35	35	32	39	23	14	21	28	27	24	13	16	21	18	27	27	30	21	40	15	19	12	244	41	34	21	28	14	34	23	29	26	20	48	238	55	28	10	9	12	5	20	11	18	21	11	22	2	20	33	10	40	30	33	29	17	10	21	15	30	2	9	17	23	44	16	33	21	10	8	23					
8	Число бюллетеней в стационарных ящиках для голосования	242195	389	1272	243	1251	1698	320	993	1226	1823	1883	1794	1463	1409	1866	1753	1718	1677	1874	1727	1877	1550	1823	1337	1486	1263	1539	1749	1560	1355	1371	1406	1742	800	1439	624	1815	2061	620	1659	1840	1724	1584	1622	1735	1801	1886	1941	1858	1827	1819	1832	1804	1053	1744	2051	1158	1354	1832	1640	1864	1879	1522	1503	1468	1765	2095	1560	1713	1899	1226	1231	1702	1825	1629	1333	1734	1960	1860	1827	1663	1698	2016	1670	1823	1722	1924	1935	1537	1573	1417	973	1161	1861	1462	1513	1230	1419	1220	1512	1689	1752	1713	1717	1862	1826	1537	1818	1809	1893	1828	1566	1468	1632	1685	1784	1782	1868	1727	1981	1895	1485	1362	1806	1782	1872	1925	1709	1457	1789	1933	766	1485	1571	662	1671	1842	1614	1283	1464	1716	948	1114	1867	888	939	1370	1349	1770	1552	1524	1435	1427	1731	1771					
9	Число недействительных избирательных бюллетеней	3072	8	31	4	19	29	4	14	15	7	15	36	40	29	32	17	11	29	30	30	31	17	13	14	27	27	34	25	32	5	13	18	30	16	15	13	31	22	10	30	14	21	15	10	28	22	31	37	13	37	26	29	14	17	42	17	12	16	18	20	11	20	20	17	30	18	34	17	18	13	15	17	25	28	18	14	10	26	15	22	27	8	14	18	9	27	14	11	25	20	13	11	21	21	30	17	7	18	12	18	24	29	26	18	19	21	34	21	25	47	14	20	25	16	13	16	10	3	35	17	16	20	24	20	27	17	11	23	16	12	88	27	15	13	9	15	10	13	0	13	16	14	20	23	12	9	16	4	20	16	26	15	18	17	33					
10	Число действительных избирательных бюллетеней	244897	521	1254	285	1285	1716	332	997	1248	1924	1995	1822	1445	1541	1954	1782	1780	1680	1911	1727	1904	1566	1850	1357	1507	1269	1546	1814	1573	1388	1370	1406	1764	1069	1454	658	1794	2055	650	1677	1848	1728	1590	1627	1719	1805	1870	1915	1860	1809	1819	1810	1813	1154	1718	2050	1268	1414	1871	1656	1868	1889	1514	1509	1448	1768	2139	1562	1727	1909	1291	1285	1733	1855	1646	1344	1744	1958	1875	1841	1679	1710	2016	1680	1849	1730	1942	1963	1535	1567	1425	990	1167	1864	1445	1512	1244	1419	1235	1521	1695	1744	1727	1714	1862	1817	1747	1838	1818	1867	1842	1560	1477	1639	1701	1794	1792	1913	1930	2019	1907	1475	1347	1798	1760	1875	1925	1704	1462	1788	1867	741	1490	1591	663	1696	1862	1634	1312	1468	1710	955	1109	1874	878	939	1371	1368	1794	1552	1531	1441	1419	1722	1761					
