Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Буденновская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	82290	1567	1803	1793	1997	1881	1857	2018	1850	1895	1929	2182	2153	2053	2680	2088	2191	2143	2091	2103	2219	2160	2763	711	880	1393	1107	2596	362	2248	1493	2102	2575	1992	961	2114	2010	1983	1985	420	1440	399	2896	1199	220	1074	949	1765									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82055	1600	1800	1800	2000	1850	1850	2000	1850	1900	1900	2100	2150	2050	2680	2100	2200	2100	2100	2100	2200	2150	2650	730	890	1390	1100	2750	365	2250	1500	2100	2550	1925	945	2125	2000	2200	1750	425	1425	395	2900	1200	220	1070	945	1775									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31692	648	704	706	816	812	828	731	775	697	649	702	956	698	2100	705	685	820	621	675	693	594	758	104	329	489	337	1337	114	747	402	812	1245	1035	364	579	547	751	610	184	476	146	1534	691	114	307	398	667									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3424	0	10	10	10	4	19	59	32	43	32	96	87	79	451	47	33	39	128	79	61	25	110	50	97	18	86	85	60	151	146	64	78	86	89	101	86	142	100	15	75	35	147	68	38	27	27	99									
6	Число погашенных избирательных бюллетеней	46939	952	1086	1084	1174	1034	1003	1210	1043	1160	1219	1302	1107	1273	129	1348	1482	1241	1351	1346	1446	1531	1782	576	464	883	677	1328	191	1352	952	1224	1227	804	492	1445	1367	1307	1040	226	874	214	1219	441	68	736	520	1009									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3424	0	10	10	10	4	19	59	32	43	32	96	87	79	451	47	33	39	128	79	61	25	110	50	97	18	86	85	60	151	146	64	78	86	89	101	86	142	100	15	75	35	147	68	38	27	27	99									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31529	648	704	705	816	811	828	731	743	696	649	700	869	698	2100	705	685	784	621	672	693	594	758	104	329	489	337	1337	114	747	402	812	1245	1035	364	579	547	751	610	184	476	146	1534	691	114	307	398	667									
9	Число недействительных избирательных бюллетеней	1177	18	19	22	17	10	51	17	19	55	22	24	39	11	53	14	18	19	33	21	37	27	34	0	14	14	18	23	0	33	14	16	21	32	15	24	18	30	15	5	11	5	247	0	4	13	8	17									
10	Число действительных избирательных бюллетеней	33776	630	695	693	809	805	796	773	756	684	659	772	917	766	2498	738	700	804	716	730	717	592	834	154	412	493	405	1399	174	865	534	860	1302	1089	438	656	615	863	695	194	540	176	1434	759	148	321	417	749									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	687	30	10	10	30	10	10	15	10	15	17	19	16	10	50	25	20	25	10	30	25	15	10	10	10	10	18	60	5	10	5	10	14	8	5	10	10	10	10	5	10	5	10	5	5	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	406	19	10	9	14	9	10	15	7	11	11	14	12	4	6	17	11	21	8	24	10	11	3	2	0	2	17	49	0	8	2	3	8	6	0	5	4	4	10	4	5	0	6	1	0	1	6	7									
