Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
Наименование Избирательной комиссии:    Пермская																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762					
1	"Число избирателей, внесенных в списки"	65074	2217	382	174	182	1779	1481	2629	589	719	363	545	138	102	1282	2832	767	1142	1216	1359	497	146	1673	1648	431	285	305	210	234	1549	2369	206	984	747	1631	2066	130	529	1818	704	159	69	2053	651	810	300	1151	230	1941	1722	1365	1608	767	1598	2224	2145	1267	1622	1340	1659	821	996	516					
2	"Число бюллетеней, полученных участковыми комиссиями"	69308	2500	450	230	220	1850	1300	2800	620	798	400	650	130	150	1280	2850	860	1350	1300	1500	450	170	1750	1650	480	300	400	250	260	1660	2500	240	1180	850	1830	2060	130	560	1980	700	180	90	2100	700	880	300	900	240	1800	1600	1480	1750	830	1850	2500	2500	1350	1800	1400	1750	950	1150	570					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	347	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	26	0	0	0	15	0	4	0	0	0	0	0	0	0	0	0	121	65	0	0	0	0	0	0	0	0	61	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	37801	1421	233	126	101	924	840	1487	386	444	211	292	100	94	658	1700	501	579	675	717	247	96	890	878	256	147	173	137	133	1035	1433	138	691	374	913	995	119	334	1201	423	104	57	1144	403	497	192	840	158	1294	1187	600	623	472	891	1570	1494	674	766	765	861	455	411	241					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	4053	93	32	23	37	35	17	139	15	12	35	42	28	8	95	116	44	77	43	153	82	21	75	84	30	23	132	9	32	133	40	12	54	144	106	123	11	67	64	52	14	0	15	21	24	68	24	29	66	36	301	266	30	95	100	116	127	83	44	64	55	73	64					
6	Число погашенных бюллетеней	27107	986	185	81	82	891	443	1174	211	339	154	316	2	48	527	1034	315	694	582	630	121	53	785	688	194	130	95	104	95	492	1027	90	435	332	767	916	0	159	715	210	62	29	941	276	359	40	36	53	440	377	579	740	263	864	830	890	549	951	591	825	440	605	265					
7	Число бюллетеней в переносных ящиках для голосования	4336	93	32	23	37	35	17	139	23	12	35	42	28	8	95	116	44	77	43	153	82	21	75	84	30	23	132	9	32	133	40	12	54	144	150	149	11	67	64	67	14	4	15	21	24	68	24	29	66	36	301	387	95	95	100	116	127	83	44	64	55	73	64					
8	Число бюллетеней в стационарных ящиках для голосования	37858	1421	232	126	101	924	840	1487	386	447	211	292	100	94	656	1700	501	583	675	717	247	96	890	877	256	147	173	137	133	1035	1433	138	690	374	913	995	119	334	1201	423	104	57	1144	403	497	192	837	158	1294	1186	600	623	472	891	1570	1494	674	766	765	861	455	472	239					
9	Число недействительных бюллетеней	985	33	13	13	3	21	27	29	19	30	11	16	3	0	19	22	35	17	18	11	8	3	17	18	13	6	12	9	6	34	41	9	12	20	32	39	6	7	10	16	4	0	21	13	24	2	9	1	20	19	14	20	11	0	24	27	42	25	8	14	8	11	10					
10	Число действительных бюллетеней	41209	1481	251	136	135	938	830	1597	390	429	235	318	125	102	732	1794	510	643	700	859	321	114	948	943	273	164	293	137	159	1134	1432	141	732	498	1031	1105	124	394	1255	474	114	61	1138	411	497	258	852	186	1340	1203	887	990	556	986	1646	1583	759	824	801	911	502	534	293					
