Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Ижморская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084					
1	"Число избирателей, внесенных в список избирателей"	11826	384	74	922	1032	955	907	775	295	105	647	107	349	236	286	543	162	100	495	171	37	306	44	58	481	159	60	308	95	457	270	57	246	65	638					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12000	380	70	930	1050	935	920	795	290	110	675	110	350	250	290	555	165	100	520	170	40	310	50	55	470	165	65	315	95	475	275	55	250	65	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8654	270	61	592	779	650	535	488	202	90	496	103	327	192	200	362	123	62	354	152	37	196	42	55	339	136	52	285	85	377	230	34	192	60	496					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	755	20	4	55	44	68	64	21	12	3	65	0	0	29	65	64	13	13	22	9	0	30	0	0	30	9	2	15	3	27	14	16	16	0	22					
6	Число погашенных избирательных бюллетеней	2591	90	5	283	227	217	321	286	76	17	114	7	23	29	25	129	29	25	144	9	3	84	8	0	101	20	11	15	7	71	31	5	42	5	132					
7	Число избирательных бюллетеней в переносных ящиках для голосования	755	20	4	55	44	68	64	21	12	3	65	0	0	29	65	64	13	13	22	9	0	30	0	0	30	9	2	15	3	27	14	16	16	0	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8654	270	61	592	779	650	535	488	202	90	496	103	327	192	200	362	123	62	354	152	37	196	42	55	339	136	52	285	85	377	230	34	192	60	496					
9	Число недействительных избирательных бюллетеней	157	13	2	16	5	8	6	12	1	0	6	0	20	4	1	7	0	0	8	4	0	9	1	0	0	1	1	1	0	12	0	1	3	9	6					
10	Число действительных избирательных бюллетеней	9252	277	63	631	818	710	593	497	213	93	555	103	307	217	264	419	136	75	368	157	37	217	41	55	369	144	53	299	88	392	244	49	205	51	512					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	10	2	20	30	20	30	15	5	5	15	2	5	5	10	15	5	5	15	5	2	10	2	2	10	3	2	10	2	10	3	2	5	3	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	99	0	2	8	6	6	6	8	5	0	1	0	0	3	4	6	0	0	14	0	0	1	0	0	10	1	0	0	1	5	0	2	2	0	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	115	3	5	7	10	3	5	5	4	3	2	2	3	3	3	2	3	1	2	4	2	3	3	2	7	2	2	3	2	3	4	2	3	2	5					
14	Число погашенных неиспользованных открепительных удостоверений	201	10	0	12	24	14	24	7	0	5	14	2	5	2	6	9	5	5	1	5	2	9	2	2	0	2	2	10	1	5	3	0	3	3	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	218	2	0	3	3	5	3	6	17	8	1	0	1	14	0	25	12	4	27	9	1	4	2	0	24	0	0	5	0	17	18	0	4	1	2					
		2.32%	0.69%	0.00%	0.46%	0.36%	0.70%	0.50%	1.18%	7.94%	8.60%	0.18%	0.00%	0.31%	6.33%	0.00%	5.87%	8.82%	5.33%	7.18%	5.59%	2.70%	1.77%	4.76%	0.00%	6.50%	0.00%	0.00%	1.67%	0.00%	4.21%	7.38%	0.00%	1.92%	1.67%	0.39%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	949	26	3	90	136	103	90	85	27	7	56	0	2	7	2	48	11	4	47	2	1	22	1	2	25	5	1	3	2	26	19	4	7	8	77					
		10.09%	8.97%	4.62%	13.91%	16.52%	14.35%	15.03%	16.70%	12.62%	7.53%	9.98%	0.00%	0.61%	3.17%	0.75%	11.27%	8.09%	5.33%	12.50%	1.24%	2.70%	9.73%	2.38%	3.64%	6.78%	3.45%	1.85%	1.00%	2.27%	6.44%	7.79%	8.00%	3.37%	13.33%	14.86%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	2	0	0	0	2	0	2	2	1	2	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0					
