Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Гайская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416					
1	"Число избирателей, внесенных в список"	8430	869	376	105	79	238	695	300	173	549	246	104	360	229	244	162	129	130	144	258	150	397	514	640	235	139	268	233	171	293					
2	Число полученных избирательных бюллетеней	8504	880	375	109	81	236	709	301	176	556	248	99	351	227	247	160	129	129	143	255	150	406	517	603	228	141	263	321	173	291					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5921	541	263	67	69	134	426	221	91	394	214	84	240	199	203	133	76	110	121	224	107	249	286	472	142	104	194	233	135	189					
5	"Число избирательных бюллетеней, выданных вне помещения"	252	18	3	0	0	0	27	12	21	28	0	0	0	0	0	0	10	0	0	0	0	36	37	29	15	0	9	0	0	7					
6	Число погашенных избирательных бюллетеней	2331	321	109	42	12	102	256	68	64	134	34	15	111	28	44	27	43	19	22	31	43	121	194	102	71	37	60	88	38	95					
7	Число избирательных бюллетеней в переносных ящиках	252	18	3	0	0	0	27	12	21	28	0	0	0	0	0	0	10	0	0	0	0	36	37	29	15	0	9	0	0	7					
8	Число бюллетеней в стационарных ящиках для голосования	5919	541	262	67	69	134	426	221	91	394	214	84	240	199	203	133	76	110	121	224	107	249	286	472	142	104	194	233	135	188					
9	Число недействительных избирательных бюллетеней	52	5	2	2	1	2	2	3	0	2	0	0	1	3	0	0	2	1	0	4	2	1	7	4	0	0	0	1	4	3					
10	Число действительных избирательных бюллетеней	6119	554	263	65	68	132	451	230	112	420	214	84	239	196	203	133	84	109	121	220	105	284	316	497	157	104	203	232	131	192					
11	Число полученных открепительных  удостоверений	199	13	7	4	3	5	12	7	4	10	8	3	8	6	7	5	4	4	6	7	5	10	11	11	6	5	7	9	5	7					
12	Число выданных открепительных удостоверений	37	9	0	0	0	0	1	0	0	1	0	0	4	0	0	0	1	0	0	0	0	9	2	6	1	0	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	1	1	0	1	4	0	4	1	0	0	2	1	1	2	0	1	1	2	3	1	3	1	0	0	0	1	0	0	3					
14	Число неиспользованных открепительных удостоверений	162	4	7	4	3	5	11	7	4	9	8	3	4	6	7	5	3	4	6	7	5	1	9	5	5	5	7	6	5	7					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	274	35	13	4	3	5	6	1	1	11	6	10	17	10	4	8	6	7	2	16	2	14	18	21	13	2	13	9	8	9					
		4.44%	6.26%	4.91%	5.97%	4.35%	3.73%	1.32%	0.43%	0.89%	2.61%	2.80%	11.90%	7.08%	5.03%	1.97%	6.02%	6.98%	6.36%	1.65%	7.14%	1.87%	4.91%	5.57%	4.19%	8.28%	1.92%	6.40%	3.86%	5.93%	4.62%					
19	. Малышкин Олег Александрович	256	24	36	1	2	10	22	8	10	16	0	4	5	3	7	8	2	1	4	10	11	7	8	21	7	3	9	5	3	9					
		4.15%	4.29%	13.58%	1.49%	2.90%	7.46%	4.86%	3.43%	8.93%	3.79%	0.00%	4.76%	2.08%	1.51%	3.45%	6.02%	2.33%	0.91%	3.31%	4.46%	10.28%	2.46%	2.48%	4.19%	4.46%	2.88%	4.43%	2.15%	2.22%	4.62%					
20	. Миронов Сергей Михайлович	50	5	5	1	1	1	3	2	1	3	1	0	0	1	2	1	0	1	1	1	1	6	2	2	5	0	2	2	0	0					
		0.81%	0.89%	1.89%	1.49%	1.45%	0.75%	0.66%	0.86%	0.89%	0.71%	0.47%	0.00%	0.00%	0.50%	0.99%	0.75%	0.00%	0.91%	0.83%	0.45%	0.93%	2.11%	0.62%	0.40%	3.18%	0.00%	0.99%	0.86%	0.00%	0.00%					
21	. Путин Владимир Владимирович	3587	362	146	40	29	84	271	160	70	256	75	48	88	90	118	86	42	59	85	119	56	156	195	303	97	66	135	134	105	112					
		58.13%	64.76%	55.09%	59.70%	42.03%	62.69%	59.82%	68.67%	62.50%	60.66%	35.05%	57.14%	36.67%	45.23%	58.13%	64.66%	48.84%	53.64%	70.25%	53.12%	52.34%	54.74%	60.37%	60.48%	61.78%	63.46%	66.50%	57.51%	77.78%	57.44%					
22	. Хакамада Ирина Муцуовна	125	15	5	4	3	2	8	3	3	6	3	0	8	1	0	7	1	5	3	3	11	2	12	9	1	0	4	1	0	5					
		2.03%	2.68%	1.89%	5.97%	4.35%	1.49%	1.77%	1.29%	2.68%	1.42%	1.40%	0.00%	3.33%	0.50%	0.00%	5.26%	1.16%	4.55%	2.48%	1.34%	10.28%	0.70%	3.72%	1.80%	0.64%	0.00%	1.97%	0.43%	0.00%	2.56%					
23	. Харитонов Николай Михайлович	1685	98	57	15	29	24	131	54	27	113	126	19	112	91	65	22	32	36	25	45	24	94	73	130	33	33	36	72	13	56					
		27.31%	17.53%	21.51%	22.39%	42.03%	17.91%	28.92%	23.18%	24.11%	26.78%	58.88%	22.62%	46.67%	45.73%	32.02%	16.54%	37.21%	32.73%	20.66%	20.09%	22.43%	32.98%	22.60%	25.95%	21.02%	31.73%	17.73%	30.90%	9.63%	28.72%					
																																				
24	Против всех	142	15	1	0	1	6	10	2	0	15	3	3	9	0	7	1	1	0	1	26	0	5	8	11	1	0	4	9	2	1					
		2.30%	2.68%	0.38%	0.00%	1.45%	4.48%	2.21%	0.86%	0.00%	3.55%	1.40%	3.57%	3.75%	0.00%	3.45%	0.75%	1.16%	0.00%	0.83%	11.61%	0.00%	1.75%	2.48%	2.20%	0.64%	0.00%	1.97%	3.86%	1.48%	0.51%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
