Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
Наименование Избирательной комиссии:    Чеховская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123					
1	"Число избирателей, внесенных в список избирателей"	97388	2210	1961	1316	1675	2578	2842	2812	2514	2767	2778	1866	1419	2729	1088	1687	1872	2143	2470	2668	2410	2000	1460	1627	862	2129	2198	2397	1417	2448	1852	2626	1913	2290	1789	1947	805	815	746	2211	2589	2591	1140	932	1934	1359	631	1287	1543	1940	1207	2898					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85800	2000	1800	1100	1400	2300	2500	2500	2200	2500	2500	1600	1200	2400	800	1400	1700	1900	2100	2400	2100	1700	1200	1200	700	1800	1900	2100	1200	2100	1600	2600	1600	2000	1600	1700	700	700	1100	2000	2300	2300	1000	800	1600	1200	500	1100	1700	1800	1100	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	45252	1082	1009	570	726	1052	1319	1238	1231	1290	1242	807	613	1240	447	705	915	1267	1015	1051	1079	1226	707	1058	352	887	854	935	580	1122	1173	809	1027	521	740	779	316	402	743	1203	1470	1497	444	441	712	534	276	520	797	1210	633	1386					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3363	19	10	23	21	33	22	77	25	35	31	13	36	24	2	17	20	8	70	46	37	16	3	5	158	23	19	72	64	27	70	771	43	1043	13	29	29	0	3	22	11	13	79	4	67	51	89	22	10	25	5	8					
6	Число погашенных избирательных бюллетеней	37180	899	781	507	653	1215	1159	1185	944	1170	1227	780	551	1136	351	678	765	625	1015	1303	984	458	490	137	190	890	1027	1093	556	951	357	1020	530	436	847	892	355	298	354	775	819	790	477	355	821	615	135	558	893	565	462	1106					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3363	19	10	23	21	33	22	77	25	35	31	13	36	24	2	17	20	8	70	46	37	16	3	5	158	23	19	72	64	27	70	771	43	1043	13	29	29	0	3	22	11	13	79	4	67	51	89	22	10	25	5	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45225	1082	1009	570	726	1052	1319	1238	1231	1290	1242	807	613	1240	447	705	915	1267	1015	1051	1079	1226	707	1058	352	887	854	935	580	1122	1173	803	1027	521	740	779	316	402	743	1203	1470	1490	444	441	712	534	276	520	797	1206	623	1386					
9	Число недействительных избирательных бюллетеней	1217	9	12	17	21	30	27	8	30	25	30	32	7	43	6	14	26	8	37	16	15	25	13	27	9	27	31	3	18	27	33	37	58	31	23	18	5	11	30	49	59	61	6	22	13	17	13	18	33	39	5	43					
10	Число действительных избирательных бюллетеней	47371	1092	1007	576	726	1055	1314	1307	1226	1300	1243	788	642	1221	443	708	909	1267	1048	1081	1101	1217	697	1036	501	883	842	1004	626	1122	1210	1537	1012	1533	730	790	340	391	716	1176	1422	1442	517	423	766	568	352	524	774	1192	623	1351					
