Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Октябрьская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18516	954	2055	1118	1266	2023	269	891	1046	1943	959	954	742	406	321	125	1114	136	382	375	212	129	177	392	211	140	176									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14830	760	1700	800	1000	1600	240	700	830	1560	760	760	600	330	250	110	900	110	300	300	190	110	160	300	190	120	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6811	396	944	515	460	646	89	390	298	620	232	222	288	127	140	61	392	60	193	185	80	53	26	172	74	55	93									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2075	28	83	41	45	142	34	44	80	145	263	237	145	131	38	20	214	31	54	50	33	17	62	34	52	27	25									
6	Число погашенных избирательных бюллетеней	5944	336	673	244	495	812	117	266	452	795	265	301	167	72	72	29	294	19	53	65	77	40	72	94	64	38	32									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2075	28	83	41	45	142	34	44	80	145	263	237	145	131	38	20	214	31	54	50	33	17	62	34	52	27	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6811	396	944	515	460	646	89	390	298	620	232	222	288	127	140	61	392	60	193	185	80	53	26	172	74	55	93									
9	Число недействительных избирательных бюллетеней	199	5	28	8	14	23	4	14	10	16	11	9	8	0	3	0	13	4	3	2	6	4	0	6	4	2	2									
10	Число действительных избирательных бюллетеней	8687	419	999	548	491	765	119	420	368	749	484	450	425	258	175	81	593	87	244	233	107	66	88	200	122	80	116									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	212	10	20	10	10	20	5	10	10	18	5	10	10	10	5	2	10	2	5	5	2	2	2	5	15	3	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	123	4	13	10	9	9	2	6	8	4	2	4	10	3	0	1	5	0	5	4	1	1	0	5	10	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	1	5	4	4	2	0	1	2	2	1	1	2	0	2	0	4	1	3	2	1	2	1	0	0	1	6									
14	Число погашенных неиспользованных открепительных удостоверений	89	6	7	0	1	11	3	4	2	14	3	6	0	7	5	1	5	2	0	1	1	1	2	0	5	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	1	4	5	4	2	1	2	0	2	1	0	0	1	1	0	0	0	0	2	1	2	0	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	87	11	11	6	8	9	1	7	11	6	3	2	0	0	0	0	2	2	1	0	3	1	0	0	1	1	1									
