Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    ЗАТО Комаровский											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №1813	УИК №1814	УИК №1815	УИК №1816					
1	"Число избирателей, внесенных в списки избирателей"	6326	1118	1763	1749	1696					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5862	1122	1570	1600	1570					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	371	192	68	50	61					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3801	759	1007	1058	977					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	93	64	13	7	9					
6	Число погашенных избирательных бюллетеней	1597	107	482	485	523					
7	Число избирательных бюллетеней в переносных ящиках для голосования	464	256	81	57	70					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3801	759	1007	1058	977					
9	Число недействительных избирательных бюллетеней	37	4	5	17	11					
10	Число действительных избирательных бюллетеней	4228	1011	1083	1098	1036					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	97	22	25	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	27	1	7	9	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	30	0	25	0	5					
14	Число погашенных неиспользованных открепительных удостоверений	70	21	18	16	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	53	4	20	14	15					
		1.24%	0.39%	1.84%	1.26%	1.43%					
19	2.Всероссийская политическая партия «Гражданская Сила»	27	2	10	6	9					
		0.63%	0.20%	0.92%	0.54%	0.86%					
20	3.Политическая партия «Демократическая партия России»	4	2	1	1	0					
		0.09%	0.20%	0.09%	0.09%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	260	25	80	81	74					
		6.10%	2.46%	7.35%	7.26%	7.07%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	13	3	4	3	3					
		0.30%	0.30%	0.37%	0.27%	0.29%					
23	6.Политическая партия «Партия социальной справедливости»	12	3	2	5	2					
		0.28%	0.30%	0.18%	0.45%	0.19%					
24	7.Политическая партия «Либерально-демократическая партия России»	681	220	156	140	165					
		15.97%	21.67%	14.34%	12.56%	15.76%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	262	12	92	81	77					
		6.14%	1.18%	8.46%	7.26%	7.35%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	25	5	7	8	5					
		0.59%	0.49%	0.64%	0.72%	0.48%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2866	733	702	753	678					
		67.20%	72.22%	64.52%	67.53%	64.76%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	25	2	9	6	8					
		0.59%	0.20%	0.83%	0.54%	0.76%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
