Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Карачаевская городская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18976	200	1349	1543	1626	1430	704	2188	816	605	2717	717	1403	944	971	837	720	206									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18971	199	1345	1539	1629	1436	701	2179	819	607	2725	717	1396	942	972	835	723	207									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17316	170	1219	1413	1500	1309	591	2008	742	554	2515	655	1285	860	890	766	658	181									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	440	17	42	35	20	28	67	45	21	14	32	15	27	15	18	17	15	12									
6	Число погашенных избирательных бюллетеней	1207	12	84	91	109	99	43	126	56	39	178	47	84	59	64	52	50	14									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	448	17	42	35	20	28	67	45	21	14	32	15	27	23	18	17	15	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17316	170	1219	1413	1500	1309	591	2008	742	554	2515	655	1285	860	890	766	658	181									
9	Число недействительных избирательных бюллетеней	18	0	0	4	0	0	0	6	0	2	6	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	17746	187	1261	1444	1520	1337	658	2047	763	566	2541	670	1312	883	908	783	673	193									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	51	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	51	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3									
