Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Маслянинская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756					
1	"Число избирателей, внесенных в списки избирателей"	21112	448	147	459	321	450	64	496	157	553	475	138	98	586	370	758	185	163	214	429	194	1395	474	105	399	195	133	434	1040	1680	1580	735	1391	1327	755	704	1239	821					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20700	450	160	450	300	450	90	500	150	550	500	140	100	600	350	750	180	170	200	450	200	1310	450	100	400	200	130	420	1000	1650	1600	750	1300	1200	750	700	1200	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12283	263	99	316	211	291	38	303	89	434	325	111	74	341	210	424	114	121	125	299	126	754	303	76	296	146	105	311	599	872	810	323	758	721	382	401	626	486					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1081	17	10	9	12	30	26	26	22	32	28	12	7	40	21	50	7	8	22	28	11	82	33	0	27	14	0	13	40	70	49	38	41	105	29	27	54	41					
6	Число погашенных избирательных бюллетеней	7336	170	51	125	77	129	26	171	39	84	147	17	19	219	119	276	59	41	53	123	63	474	114	24	77	40	25	96	361	708	741	389	501	374	339	272	520	273					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1081	17	10	9	12	30	26	26	22	32	28	12	7	40	21	50	7	8	22	28	11	82	33	0	27	14	0	13	40	70	49	38	41	105	29	27	54	41					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12281	263	99	316	211	289	38	303	89	434	325	111	74	341	210	424	114	121	125	299	126	754	303	76	296	146	105	311	599	872	810	323	758	721	382	401	626	486					
9	Число недействительных избирательных бюллетеней	134	3	1	5	3	3	0	0	0	6	6	1	0	3	0	3	1	4	1	2	1	9	2	0	4	2	2	5	15	9	14	2	4	9	2	3	5	4					
10	Число действительных избирательных бюллетеней	13228	277	108	320	220	316	64	329	111	460	347	122	81	378	231	471	120	125	146	325	136	827	334	76	319	158	103	319	624	933	845	359	795	817	409	425	675	523					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	199	5	5	5	5	5	2	0	0	12	5	4	4	5	4	5	5	5	5	12	6	14	2	2	5	5	5	5	9	18	7	3	7	3	3	3	4	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	171	5	5	5	5	5	2	0	0	12	5	4	4	5	4	5	1	5	1	12	6	14	2	2	5	4	0	3	9	18	4	1	3	3	3	0	4	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	91	3	0	3	1	2	3	1	2	1	0	1	0	7	3	5	1	1	1	2	2	5	1	1	1	1	1	3	6	7	9	1	4	2	1	0	5	4					
