Выборы Президента Российской Федерации																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Баймакская																																																																																				
																																																																																				
Итоги голосования 																																																																																				
																																																																																				
		Сумма	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495					
1	"Число избирателей, внесенных в список"	39083	1836	1061	1360	1745	1079	948	2162	729	471	136	1037	194	360	117	419	718	332	112	192	498	603	131	639	231	144	613	376	247	532	659	650	332	639	253	113	296	269	238	313	2017	275	306	390	235	246	574	329	380	914	525	333	202	126	821	103	497	246	122	1508	228	253	249	158	255	1753	148	189	252	204	150	347	347	106	356	619	229	307					
2	Число полученных избирательных бюллетеней	39286	1837	1015	1315	1648	1013	927	2189	731	483	136	1117	204	365	125	430	704	338	119	199	507	600	141	640	240	144	619	390	266	544	664	648	334	643	264	119	296	271	250	321	1998	280	311	402	242	245	568	331	385	916	534	337	207	137	825	113	512	249	127	1505	230	259	260	160	265	1744	153	195	244	210	154	358	351	110	375	640	232	326					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	35417	1694	834	1193	1301	753	744	1726	588	448	136	1008	193	354	114	386	648	297	112	192	497	580	125	588	231	141	588	365	238	473	604	642	320	622	244	113	296	269	237	313	1831	271	288	367	233	236	550	316	376	870	453	318	189	121	795	103	467	229	119	1336	198	253	249	158	227	1566	142	177	244	195	150	340	344	106	346	605	208	234					
5	"Число избирательных бюллетеней, выданных вне помещения"	1487	60	46	75	163	56	70	199	34	19	0	29	0	4	3	19	23	13	0	0	1	15	6	31	0	3	6	11	9	48	38	6	8	16	8	0	0	0	0	0	49	0	6	15	0	8	15	0	0	24	72	9	0	0	16	0	0	10	3	39	9	0	0	0	11	52	0	9	0	5	0	7	0	0	10	13	14	72					
6	Число погашенных избирательных бюллетеней	2382	83	135	47	184	204	113	264	109	16	0	80	11	7	8	25	33	28	7	7	9	5	10	21	9	0	25	14	19	23	22	0	6	5	12	6	0	2	13	8	118	9	17	20	9	1	3	15	9	22	9	10	18	16	14	10	45	10	5	130	23	6	11	2	27	126	11	9	0	10	4	11	7	4	19	22	10	20					
7	Число избирательных бюллетеней в переносных ящиках	1487	60	46	75	163	56	70	199	34	19	0	29	0	4	3	19	23	13	0	0	1	15	6	31	0	3	6	11	9	48	38	6	8	16	8	0	0	0	0	0	49	0	6	15	0	8	15	0	0	24	72	9	0	0	16	0	0	10	3	39	9	0	0	0	11	52	0	9	0	5	0	7	0	0	10	13	14	72					
8	Число бюллетеней в стационарных ящиках для голосования	35417	1694	834	1193	1301	753	744	1726	588	448	136	1008	193	354	114	386	648	297	112	192	497	580	125	588	231	141	588	365	238	473	604	642	320	622	244	113	296	269	237	313	1831	271	288	367	233	236	550	316	376	870	453	318	189	121	795	103	467	229	119	1336	198	253	249	158	227	1566	142	177	244	195	150	340	344	106	346	605	208	234					
9	Число недействительных избирательных бюллетеней	196	2	0	8	6	2	0	7	0	0	0	0	1	0	0	1	6	3	1	0	0	27	0	4	5	0	0	7	0	24	35	3	0	1	0	0	0	0	0	0	0	0	2	5	2	0	0	2	0	0	0	0	3	0	7	0	2	6	0	0	0	0	0	0	0	4	3	5	0	1	0	0	0	0	4	3	1	3					
10	Число действительных избирательных бюллетеней	36708	1752	880	1260	1458	807	814	1918	622	467	136	1037	192	358	117	404	665	307	111	192	498	568	131	615	226	144	594	369	247	497	607	645	328	637	252	113	296	269	237	313	1880	271	292	377	231	244	565	314	376	894	525	327	186	121	804	103	465	233	122	1375	207	253	249	158	238	1614	139	181	244	199	150	347	344	106	352	615	221	303					
11	Число полученных открепительных  удостоверений	550	35	30	40	40	15	15	30	10	6	2	12	0	5	2	2	8	4	2	2	8	8	2	8	2	2	13	3	3	8	13	8	4	8	4	2	5	3	2	3	15	3	3	3	3	5	8	3	3	10	16	5	2	2	10	2	3	2	2	15	2	2	4	2	5	20	2	2	2	2	2	2	3	2	2	8	2	2					
12	Число выданных открепительных удостоверений	297	18	26	28	26	11	13	13	7	2	0	11	0	1	2	2	8	1	0	0	3	6	2	3	1	0	12	3	2	3	8	2	1	3	3	0	0	0	0	0	3	1	2	1	0	0	4	3	0	1	15	4	0	0	5	0	1	0	0	12	0	0	0	0	2	7	0	0	0	0	0	2	3	0	0	6	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	213	5	6	10	24	4	2	5	0	4	0	2	0	3	3	0	4	2	2	3	3	0	1	2	2	5	5	0	1	3	0	0	3	2	3	3	3	1	0	2	9	1	2	5	0	1	6	4	1	3	4	3	3	0	2	0	0	0	0	5	5	0	2	1	2	6	4	2	3	2	3	0	1	4	3	2	6	0					
