Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																												
Дата голосования: 18.09.2016																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Воскресенская																																																																																												
																																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																												
																																																																																												
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	120036	1782	1983	1854	1783	1616	1864	1772	1624	1958	1470	1716	1520	547	1773	1949	109	1254	995	1616	1726	2228	1271	2763	2073	1842	1875	1756	1982	1762	838	1679	1488	2323	1737	2835	618	1893	1780	1320	2265	150	1658	1891	1883	1846	1909	759	960	944	549	1263	231	906	1462	1422	608	448	1112	601	226	2555	2302	2437	2406	2723	3073	2371	333	321	589	805	1118	674	1704	1575	223	1705	1547	1097	1851	560									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	108019	1620	1790	1686	1616	1443	1681	1602	1472	1767	1327	1544	1344	489	1544	1737	111	1111	894	1446	1566	1997	1143	2503	1859	1676	1712	1585	1788	1592	750	1507	1332	2079	1569	2560	554	1718	1616	1191	2024	152	1481	1697	1685	1679	1714	674	863	861	497	1148	212	830	1326	1268	543	401	1030	544	204	2300	2081	2174	2146	2439	2697	2120	296	298	529	724	1014	599	1553	1400	197	1543	1408	979	1668	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37969	595	646	635	656	532	641	544	560	648	549	498	550	216	642	673	0	374	311	529	574	831	354	819	672	632	667	423	662	486	142	502	358	770	510	762	194	568	529	377	688	150	554	632	555	658	576	217	336	260	145	469	56	371	409	295	91	73	364	176	27	746	750	868	894	942	884	738	121	146	237	271	350	172	430	432	42	530	532	391	616	144									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1960	4	5	3	7	6	5	8	7	8	5	12	9	23	5	4	109	6	6	21	5	8	3	5	5	8	5	4	3	11	8	3	2	3	9	12	10	7	7	3	10	0	3	3	17	5	92	20	21	99	25	25	44	16	16	159	113	85	67	49	38	17	13	10	19	25	20	47	27	3	58	42	17	63	33	77	22	34	22	37	40	53									
6	Число погашенных избирательных бюллетеней	68075	1021	1134	1046	953	905	1035	1050	905	1111	773	1034	785	250	897	1060	2	731	575	896	987	1158	786	1679	1182	1036	1040	1158	1123	1095	600	1002	971	1306	1050	1786	350	1143	1080	811	1326	2	924	1062	1113	1016	1046	437	506	502	327	654	112	443	901	814	339	243	599	319	139	1537	1318	1296	1233	1472	1793	1335	148	149	234	411	647	364	1090	891	133	978	850	551	1012	303									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1957	4	5	3	7	6	5	8	7	8	5	12	9	23	5	4	109	6	6	21	5	8	3	5	5	8	5	4	3	11	8	3	2	3	9	12	9	7	7	3	10	0	3	3	17	5	92	20	21	99	25	25	44	16	16	159	113	85	67	49	38	16	13	10	19	25	19	47	27	3	58	42	17	63	33	77	22	34	22	37	40	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37861	594	646	635	649	532	641	544	551	647	548	498	549	216	642	673	0	374	309	508	569	831	354	819	672	632	667	423	662	486	142	502	358	765	510	747	193	568	529	377	683	150	551	632	549	658	576	217	334	259	145	469	56	371	409	295	91	73	364	176	27	730	749	868	894	942	881	738	121	146	237	271	350	172	430	432	42	528	532	391	616	144									
9	Число недействительных избирательных бюллетеней	1185	23	11	13	29	18	22	16	21	22	18	7	12	2	17	22	6	9	6	18	30	16	11	28	12	8	26	21	28	31	1	15	12	21	25	17	4	28	14	10	23	5	17	31	15	15	17	4	8	7	4	17	4	9	16	10	2	3	13	5	1	12	20	22	34	31	22	23	4	5	4	6	9	8	14	20	1	17	25	11	20	1									
10	Число действительных избирательных бюллетеней	38633	575	640	625	627	520	624	536	537	633	535	503	546	237	630	655	103	371	309	511	544	823	346	796	665	632	646	406	637	466	149	490	348	747	494	742	198	547	522	370	670	145	537	604	551	648	651	233	347	351	166	477	96	378	409	444	202	155	418	220	64	734	742	856	879	936	878	762	144	144	291	307	358	227	449	489	63	545	529	417	636	196									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1581	30	15	30	15	15	30	15	30	15	16	30	15	15	15	15	0	15	15	15	30	20	15	45	30	30	15	15	30	15	15	15	15	30	15	15	15	30	15	15	15	0	15	15	15	15	30	15	15	15	15	30	15	15	15	15	15	15	30	15	15	30	30	15	45	45	45	15	15	15	15	15	15	15	15	15	15	30	30	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1004	18	14	19	8	14	16	11	18	14	16	19	13	2	13	12	0	4	7	15	13	17	6	24	25	16	13	4	15	8	2	10	10	30	13	14	3	18	13	9	15	0	9	15	13	15	21	2	8	15	10	23	10	15	10	8	8	2	28	12	0	28	23	15	28	19	37	15	1	8	4	8	7	3	10	6	1	18	27	2	7	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	595	3	7	8	2	11	2	2	10	11	13	21	36	5	43	13	0	17	5	6	0	21	5	9	4	4	2	1	3	1	8	11	2	4	4	3	1	5	8	5	6	0	6	2	6	11	14	4	5	4	9	8	4	0	6	10	1	7	1	7	0	16	9	12	9	15	5	6	10	3	6	8	1	9	8	11	5	7	2	13	7	6									
14	Число погашенных неиспользованных открепительных удостоверений	577	12	1	11	7	1	14	4	12	1	0	11	2	13	2	3	0	11	8	0	17	3	9	21	5	14	2	11	15	7	13	5	5	0	2	1	12	12	2	6	0	0	6	0	2	0	9	13	7	0	5	7	5	0	5	7	7	13	2	3	15	2	7	0	17	26	8	0	14	7	11	7	8	12	5	9	14	12	3	13	8	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	182	2	1	5	1	1	2	1	2	5	3	3	6	1	2	10	0	0	0	8	3	3	1	4	2	4	6	4	0	2	1	2	2	8	1	5	1	2	7	0	3	0	5	1	3	2	1	0	2	3	0	0	1	0	6	3	4	1	4	1	0	0	2	2	1	4	3	4	2	1	1	0	0	0	2	1	1	1	1	2	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	15	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	866	16	12	9	11	10	15	12	14	13	10	12	12	6	8	14	0	8	6	3	17	12	12	14	14	13	12	13	10	9	1	16	3	18	6	16	3	6	9	7	10	3	12	22	17	21	16	3	5	7	3	8	1	4	8	10	2	1	3	4	1	15	23	39	32	40	38	19	0	2	5	2	7	2	3	3	3	6	14	22	19	9									
		2.17%	2.68%	1.84%	1.41%	1.68%	1.86%	2.32%	2.17%	2.51%	1.98%	1.81%	2.35%	2.15%	2.51%	1.24%	2.07%	0.00%	2.11%	1.90%	0.57%	2.96%	1.43%	3.36%	1.70%	2.07%	2.03%	1.79%	3.04%	1.50%	1.81%	0.67%	3.17%	0.83%	2.34%	1.16%	2.11%	1.49%	1.04%	1.68%	1.84%	1.44%	2.00%	2.17%	3.46%	3.00%	3.17%	2.40%	1.27%	1.41%	1.96%	1.76%	1.62%	1.00%	1.03%	1.88%	2.20%	0.98%	0.63%	0.70%	1.78%	1.54%	2.01%	3.02%	4.44%	3.50%	4.14%	4.22%	2.42%	0.00%	1.34%	1.69%	0.64%	1.91%	0.85%	0.65%	0.59%	4.69%	1.07%	2.53%	5.14%	2.90%	4.57%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	931	18	20	11	15	13	13	14	25	15	26	19	7	8	16	19	0	7	7	17	18	12	1	13	11	21	16	10	17	17	2	3	9	17	6	16	4	7	15	13	13	1	9	16	9	19	13	5	9	9	7	17	1	10	8	12	1	6	7	5	2	20	13	15	20	18	18	26	8	3	8	8	12	3	8	25	4	13	11	12	6	3									
		2.34%	3.01%	3.07%	1.72%	2.29%	2.42%	2.01%	2.54%	4.48%	2.29%	4.70%	3.73%	1.25%	3.35%	2.47%	2.81%	0.00%	1.84%	2.22%	3.21%	3.14%	1.43%	0.28%	1.58%	1.62%	3.28%	2.38%	2.34%	2.56%	3.42%	1.33%	0.59%	2.50%	2.21%	1.16%	2.11%	1.98%	1.22%	2.80%	3.42%	1.88%	0.67%	1.62%	2.52%	1.59%	2.87%	1.95%	2.11%	2.54%	2.51%	4.12%	3.44%	1.00%	2.58%	1.88%	2.64%	0.49%	3.80%	1.62%	2.22%	3.08%	2.68%	1.71%	1.71%	2.19%	1.86%	2.00%	3.31%	5.41%	2.01%	2.71%	2.56%	3.27%	1.28%	1.73%	4.91%	6.25%	2.31%	1.99%	2.80%	0.91%	1.52%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1301	28	17	24	16	18	16	14	30	20	13	8	13	9	14	22	2	10	8	25	11	27	4	31	21	31	30	4	19	17	2	24	9	25	19	25	13	20	9	15	30	3	23	25	19	17	16	12	10	14	2	11	7	11	17	5	10	6	17	6	2	23	36	39	38	43	34	22	6	7	9	3	9	5	11	14	0	14	19	14	22	7									
		3.27%	4.68%	2.61%	3.76%	2.44%	3.35%	2.48%	2.54%	5.38%	3.05%	2.35%	1.57%	2.33%	3.77%	2.16%	3.25%	1.83%	2.63%	2.54%	4.73%	1.92%	3.22%	1.12%	3.76%	3.10%	4.84%	4.46%	0.94%	2.86%	3.42%	1.33%	4.75%	2.50%	3.26%	3.66%	3.29%	6.44%	3.48%	1.68%	3.95%	4.33%	2.00%	4.15%	3.94%	3.36%	2.56%	2.40%	5.06%	2.82%	3.91%	1.18%	2.23%	7.00%	2.84%	4.00%	1.10%	4.90%	3.80%	3.94%	2.67%	3.08%	3.08%	4.72%	4.44%	4.16%	4.45%	3.78%	2.80%	4.05%	4.70%	3.05%	0.96%	2.45%	2.13%	2.38%	2.75%	0.00%	2.49%	3.43%	3.27%	3.35%	3.55%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17878	241	260	271	252	213	243	247	228	255	229	225	243	116	242	265	50	147	124	266	218	343	141	377	330	270	281	183	303	183	64	242	172	329	231	361	89	286	245	170	309	98	265	246	248	293	366	110	175	238	96	238	41	215	202	254	112	87	198	129	42	339	340	375	360	384	344	376	66	73	170	142	153	155	258	240	15	303	273	185	343	87									
		44.90%	40.30%	39.94%	42.48%	38.41%	39.59%	37.62%	44.75%	40.86%	38.93%	41.41%	44.12%	43.55%	48.54%	37.40%	39.14%	45.87%	38.68%	39.37%	50.28%	37.98%	40.88%	39.50%	45.75%	48.74%	42.19%	41.82%	42.86%	45.56%	36.82%	42.67%	47.92%	47.78%	42.84%	44.51%	47.56%	44.06%	49.74%	45.71%	44.74%	44.59%	65.33%	47.83%	38.74%	43.82%	44.19%	54.79%	46.41%	49.30%	66.48%	56.47%	48.18%	41.00%	55.56%	47.53%	55.95%	54.90%	55.06%	45.94%	57.33%	64.62%	45.44%	44.62%	42.71%	39.43%	39.71%	38.22%	47.90%	44.59%	48.99%	57.63%	45.37%	41.69%	65.96%	55.72%	47.15%	23.44%	53.91%	49.28%	43.22%	52.29%	44.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	502	5	9	7	11	8	13	8	6	9	8	9	10	3	11	12	0	6	5	3	14	12	8	10	7	7	7	5	3	4	1	7	4	9	9	8	1	4	5	4	13	4	10	7	12	9	9	1	1	5	0	11	2	3	1	2	1	3	7	1	0	14	13	13	8	15	12	6	1	1	2	4	5	0	1	4	1	10	5	4	8	1									
		1.26%	0.84%	1.38%	1.10%	1.68%	1.49%	2.01%	1.45%	1.08%	1.37%	1.45%	1.76%	1.79%	1.26%	1.70%	1.77%	0.00%	1.58%	1.59%	0.57%	2.44%	1.43%	2.24%	1.21%	1.03%	1.09%	1.04%	1.17%	0.45%	0.80%	0.67%	1.39%	1.11%	1.17%	1.73%	1.05%	0.50%	0.70%	0.93%	1.05%	1.88%	2.67%	1.81%	1.10%	2.12%	1.36%	1.35%	0.42%	0.28%	1.40%	0.00%	2.23%	2.00%	0.78%	0.24%	0.44%	0.49%	1.90%	1.62%	0.44%	0.00%	1.88%	1.71%	1.48%	0.88%	1.55%	1.33%	0.76%	0.68%	0.67%	0.68%	1.28%	1.36%	0.00%	0.22%	0.79%	1.56%	1.78%	0.90%	0.93%	1.22%	0.51%									
24	"6. Политическая партия ""Гражданская Платформа"""	78	0	2	2	2	3	1	1	1	2	0	2	1	0	0	3	0	0	0	0	4	1	0	1	4	0	0	0	1	0	1	0	0	0	0	0	1	1	2	2	1	0	0	2	2	1	1	0	0	0	0	0	1	1	1	1	0	0	3	0	1	0	0	0	5	7	3	0	0	0	0	1	1	0	1	2	1	2	1	0	1	0									
		0.20%	0.00%	0.31%	0.31%	0.30%	0.56%	0.15%	0.18%	0.18%	0.31%	0.00%	0.39%	0.18%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.70%	0.12%	0.00%	0.12%	0.59%	0.00%	0.00%	0.00%	0.15%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.17%	0.37%	0.53%	0.14%	0.00%	0.00%	0.31%	0.35%	0.15%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.26%	0.24%	0.22%	0.00%	0.00%	0.70%	0.00%	1.54%	0.00%	0.00%	0.00%	0.55%	0.72%	0.33%	0.00%	0.00%	0.00%	0.00%	0.32%	0.27%	0.00%	0.22%	0.39%	1.56%	0.36%	0.18%	0.00%	0.15%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6590	88	119	101	115	110	103	92	86	113	87	88	102	29	85	125	26	67	59	89	81	129	71	157	111	108	111	83	104	91	30	87	55	118	87	122	23	89	103	64	107	14	87	121	101	125	77	53	65	31	27	90	15	56	82	83	45	26	97	45	6	159	116	120	161	139	166	116	29	16	41	69	73	34	65	73	8	86	69	63	101	25									
		16.55%	14.72%	18.28%	15.83%	17.53%	20.45%	15.94%	16.67%	15.41%	17.25%	15.73%	17.25%	18.28%	12.13%	13.14%	18.46%	23.85%	17.63%	18.73%	16.82%	14.11%	15.38%	19.89%	19.05%	16.40%	16.88%	16.52%	19.44%	15.64%	18.31%	20.00%	17.23%	15.28%	15.36%	16.76%	16.07%	11.39%	15.48%	19.22%	16.84%	15.44%	9.33%	15.70%	19.06%	17.84%	18.85%	11.53%	22.36%	18.31%	8.66%	15.88%	18.22%	15.00%	14.47%	19.29%	18.28%	22.06%	16.46%	22.51%	20.00%	9.23%	21.31%	15.22%	13.67%	17.63%	14.37%	18.44%	14.78%	19.59%	10.74%	13.90%	22.04%	19.89%	14.47%	14.04%	14.34%	12.50%	15.30%	12.45%	14.72%	15.40%	12.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	424	7	4	13	11	2	8	4	4	8	9	7	11	3	13	10	0	9	4	2	7	19	6	5	13	5	9	8	4	8	1	4	9	7	6	11	3	2	5	4	4	0	1	10	5	2	4	1	3	4	1	2	3	4	4	2	3	0	2	0	0	2	13	11	12	13	13	5	0	0	3	1	1	0	2	4	1	10	5	4	3	1									
		1.06%	1.17%	0.61%	2.04%	1.68%	0.37%	1.24%	0.72%	0.72%	1.22%	1.63%	1.37%	1.97%	1.26%	2.01%	1.48%	0.00%	2.37%	1.27%	0.38%	1.22%	2.26%	1.68%	0.61%	1.92%	0.78%	1.34%	1.87%	0.60%	1.61%	0.67%	0.79%	2.50%	0.91%	1.16%	1.45%	1.49%	0.35%	0.93%	1.05%	0.58%	0.00%	0.18%	1.57%	0.88%	0.30%	0.60%	0.42%	0.85%	1.12%	0.59%	0.40%	3.00%	1.03%	0.94%	0.44%	1.47%	0.00%	0.46%	0.00%	0.00%	0.27%	1.71%	1.25%	1.31%	1.34%	1.44%	0.64%	0.00%	0.00%	1.02%	0.32%	0.27%	0.00%	0.43%	0.79%	1.56%	1.78%	0.90%	0.93%	0.46%	0.51%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	590	9	18	17	5	5	11	10	4	14	10	4	12	8	22	16	1	10	7	9	12	14	4	8	8	4	9	4	12	8	6	9	6	14	5	9	2	9	7	6	10	4	8	6	8	6	7	0	3	0	0	3	3	7	3	6	0	1	1	2	1	9	21	8	15	31	20	7	0	2	7	0	3	2	4	7	0	6	3	9	4	5									
		1.48%	1.51%	2.76%	2.66%	0.76%	0.93%	1.70%	1.81%	0.72%	2.14%	1.81%	0.78%	2.15%	3.35%	3.40%	2.36%	0.92%	2.63%	2.22%	1.70%	2.09%	1.67%	1.12%	0.97%	1.18%	0.63%	1.34%	0.94%	1.80%	1.61%	4.00%	1.78%	1.67%	1.82%	0.96%	1.19%	0.99%	1.57%	1.31%	1.58%	1.44%	2.67%	1.44%	0.94%	1.41%	0.90%	1.05%	0.00%	0.85%	0.00%	0.00%	0.61%	3.00%	1.81%	0.71%	1.32%	0.00%	0.63%	0.23%	0.89%	1.54%	1.21%	2.76%	0.91%	1.64%	3.21%	2.22%	0.89%	0.00%	1.34%	2.37%	0.00%	0.82%	0.85%	0.86%	1.38%	0.00%	1.07%	0.54%	2.10%	0.61%	2.54%									
