Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																													
Дата голосования: 02.12.2007																													
																													
Наименование Избирательной комиссии:    Пряжинская																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439					
1	"Число избирателей, внесенных в списки избирателей"	13870	2016	1185	201	2353	304	133	116	918	793	207	391	2425	268	124	393	213	214	987	60	234	203	132					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11662	1600	900	200	1900	307	135	113	650	600	214	350	2000	275	220	396	216	210	750	58	237	209	122					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6946	1154	649	150	1046	111	55	69	339	452	118	217	1163	151	109	176	94	92	486	32	113	109	61					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	933	49	104	1	127	28	6	8	169	26	13	26	92	20	15	4	20	41	124	6	13	14	27					
6	Число погашенных избирательных бюллетеней	3783	397	147	49	727	168	74	36	142	122	83	107	745	104	96	216	102	77	140	20	111	86	34					
7	Число избирательных бюллетеней в переносных ящиках для голосования	932	49	104	1	127	28	6	8	169	26	13	26	91	20	15	4	20	41	124	6	13	14	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6946	1154	649	150	1046	111	55	69	339	452	118	217	1163	151	109	176	94	92	486	32	113	109	61					
9	Число недействительных избирательных бюллетеней	94	17	6	0	12	0	0	1	14	5	0	3	10	0	3	0	3	0	11	2	2	3	2					
10	Число действительных избирательных бюллетеней	7784	1186	747	151	1161	139	61	76	494	473	131	240	1244	171	121	180	111	133	599	36	124	120	86					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	220	25	20	3	40	10	5	5	8	12	5	10	20	5	5	5	5	5	10	3	5	9	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	132	21	14	1	32	1	0	0	1	9	5	8	11	0	2	5	4	2	6	0	3	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	126	18	10	3	20	4	0	1	3	4	2	3	21	5	3	4	3	6	7	2	1	4	2					
14	Число погашенных неиспользованных открепительных удостоверений	88	4	6	2	8	9	5	5	7	3	0	2	9	5	3	0	1	3	4	3	2	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	8	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	1.Политическая партия «Аграрная партия России»	167	26	22	0	12	3	4	2	3	9	1	6	34	0	2	2	0	4	30	0	1	5	1					
		2.12%	2.16%	2.92%	0.00%	1.02%	2.16%	6.56%	2.60%	0.59%	1.88%	0.76%	2.47%	2.71%	0.00%	1.61%	1.11%	0.00%	3.01%	4.92%	0.00%	0.79%	4.07%	1.14%					
19	2.Всероссийская политическая партия «Гражданская Сила»	71	14	8	4	4	2	0	0	9	7	0	1	9	2	2	1	0	0	4	1	2	1	0					
		0.90%	1.16%	1.06%	2.65%	0.34%	1.44%	0.00%	0.00%	1.77%	1.46%	0.00%	0.41%	0.72%	1.17%	1.61%	0.56%	0.00%	0.00%	0.66%	2.63%	1.59%	0.81%	0.00%					
20	3.Политическая партия «Демократическая партия России»	13	1	0	0	1	0	0	0	3	2	0	0	3	0	0	0	0	0	3	0	0	0	0					
		0.17%	0.08%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.59%	0.42%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	511	97	67	15	62	12	2	1	27	39	9	12	71	12	10	2	8	8	32	1	12	9	3					
		6.49%	8.06%	8.90%	9.93%	5.29%	8.63%	3.28%	1.30%	5.31%	8.16%	6.87%	4.94%	5.66%	7.02%	8.06%	1.11%	7.02%	6.02%	5.25%	2.63%	9.52%	7.32%	3.41%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	30	7	7	0	6	0	0	0	1	1	0	0	2	1	0	1	0	0	3	0	1	0	0					
		0.38%	0.58%	0.93%	0.00%	0.51%	0.00%	0.00%	0.00%	0.20%	0.21%	0.00%	0.00%	0.16%	0.58%	0.00%	0.56%	0.00%	0.00%	0.49%	0.00%	0.79%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	24	3	6	1	2	0	2	0	2	1	0	0	2	0	0	1	0	0	2	0	2	0	0					
		0.30%	0.25%	0.80%	0.66%	0.17%	0.00%	3.28%	0.00%	0.39%	0.21%	0.00%	0.00%	0.16%	0.00%	0.00%	0.56%	0.00%	0.00%	0.33%	0.00%	1.59%	0.00%	0.00%					
