Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Пряжинская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №437	УИК №438	УИК №439					
1	"Число избирателей, внесенных в список избирателей"	13911	2227	1106	178	2314	386	114	117	893	741	179	415	2503	222	184	397	226	196	993	219	182	119					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12400	1870	1020	170	2000	380	110	110	730	700	170	400	2250	220	180	350	190	170	910	200	170	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6254	1082	608	127	920	143	47	59	304	391	84	197	1096	116	101	166	80	65	458	94	65	51					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	728	93	44	0	110	17	13	5	114	36	13	35	77	26	12	3	14	37	51	6	5	17					
6	Число погашенных избирательных бюллетеней	5418	695	368	43	970	220	50	46	312	273	73	168	1077	78	67	181	96	68	401	100	100	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	728	93	44	0	110	17	13	5	114	36	13	35	77	26	12	3	14	37	51	6	5	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6252	1082	608	127	919	143	47	59	304	391	84	197	1095	116	101	166	80	65	458	94	65	51					
9	Число недействительных избирательных бюллетеней	142	26	11	0	20	5	1	0	7	6	2	2	28	3	1	3	5	2	14	0	2	4					
10	Число действительных избирательных бюллетеней	6838	1149	641	127	1009	155	59	64	411	421	95	230	1144	139	112	166	89	100	495	100	68	64					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	247	35	19	5	35	10	5	5	7	9	2	15	30	5	5	10	5	5	20	10	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	102	17	8	4	13	0	1	0	5	9	2	12	8	5	5	1	0	0	2	4	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	107	6	24	1	18	3	3	2	5	3	0	5	14	1	3	4	3	4	4	0	0	4					
14	Число погашенных неиспользованных открепительных удостоверений	145	18	11	1	22	10	4	5	2	0	0	3	22	0	0	9	5	5	18	6	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1431	274	139	28	155	23	10	3	83	101	19	36	317	13	17	39	11	6	119	16	13	9					
		20.50%	23.32%	21.32%	22.05%	15.06%	14.38%	16.67%	4.69%	19.86%	23.65%	19.59%	15.52%	27.05%	9.15%	15.04%	23.08%	11.70%	5.88%	23.38%	16.00%	18.57%	13.24%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1390	223	123	30	244	38	15	11	91	97	28	47	204	13	25	36	7	31	96	14	9	8					
		19.91%	18.98%	18.87%	23.62%	23.71%	23.75%	25.00%	17.19%	21.77%	22.72%	28.87%	20.26%	17.41%	9.15%	22.12%	21.30%	7.45%	30.39%	18.86%	14.00%	12.86%	11.76%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	51	13	3	1	3	1	0	1	7	1	0	2	5	1	0	2	1	2	6	1	0	1					
		0.73%	1.11%	0.46%	0.79%	0.29%	0.63%	0.00%	1.56%	1.67%	0.23%	0.00%	0.86%	0.43%	0.70%	0.00%	1.18%	1.06%	1.96%	1.18%	1.00%	0.00%	1.47%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1005	186	107	15	123	26	1	9	35	66	4	29	205	21	24	18	7	8	83	19	11	8					
		14.40%	15.83%	16.41%	11.81%	11.95%	16.25%	1.67%	14.06%	8.37%	15.46%	4.12%	12.50%	17.49%	14.79%	21.24%	10.65%	7.45%	7.84%	16.31%	19.00%	15.71%	11.76%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	215	52	25	9	38	3	4	3	7	11	0	2	24	0	2	3	2	4	15	7	4	0					
		3.08%	4.43%	3.83%	7.09%	3.69%	1.88%	6.67%	4.69%	1.67%	2.58%	0.00%	0.86%	2.05%	0.00%	1.77%	1.78%	2.13%	3.92%	2.95%	7.00%	5.71%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2695	389	237	43	439	63	29	37	185	145	44	111	381	90	44	66	61	48	175	43	30	35					
		38.61%	33.11%	36.35%	33.86%	42.66%	39.38%	48.33%	57.81%	44.26%	33.96%	45.36%	47.84%	32.51%	63.38%	38.94%	39.05%	64.89%	47.06%	34.38%	43.00%	42.86%	51.47%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	51	12	7	1	7	1	0	0	3	0	0	3	8	1	0	2	0	1	1	0	1	3					
