Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																								
Дата голосования: 02.12.2007																																								
																																								
Наименование Избирательной комиссии:    Тасеевская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №1855	УИК №1923	УИК №1924	УИК №1925	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1977	УИК №2079					
1	"Число избирателей, внесенных в списки избирателей"	10261	457	579	1009	731	734	493	504	54	603	72	43	117	39	37	359	125	98	67	278	172	265	76	47	384	167	85	63	101	33	520	142	1148	659					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10484	470	600	980	750	700	500	500	50	690	80	50	140	50	46	390	140	110	80	290	180	290	90	50	400	180	80	60	110	40	530	160	1018	680					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5874	247	290	521	368	275	275	263	34	331	56	36	99	27	32	260	92	88	50	191	127	208	63	38	255	111	58	52	64	33	295	105	583	347					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	765	21	67	55	39	61	15	32	0	63	5	0	0	0	0	36	0	0	10	32	14	15	5	9	17	11	5	4	18	0	71	15	94	51					
6	Число погашенных избирательных бюллетеней	3800	202	243	404	343	364	210	205	16	296	19	14	41	23	14	94	48	22	20	67	39	67	22	3	83	58	17	4	28	7	164	40	341	282					
7	Число избирательных бюллетеней в переносных ящиках для голосования	810	21	67	55	39	61	15	32	0	63	5	0	0	0	0	36	0	0	10	32	14	15	5	9	62	11	5	4	18	0	71	15	94	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5874	247	290	521	368	275	275	263	34	331	56	36	99	27	32	260	92	88	50	191	127	208	63	38	255	111	58	52	64	33	295	105	583	347					
9	Число недействительных избирательных бюллетеней	56	0	5	3	4	4	5	0	0	1	0	0	0	0	0	0	3	1	1	1	1	3	4	0	6	1	2	0	0	0	4	0	4	3					
10	Число действительных избирательных бюллетеней	6628	268	352	573	403	332	285	295	34	393	61	36	99	27	32	296	89	87	59	222	140	220	64	47	311	121	61	56	82	33	362	120	673	395					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	191	10	11	10	10	10	6	3	5	6	4	4	4	4	4	6	4	4	4	4	4	12	4	4	4	4	1	4	4	4	4	4	11	14					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	173	10	11	10	10	10	6	3	1	6	4	4	1	4	0	4	4	3	4	4	4	12	4	4	4	4	1	4	1	3	4	4	11	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	39	1	3	4	0	4	2	1	0	3	2	1	1	0	1	0	0	2	0	0	0	3	1	1	1	2	0	2	0	0	1	0	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	18	0	0	0	0	0	0	0	4	0	0	0	3	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	1.Политическая партия «Аграрная партия России»	188	6	9	13	26	11	9	6	0	17	0	1	7	0	1	4	2	2	1	3	5	2	4	1	11	5	1	3	3	0	4	1	21	9					
		2.81%	2.24%	2.52%	2.26%	6.39%	3.27%	3.10%	2.03%	0.00%	4.31%	0.00%	2.78%	7.07%	0.00%	3.13%	1.35%	2.17%	2.27%	1.67%	1.35%	3.55%	0.90%	5.88%	2.13%	3.47%	4.10%	1.59%	5.36%	3.66%	0.00%	1.09%	0.83%	3.10%	2.26%					
19	2.Всероссийская политическая партия «Гражданская Сила»	20	0	1	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	2	1	4	1					
		0.30%	0.00%	0.28%	0.00%	0.00%	0.60%	0.34%	0.68%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.45%	0.00%	0.00%	0.63%	0.82%	0.00%	0.00%	0.00%	0.00%	0.55%	0.83%	0.59%	0.25%					
20	3.Политическая партия «Демократическая партия России»	11	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	1	0					
		0.16%	0.00%	0.00%	0.00%	0.25%	0.30%	0.00%	0.68%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.15%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1214	50	85	99	37	54	50	59	13	108	13	7	16	9	8	54	29	9	9	30	20	51	7	9	25	39	16	14	24	13	68	21	118	50					
		18.16%	18.66%	23.81%	17.19%	9.09%	16.07%	17.24%	20.00%	38.24%	27.41%	21.31%	19.44%	16.16%	33.33%	25.00%	18.24%	31.52%	10.23%	15.00%	13.45%	14.18%	22.87%	10.29%	19.15%	7.89%	31.97%	25.40%	25.00%	29.27%	39.39%	18.58%	17.50%	17.43%	12.56%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	41	3	6	3	4	2	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6	0	3	2					
		0.61%	1.12%	1.68%	0.52%	0.98%	0.60%	0.34%	0.00%	0.00%	1.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.58%	0.00%	0.00%	0.00%	0.00%	0.00%	1.64%	0.00%	0.44%	0.50%					
23	6.Политическая партия «Партия социальной справедливости»	6	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0					
		0.09%	0.00%	0.56%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	589	20	22	51	58	23	28	16	4	50	10	8	8	2	3	11	0	11	6	10	7	14	12	4	33	8	6	1	7	1	54	8	65	28					
		8.81%	7.46%	6.16%	8.85%	14.25%	6.85%	9.66%	5.42%	11.76%	12.69%	16.39%	22.22%	8.08%	7.41%	9.38%	3.72%	0.00%	12.50%	10.00%	4.48%	4.96%	6.28%	17.65%	8.51%	10.41%	6.56%	9.52%	1.79%	8.54%	3.03%	14.75%	6.67%	9.60%	7.04%					
