Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
"Наименование Избирательной комиссии:    Хабаровск, Центральная"																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219					
1	"Число избирателей, внесенных в списки избирателей"	66208	2654	2254	2478	1851	2171	2541	2629	2370	1665	2437	2337	2295	1708	1787	2173	2561	2415	135	2165	2214	2407	2179	2523	2401	2730	2394	2145	2096	2007	2486					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	63735	2400	2200	1800	1800	2000	2400	2400	2300	2400	2400	2300	2200	1700	1600	2100	2200	2200	135	2200	2200	2400	2100	2500	2350	2700	2400	2100	1900	1900	2450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	42501	1849	1294	1075	1117	1313	1731	1728	1504	1618	1563	1513	1431	856	1330	1221	1468	2059	135	1429	1548	1452	1255	1625	1639	1795	1449	1295	1518	1091	1600					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1777	31	77	65	62	47	68	48	86	47	45	63	81	110	11	61	43	64	0	68	54	67	78	65	39	15	49	57	40	198	38					
6	Число погашенных избирательных бюллетеней	19457	520	829	660	621	640	601	624	710	735	792	724	688	734	259	818	689	77	0	703	598	881	767	810	672	890	902	748	342	611	812					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1777	31	77	65	62	47	68	48	86	47	45	63	81	110	11	61	43	64	0	68	54	67	78	65	39	15	49	57	40	198	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	42440	1848	1283	1075	1117	1313	1730	1728	1504	1593	1562	1513	1430	856	1328	1221	1468	2051	135	1429	1548	1452	1255	1625	1639	1791	1447	1293	1518	1088	1600					
9	Число недействительных избирательных бюллетеней	506	29	6	13	17	16	28	23	21	13	13	18	21	7	14	13	15	22	0	17	17	12	21	22	25	23	12	17	29	9	13					
10	Число действительных избирательных бюллетеней	43711	1850	1354	1127	1162	1344	1770	1753	1569	1627	1594	1558	1490	959	1325	1269	1496	2093	135	1480	1585	1507	1312	1668	1653	1783	1484	1333	1529	1277	1625					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1483	227	30	20	30	30	100	95	30	30	130	30	30	15	15	30	20	51	0	50	100	30	25	45	65	40	30	30	75	40	40					
