Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																						
Дата голосования: 02.12.2007																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Петрозаводская городская №3																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №713	УИК №714	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №733	УИК №734	УИК №735	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №745	УИК №746	УИК №747	УИК №748	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №758	УИК №759	УИК №760	УИК №761	УИК №763	УИК №764	УИК №765	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №774	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792					
1	"Число избирателей, внесенных в списки избирателей"	764	11	10	10	11	11	0	11	11	10	9	11	11	11	11	11	11	11	9	11	12	0	0	13	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	9	8	10	10	8	11	10	9	9	11	9	9	11	0	11	0	9	11	11	12	11	11	10	9	11	11	11	11	9	9	0	9	9	9	11	11	11	11	11	9					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	764	11	10	10	11	11	0	11	11	10	9	11	11	11	11	11	11	11	9	11	12	0	0	13	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	9	8	10	10	8	11	10	9	9	11	9	9	11	0	11	0	9	11	11	12	11	11	10	9	11	11	11	11	9	9	0	9	9	9	11	11	11	11	11	9					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	714	11	10	10	11	11	0	11	11	10	9	11	11	11	11	11	10	11	9	11	12	0	0	13	11	9	11	0	11	10	11	0	11	11	11	11	11	11	11	11	9	8	10	10	8	11	10	9	9	11	9	6	11	0	11	0	9	11	1	12	10	11	0	9	11	11	11	11	9	9	0	9	9	9	11	11	11	11	11	9					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	714	11	10	10	11	11	0	11	11	10	9	11	11	11	11	11	10	11	9	11	12	0	0	13	11	9	11	0	11	10	11	0	11	11	11	11	11	11	11	11	9	8	10	10	8	11	10	9	9	11	9	6	11	0	11	0	9	11	1	12	10	11	0	9	11	11	11	11	9	9	0	9	9	9	11	11	11	11	11	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
9	Число недействительных избирательных бюллетеней	26	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	1	0	0	4	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	720	10	10	10	11	11	0	11	10	10	9	11	11	11	11	10	10	11	9	11	12	0	0	13	8	9	11	11	11	9	10	10	11	11	7	6	11	11	11	11	9	8	10	10	8	11	9	9	9	11	8	6	10	0	10	0	9	11	1	10	10	11	10	9	11	11	11	9	9	9	0	9	9	9	11	11	11	11	11	9					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
