Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Частинская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №4101	УИК №4102	УИК №4103	УИК №4104	УИК №4105	УИК №4106	УИК №4107	УИК №4108	УИК №4109	УИК №4110	УИК №4111	УИК №4112	УИК №4113	УИК №4114	УИК №4115	УИК №4116	УИК №4117	УИК №4118	УИК №4119	УИК №4120					
1	"Число избирателей, внесенных в списки"	10060	2291	1644	362	600	349	152	361	96	73	374	1355	402	638	201	164	233	102	175	278	210					
2	"Число бюллетеней, полученных участковыми комиссиями"	11020	2200	1630	410	625	390	150	410	90	75	410	2200	410	620	200	160	230	115	175	300	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5960	1275	915	196	304	258	98	231	78	49	281	777	193	395	90	100	188	80	151	201	100					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1336	118	89	154	166	32	3	54	8	19	48	118	147	126	57	40	17	22	12	32	74					
6	Число погашенных бюллетеней	3724	807	626	60	155	100	49	125	4	7	81	1305	70	99	53	20	25	13	12	67	46					
7	Число бюллетеней в переносных ящиках для голосования	1336	118	89	154	166	32	3	54	8	19	48	118	147	126	57	40	17	22	12	32	74					
8	Число бюллетеней в стационарных ящиках для голосования	5960	1275	915	196	304	258	98	231	78	49	281	777	193	395	90	100	188	80	151	201	100					
9	Число недействительных бюллетеней	129	21	18	3	5	9	3	11	0	5	3	10	2	6	0	1	7	6	4	10	5					
10	Число действительных бюллетеней	7167	1372	986	347	465	281	98	274	86	63	326	885	338	515	147	139	198	96	159	223	169					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	151	38	40	11	5	2	2	6	1	1	7	9	2	4	1	1	4	2	5	7	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	137	38	37	11	5	2	0	6	1	0	7	6	1	1	1	0	4	2	5	7	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	13	6	0	3	1	1	0	3	0	1	25	4	1	0	3	9	1	0	1	2					
14	Число погашенных открепительных удостоверений	14	0	3	0	0	0	2	0	0	1	0	3	1	3	0	1	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	34	7	6	1	1	1	5	3	0	1	0	0	0	5	0	0	2	0	1	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	181	24	31	5	13	7	2	5	2	1	7	19	18	11	8	3	9	2	4	7	3					
		2.48%	1.72%	3.08%	1.42%	2.76%	2.41%	1.98%	1.75%	2.32%	1.47%	2.12%	2.12%	5.29%	2.11%	5.44%	2.14%	4.39%	1.96%	2.45%	3.00%	1.72%					
