Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Амгинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9936	1243	1289	1502	251	387	171	733	642	511	339	330	984	426	270	436	294	128									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10250	1140	1300	1400	300	500	250	700	700	500	400	400	870	430	360	500	350	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	43	0	0	0	0	0	0	8	0	0	0	0	14	8	13	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6368	589	705	844	213	338	144	398	434	330	227	259	647	309	219	368	233	111									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	496	69	66	52	7	31	3	43	54	17	20	21	31	28	17	19	18	0									
6	Число погашенных избирательных бюллетеней	3343	482	529	504	80	131	103	251	212	153	153	120	178	85	111	113	99	39									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	539	69	66	52	7	31	3	51	54	17	20	21	45	36	30	19	18	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6368	589	705	844	213	338	144	398	434	330	227	259	647	309	219	368	233	111									
9	Число недействительных избирательных бюллетеней	85	8	12	7	1	6	0	4	8	3	2	8	7	5	4	3	6	1									
10	Число действительных избирательных бюллетеней	6822	650	759	889	219	363	147	445	480	344	245	272	685	340	245	384	245	110									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	281	20	30	25	22	15	9	20	20	15	15	15	15	15	15	15	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	185	14	20	18	19	15	7	20	16	2	6	8	4	7	11	7	8	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	3	8	5	3	3	0	8	6	3	2	0	5	2	3	4	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	96	6	10	7	3	0	2	0	4	13	9	7	11	8	4	8	2	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	59	13	15	14	0	5	0	3	3	0	4	0	0	0	0	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	57	3	2	16	1	2	0	2	5	4	0	3	7	4	1	6	0	1									
		0.83%	0.46%	0.26%	1.79%	0.45%	0.54%	0.00%	0.45%	1.02%	1.15%	0.00%	1.07%	1.01%	1.16%	0.40%	1.55%	0.00%	0.90%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	288	28	39	32	11	12	4	24	26	21	5	10	25	9	11	16	12	3									
		4.17%	4.26%	5.06%	3.57%	5.00%	3.25%	2.72%	5.35%	5.33%	6.05%	2.02%	3.57%	3.61%	2.61%	4.42%	4.13%	4.78%	2.70%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	159	19	24	25	5	3	7	6	7	11	3	10	10	11	4	9	3	2									
