Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Певекская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3690	838	1192	1215	239	119	87									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3850	803	1130	1407	250	150	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	516	156	155	111	58	24	12									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2172	422	769	659	163	84	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	79	37	28	12	0	2	0									
6	Число погашенных избирательных бюллетеней	1083	188	178	625	29	40	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	595	193	183	123	58	26	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2172	422	769	659	163	84	75									
9	Число недействительных избирательных бюллетеней	70	11	45	10	0	4	0									
10	Число действительных избирательных бюллетеней	2697	604	907	772	221	106	87									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	189	50	50	59	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	19	8	1	0	5	0	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	29	12	3	6	7	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	170	42	49	59	5	10	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	61	6	10	8	5	21	11									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	59	3	46	9	0	1	0									
		2.13%	0.49%	4.83%	1.15%	0.00%	0.91%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	34	9	7	12	2	2	2									
		1.23%	1.46%	0.74%	1.53%	0.90%	1.82%	2.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	37	10	13	7	1	4	2									
		1.34%	1.63%	1.37%	0.90%	0.45%	3.64%	2.30%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1749	372	586	521	141	73	56									
		63.21%	60.49%	61.55%	66.62%	63.80%	66.36%	64.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	37	12	8	11	1	3	2									
		1.34%	1.95%	0.84%	1.41%	0.45%	2.73%	2.30%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	2	2	1	1	0									
		0.22%	0.00%	0.21%	0.26%	0.45%	0.91%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	477	117	156	135	35	15	19									
		17.24%	19.02%	16.39%	17.26%	15.84%	13.64%	21.84%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	2	7	6	1	1	0									
		0.61%	0.33%	0.74%	0.77%	0.45%	0.91%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	22	5	11	6	0	0	0									
		0.80%	0.81%	1.16%	0.77%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	2	0	3	0	0	0									
		0.18%	0.33%	0.00%	0.38%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	4	5	6	2	0	0									
		0.61%	0.65%	0.53%	0.77%	0.90%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	165	45	52	35	27	2	4									
		5.96%	7.32%	5.46%	4.48%	12.22%	1.82%	4.60%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	3	0	4	2	0	0									
		0.33%	0.49%	0.00%	0.51%	0.90%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	63	20	14	15	8	4	2									
		2.28%	3.25%	1.47%	1.92%	3.62%	3.64%	2.30%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
