Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Уваровская городская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935					
1	"Число избирателей, внесенных в список избирателей"	23521	1140	1688	1664	1775	1494	1198	1265	1861	1694	2287	2185	1794	1756	1224	150	78	268					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23543	1150	1700	1650	1800	1500	1200	1250	1850	1700	2300	2200	1800	1750	1200	147	78	268					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18014	1087	1435	1264	1239	1179	902	859	1326	1283	1681	1712	1294	1434	1040	92	56	131					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1007	13	69	38	28	68	74	86	34	53	73	69	97	82	10	55	22	136					
6	Число погашенных избирательных бюллетеней	4522	50	196	348	533	253	224	305	490	364	546	419	409	234	150	0	0	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1007	13	69	38	28	68	74	86	34	53	73	69	97	82	10	55	22	136					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18014	1087	1435	1264	1239	1179	902	859	1326	1283	1681	1712	1294	1434	1040	92	56	131					
9	Число недействительных избирательных бюллетеней	427	5	206	11	11	10	5	4	10	15	45	18	8	49	12	0	16	2					
10	Число действительных избирательных бюллетеней	18594	1095	1298	1291	1256	1237	971	941	1350	1321	1709	1763	1383	1467	1038	147	62	265					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	341	15	29	23	20	20	20	20	25	23	40	40	30	16	20	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	296	8	29	19	18	11	12	17	24	22	40	34	26	16	20	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	162	7	4	11	6	9	7	15	4	5	17	9	12	3	8	25	20	0					
14	Число погашенных неиспользованных открепительных удостоверений	45	7	0	4	2	9	8	3	1	1	0	6	4	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	2	0	0	0	1	1	0	0	1	0	3	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	710	46	28	35	35	51	45	56	77	51	58	53	50	71	35	11	2	6					
		3.73%	4.18%	1.86%	2.69%	2.76%	4.09%	4.61%	5.93%	5.66%	3.82%	3.31%	2.98%	3.59%	4.68%	3.33%	7.48%	2.56%	2.25%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	879	81	40	63	37	43	61	94	82	41	48	46	82	91	51	13	6	0					
		4.62%	7.36%	2.66%	4.84%	2.92%	3.45%	6.25%	9.95%	6.03%	3.07%	2.74%	2.58%	5.90%	6.00%	4.86%	8.84%	7.69%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	70	10	3	4	5	8	3	5	2	7	2	7	6	7	1	0	0	0					
		0.37%	0.91%	0.20%	0.31%	0.39%	0.64%	0.31%	0.53%	0.15%	0.52%	0.11%	0.39%	0.43%	0.46%	0.10%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2085	79	83	207	218	134	101	141	166	124	259	129	124	151	150	9	1	9					
		10.96%	7.18%	5.52%	15.90%	17.21%	10.75%	10.35%	14.92%	12.21%	9.28%	14.77%	7.24%	8.91%	9.96%	14.29%	6.12%	1.28%	3.37%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	112	6	10	3	7	1	7	7	1	16	6	25	5	10	5	2	0	1					
		0.59%	0.55%	0.66%	0.23%	0.55%	0.08%	0.72%	0.74%	0.07%	1.20%	0.34%	1.40%	0.36%	0.66%	0.48%	1.36%	0.00%	0.37%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14697	871	1128	977	950	998	754	635	1020	1078	1333	1499	1113	1137	792	111	52	249					
		77.27%	79.18%	75.00%	75.04%	74.98%	80.03%	77.25%	67.20%	75.00%	80.69%	75.99%	84.17%	80.01%	75.00%	75.43%	75.51%	66.67%	93.26%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	41	2	6	2	4	2	0	3	2	4	3	4	3	0	4	1	1	0					
		0.22%	0.18%	0.40%	0.15%	0.32%	0.16%	0.00%	0.32%	0.15%	0.30%	0.17%	0.22%	0.22%	0.00%	0.38%	0.68%	1.28%	0.00%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
