Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Чойская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217					
1	"Число избирателей, внесенных в списки избирателей"	6368	441	568	550	104	103	236	1321	324	1076	149	260	526	494	216					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6171	423	533	506	99	96	242	1282	318	1040	145	248	518	494	227					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3945	305	384	351	80	75	163	646	238	654	119	169	329	284	148					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	410	25	33	42	8	14	23	78	11	71	10	13	28	34	20					
6	Число погашенных избирательных бюллетеней	1816	93	116	113	11	7	56	558	69	315	16	66	161	176	59					
7	Число избирательных бюллетеней в переносных ящиках для голосования	410	25	33	42	8	14	23	78	11	71	10	13	28	34	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3945	305	384	351	80	75	163	646	238	654	119	169	329	284	148					
9	Число недействительных избирательных бюллетеней	48	1	4	3	1	0	2	10	3	8	1	3	3	8	1					
10	Число действительных избирательных бюллетеней	4307	329	413	390	87	89	184	714	246	717	128	179	354	310	167					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	119	10	10	10	5	5	7	12	9	15	5	6	10	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	57	10	7	7	0	2	4	12	1	6	1	0	2	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	38	6	4	4	1	4	1	3	1	4	1	4	1	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	62	0	3	3	5	3	3	0	8	9	4	6	8	9	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	151	9	22	19	4	5	7	6	20	12	7	9	15	11	5					
		3.47%	2.73%	5.28%	4.83%	4.55%	5.62%	3.76%	0.83%	8.03%	1.66%	5.43%	4.95%	4.20%	3.46%	2.98%					
19	2.Всероссийская политическая партия «Гражданская Сила»	12	1	2	2	0	0	0	0	1	2	0	0	0	1	3					
		0.28%	0.30%	0.48%	0.51%	0.00%	0.00%	0.00%	0.00%	0.40%	0.28%	0.00%	0.00%	0.00%	0.31%	1.79%					
20	3.Политическая партия «Демократическая партия России»	10	1	2	1	0	0	3	1	0	2	0	0	0	0	0					
		0.23%	0.30%	0.48%	0.25%	0.00%	0.00%	1.61%	0.14%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	389	31	29	30	1	5	12	76	17	47	16	18	61	34	12					
		8.93%	9.39%	6.95%	7.63%	1.14%	5.62%	6.45%	10.50%	6.83%	6.48%	12.40%	9.89%	17.09%	10.69%	7.14%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	22	5	2	1	0	0	1	2	2	5	0	0	3	0	1					
		0.51%	1.52%	0.48%	0.25%	0.00%	0.00%	0.54%	0.28%	0.80%	0.69%	0.00%	0.00%	0.84%	0.00%	0.60%					
23	6.Политическая партия «Партия социальной справедливости»	11	3	0	0	0	0	0	3	0	2	0	1	0	0	2					
		0.25%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.28%	0.00%	0.55%	0.00%	0.00%	1.19%					
24	7.Политическая партия «Либерально-демократическая партия России»	454	25	44	41	8	4	17	92	28	63	9	19	49	35	20					
		10.42%	7.58%	10.55%	10.43%	9.09%	4.49%	9.14%	12.71%	11.24%	8.69%	6.98%	10.44%	13.73%	11.01%	11.90%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	433	29	66	25	10	8	18	85	29	77	7	8	23	27	21					
		9.94%	8.79%	15.83%	6.36%	11.36%	8.99%	9.68%	11.74%	11.65%	10.62%	5.43%	4.40%	6.44%	8.49%	12.50%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	35	5	4	5	0	1	0	1	0	7	0	0	7	3	2					
		0.80%	1.52%	0.96%	1.27%	0.00%	1.12%	0.00%	0.14%	0.00%	0.97%	0.00%	0.00%	1.96%	0.94%	1.19%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2777	216	240	265	64	66	124	446	148	500	88	124	196	199	101					
		63.77%	65.45%	57.55%	67.43%	72.73%	74.16%	66.67%	61.60%	59.44%	68.97%	68.22%	68.13%	54.90%	62.58%	60.12%					
