Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
"Наименование Избирательной комиссии:    Владимир, Октябрьская"																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	85639	2496	2611	1972	2380	2571	2668	2570	2341	2131	1881	1338	2364	2333	2284	2720	2656	2405	2253	861	2506	2547	2189	2380	2359	2132	1566	2012	2228	2006	2506	1955	1146	1113	1456	1191	918	975	1463	1400	2568	1847	1118	373	207	272	371									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	73390	2150	2250	1700	2050	2200	2300	2200	2000	1800	1600	1150	2000	2000	1950	2250	2300	2100	1900	800	2150	2200	1900	1900	2050	1800	1300	1700	1900	1700	2150	1500	1000	850	1250	1000	800	850	1250	1200	2150	1600	1000	350	190	250	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27960	820	822	608	729	915	821	786	829	643	540	414	789	659	844	683	746	734	943	324	897	911	787	781	806	660	506	646	729	666	722	591	417	595	390	294	284	178	457	536	828	791	364	125	89	103	158									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1401	21	34	12	16	28	21	63	33	52	9	27	37	16	24	14	36	28	60	3	31	18	14	178	22	17	25	22	17	21	20	187	10	9	9	5	10	12	19	15	19	18	15	28	4	6	116									
6	Число погашенных избирательных бюллетеней	44029	1309	1394	1080	1305	1257	1458	1351	1138	1105	1051	709	1174	1325	1082	1553	1518	1338	897	473	1222	1271	1099	941	1222	1123	769	1032	1154	1013	1408	722	573	246	851	701	506	660	774	649	1303	791	621	197	97	141	426									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1401	21	34	12	16	28	21	63	33	52	9	27	37	16	24	14	36	28	60	3	31	18	14	178	22	17	25	22	17	21	20	187	10	9	9	5	10	12	19	15	19	18	15	28	4	6	116									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27942	819	822	607	729	914	821	786	829	643	540	414	789	656	842	683	746	732	941	324	897	911	787	781	806	660	505	645	729	666	722	590	416	594	390	294	284	178	457	536	828	791	364	125	89	103	157									
9	Число недействительных избирательных бюллетеней	503	13	16	12	13	19	21	18	15	7	16	5	7	11	9	12	14	12	17	6	15	13	11	14	15	5	12	15	10	10	13	7	11	11	9	5	2	3	23	11	11	14	9	1	2	2	6									
10	Число действительных избирательных бюллетеней	28840	827	840	607	732	923	821	831	847	688	533	436	819	661	857	685	768	748	984	321	913	916	790	945	813	672	518	652	736	677	729	770	415	592	390	294	292	187	453	540	836	795	370	152	91	107	267									
