Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Тайгинская городская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16113	270	853	581	290	153	1134	1046	947	1048	1172	1180	971	1066	997	1079	1100	1094	1132									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16000	270	850	580	275	155	1040	1040	900	1050	1200	1020	1200	1080	1030	1030	1100	1080	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12639	237	755	540	266	137	1005	790	420	801	637	715	602	1000	940	938	899	958	999									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	794	13	75	35	9	13	25	31	41	100	34	52	26	63	28	33	160	40	16									
6	Число погашенных избирательных бюллетеней	2567	20	20	5	0	5	10	219	439	149	529	253	572	17	62	59	41	82	85									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	794	13	75	35	9	13	25	31	41	100	34	52	26	63	28	33	160	40	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12639	237	755	540	266	137	1005	790	420	801	637	715	602	1000	940	938	899	958	999									
9	Число недействительных избирательных бюллетеней	200	0	3	0	0	5	0	15	0	86	6	11	21	0	13	17	11	12	0									
10	Число действительных избирательных бюллетеней	13233	250	827	575	275	145	1030	806	461	815	665	756	607	1063	955	954	1048	986	1015									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	694	32	40	40	32	30	40	40	40	40	40	40	40	40	40	40	40	40	40									
