Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																
Дата голосования: 07.12.2003 0:00:00																																																																																
																																																																																
Наименование Избирательной комиссии:    Невская № 24																																																																																
																																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																
																																																																																
		Сумма	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293					
1	"Число избирателей, внесенных в списки"	169583	2173	2626	2312	2352	2255	2317	2795	2666	2174	2544	1879	2622	2188	2082	2608	2259	1910	1874	1836	1811	1770	2036	2048	1996	2929	2756	2456	1900	1808	2236	2034	2473	1747	1833	2829	2650	2644	2591	3086	3064	3214	3404	3399	2919	3256	3463	2659	2658	2756	3205	3199	2115	2420	2524	2333	1355	2314	2345	3051	1801	2480	2324	2521	2806	2566	2247	2217	2057	1821	1612	288	40	45					
2	"Число бюллетеней, полученных участковыми комиссиями"	167895	2100	2600	2300	2400	2200	2300	2800	2700	2200	2500	1800	2600	2200	2100	2600	2100	1900	1800	1800	1800	1700	2000	2000	2000	2900	2700	2400	1900	1800	2200	2000	2500	1700	1800	2800	2600	2600	2500	3000	3000	3200	3400	3400	2900	3200	3400	2600	2600	2700	3200	3200	2100	2400	2500	2300	1300	2300	2300	3000	1800	2900	2300	2500	2800	2500	2200	2200	2000	1800	1600	300	45	50					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	63352	751	934	932	1006	871	959	1053	872	930	841	686	984	669	723	786	615	721	750	764	792	766	771	760	775	994	1019	952	729	679	762	748	864	645	632	981	761	910	737	1125	1070	1228	1300	1468	1233	1464	1165	912	936	1161	1439	1301	745	1032	1014	1057	472	847	809	895	633	978	886	1010	1074	877	783	846	842	744	593	248	40	1					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1557	16	20	27	22	51	39	20	19	35	24	30	16	29	20	41	28	30	21	16	14	6	20	17	19	28	45	31	15	7	18	20	20	21	9	13	16	27	12	17	17	21	18	7	15	9	15	27	4	11	21	23	16	18	20	30	20	33	36	55	8	11	25	31	19	26	16	15	14	15	6	40	0	36					
6	Число погашенных бюллетеней	102986	1333	1646	1341	1372	1278	1302	1727	1809	1235	1635	1084	1600	1502	1357	1773	1457	1149	1029	1020	994	928	1209	1223	1206	1878	1636	1417	1156	1114	1420	1232	1616	1034	1159	1806	1823	1663	1751	1858	1913	1951	2082	1925	1652	1727	2220	1661	1660	1528	1740	1876	1339	1350	1466	1213	808	1420	1455	2050	1159	1911	1389	1459	1707	1597	1401	1339	1144	1041	1001	12	5	13					
7	Число бюллетеней в переносных ящиках для голосования	1557	16	20	27	22	51	39	20	19	35	24	30	16	29	20	41	28	30	21	16	14	6	20	17	19	28	45	31	15	7	18	20	20	21	9	13	16	27	12	17	17	21	18	7	15	9	15	27	4	11	21	23	16	18	20	30	20	33	36	55	8	11	25	31	19	26	16	15	14	15	6	40	0	36					
8	Число бюллетеней в стационарных ящиках для голосования	63276	751	934	932	1002	871	959	1052	872	930	841	686	984	669	723	785	615	721	748	764	792	766	770	751	774	985	1016	953	723	667	762	748	864	644	632	980	761	908	737	1124	1070	1219	1299	1468	1231	1464	1165	912	936	1171	1439	1299	739	1032	1014	1057	471	847	807	895	630	978	886	1010	1073	876	783	843	842	743	593	247	40	1					
9	Число недействительных бюллетеней	402	3	4	10	6	3	0	8	6	1	4	4	8	1	1	6	5	8	3	3	4	0	1	11	8	10	7	6	9	9	0	1	7	1	8	8	4	4	5	12	6	5	5	34	8	3	1	7	6	5	5	8	6	10	5	3	1	1	4	6	6	9	4	6	10	7	8	3	11	7	1	2	0	0					
10	Число действительных бюллетеней	64431	764	950	949	1018	919	998	1064	885	964	861	712	992	697	742	820	638	743	766	777	802	772	789	757	785	1003	1054	978	729	665	780	767	877	664	633	985	773	931	744	1129	1081	1235	1312	1441	1238	1470	1179	932	934	1177	1455	1314	749	1040	1029	1084	490	879	839	944	632	980	907	1035	1082	895	791	855	845	751	598	285	40	37					
