Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Славгородская городская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №512	УИК №513	УИК №514	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32317	1263	1455	1507	1587	1529	1428	1640	1600	1640	1646	1635	1746	1647	1394	1518	95	510	1104	146	271	862	581	455	984	175	728	1500	225	1446									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25654	1010	1159	1202	1267	1215	1143	1316	1278	1287	1279	1297	1367	1296	1118	1215	70	413	883	115	217	696	462	365	790	141	586	1139	178	1150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11437	314	467	584	557	603	369	484	648	529	616	510	604	622	591	450	45	242	442	59	134	336	222	151	402	52	321	514	122	447									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	749	13	19	25	33	27	31	42	82	21	21	22	22	24	32	50	1	13	54	16	12	35	25	18	5	0	40	45	4	17									
6	Число погашенных избирательных бюллетеней	13468	683	673	593	677	585	743	790	548	737	642	765	741	650	495	715	24	158	387	40	71	325	215	196	383	89	225	580	52	686									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	749	13	19	25	33	27	31	42	82	21	21	22	22	24	32	50	1	13	54	16	12	35	25	18	5	0	40	45	4	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11432	314	467	584	557	602	369	483	648	529	616	510	604	622	591	450	45	242	442	59	134	336	222	151	401	52	321	512	122	447									
9	Число недействительных избирательных бюллетеней	364	2	15	22	22	23	14	16	16	9	24	10	19	14	14	20	0	10	22	0	2	12	9	7	19	1	9	12	5	16									
10	Число действительных избирательных бюллетеней	11817	325	471	587	568	606	386	509	714	541	613	522	607	632	609	480	46	245	474	75	144	359	238	162	387	51	352	545	121	448									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	10	10	10	10	10	10	10	15	10	10	20	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	10	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	117	6	5	2	8	5	3	5	12	4	6	14	6	2	7	4	3	5	2	0	0	2	1	2	2	0	0	7	0	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	1	2	4	5	3	4	3	3	1	5	7	1	3	2	5	3	2	2	2	2	0	0	1	5	0	1	3	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	128	4	5	8	2	5	7	5	3	6	4	6	4	8	3	6	2	0	3	5	5	3	4	3	3	5	5	3	5	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	2	4	2	0	0	1	0	0	0	3	0	1	2	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	105	1	2	3	6	3	3	7	8	0	8	4	9	6	6	9	0	0	1	0	3	2	0	2	8	1	6	3	0	4									
		0.86%	0.31%	0.41%	0.49%	1.02%	0.48%	0.75%	1.33%	1.10%	0.00%	1.26%	0.75%	1.44%	0.93%	0.96%	1.80%	0.00%	0.00%	0.20%	0.00%	2.05%	0.54%	0.00%	1.18%	1.97%	1.92%	1.66%	0.54%	0.00%	0.86%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	405	13	14	17	23	25	13	15	26	17	22	13	18	13	30	16	1	7	24	6	6	12	5	2	14	3	19	10	4	17									
		3.32%	3.98%	2.88%	2.79%	3.90%	3.97%	3.25%	2.86%	3.56%	3.09%	3.45%	2.44%	2.88%	2.01%	4.82%	3.20%	2.17%	2.75%	4.84%	8.00%	4.11%	3.23%	2.02%	1.18%	3.45%	5.77%	5.26%	1.80%	3.17%	3.66%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	219	7	13	13	8	16	11	12	21	8	13	10	8	10	14	9	0	0	5	0	0	6	4	3	2	4	5	9	3	5									
		1.80%	2.14%	2.67%	2.13%	1.36%	2.54%	2.75%	2.29%	2.88%	1.45%	2.04%	1.88%	1.28%	1.55%	2.25%	1.80%	0.00%	0.00%	1.01%	0.00%	0.00%	1.62%	1.62%	1.78%	0.49%	7.69%	1.39%	1.62%	2.38%	1.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4506	117	190	190	214	219	132	180	279	199	219	190	189	222	198	182	22	91	228	12	56	152	127	82	135	21	182	242	55	181									
		36.99%	35.78%	39.09%	31.20%	36.27%	34.82%	33.00%	34.29%	38.22%	36.18%	34.38%	35.71%	30.19%	34.37%	31.78%	36.40%	47.83%	35.69%	45.97%	16.00%	38.36%	40.97%	51.42%	48.52%	33.25%	40.38%	50.42%	43.45%	43.65%	39.01%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	47	0	1	4	2	6	2	1	3	2	4	2	2	3	3	4	0	0	0	0	0	0	2	0	3	1	0	2	0	0									
		0.39%	0.00%	0.21%	0.66%	0.34%	0.95%	0.50%	0.19%	0.41%	0.36%	0.63%	0.38%	0.32%	0.46%	0.48%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.74%	1.92%	0.00%	0.36%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	1	1	1	0	0	1	0	2	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2									
