Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Добрянская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	47426	2930	2783	2844	2764	2898	2890	2787	1577	1557	1339	2503	647	2195	2497	2737	1478	1293	1136	143	455	542	412	630	966	101	153	558	246	130	205	139	416	150	203	235	342	325	475	1488	257									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45700	2900	2700	2800	2700	2800	2800	2700	1600	1500	1300	2400	600	2100	2400	2600	1400	1200	1050	130	450	450	350	650	950	100	150	550	250	130	190	120	400	140	190	200	300	300	450	1450	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16007	1072	1056	1105	1000	1056	1050	870	468	386	417	716	140	688	847	1092	526	521	370	29	80	149	148	173	313	39	69	158	58	42	51	53	145	59	77	69	121	162	185	391	56									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	625	46	27	22	13	45	13	24	8	31	20	23	8	23	5	5	21	3	6	17	34	30	2	3	18	3	5	1	7	11	5	6	12	2	14	1	42	8	31	30	0									
6	Число погашенных избирательных бюллетеней	29052	1782	1617	1673	1687	1699	1737	1806	1124	1083	863	1661	452	1389	1548	1503	853	676	674	84	336	271	200	474	619	58	76	375	185	77	134	61	243	79	99	130	137	130	234	1029	194									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	641	46	27	22	13	45	13	24	8	31	20	23	8	23	5	5	21	3	6	17	34	30	2	3	18	3	5	17	7	11	5	6	12	2	14	1	42	8	31	30	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15966	1070	1033	1102	1000	1056	1050	870	468	385	417	716	139	687	844	1090	522	521	370	29	80	149	148	173	313	39	69	158	58	42	51	53	144	59	77	69	121	162	185	391	56									
9	Число недействительных избирательных бюллетеней	679	60	40	28	30	64	35	35	32	10	20	26	6	28	44	34	29	16	20	2	3	5	6	8	8	2	2	17	2	0	2	6	5	1	4	4	9	7	7	21	1									
10	Число действительных избирательных бюллетеней	15928	1056	1020	1096	983	1037	1028	859	444	406	417	713	141	682	805	1061	514	508	356	44	111	174	144	168	323	40	72	158	63	53	54	53	151	60	87	66	154	163	209	400	55									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1200	50	50	55	55	50	50	55	50	50	35	35	15	40	50	50	25	25	25	15	15	20	20	20	30	15	15	25	20	15	20	15	15	20	15	20	20	20	20	40	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	194	9	13	19	17	14	11	9	1	8	6	7	4	8	7	15	6	5	3	0	0	1	0	2	6	1	0	2	0	0	2	0	3	0	0	0	3	3	3	4	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	203	7	4	3	4	5	1	7	4	6	7	6	1	4	8	4	22	7	8	7	2	22	2	4	5	1	1	2	0	1	4	1	9	2	2	5	6	9	4	6	0									
