Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Варгашинская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15458	668	1024	713	662	1036	536	1185	466	1202	252	390	422	250	422	354	281	437	252	424	675	81	324	677	388	365	338	273	255	315	223	402	166									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15200	650	1000	700	650	1000	500	1200	450	1200	250	400	400	250	420	350	290	450	250	400	650	86	330	650	400	350	350	250	250	300	224	400	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6622	335	456	286	319	427	191	475	212	497	87	167	183	101	182	184	113	178	114	174	276	46	139	262	159	142	152	133	124	122	112	193	81									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1558	41	34	8	29	27	42	52	29	46	81	49	76	53	48	32	31	81	27	12	32	8	60	174	63	52	51	19	22	100	46	95	38									
6	Число погашенных избирательных бюллетеней	7020	274	510	406	302	546	267	673	209	657	82	184	141	96	190	134	146	191	109	214	342	32	131	214	178	156	147	98	104	78	66	112	31									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1558	41	34	8	29	27	42	52	29	46	81	49	76	53	48	32	31	81	27	12	32	8	60	174	63	52	51	19	22	100	46	95	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6622	335	456	286	319	427	191	475	212	497	87	167	183	101	182	184	113	178	114	174	276	46	139	262	159	142	152	133	124	122	112	193	81									
9	Число недействительных избирательных бюллетеней	100	7	6	5	5	5	5	8	4	9	2	5	3	0	1	0	4	4	2	2	6	0	0	4	5	3	1	0	3	1	0	0	0									
10	Число действительных избирательных бюллетеней	8080	369	484	289	343	449	228	519	237	534	166	211	256	154	229	216	140	255	139	184	302	54	199	432	217	191	202	152	143	221	158	288	119									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	412	15	15	15	14	16	14	15	14	17	8	14	12	10	14	12	12	12	12	12	14	7	12	14	12	12	12	12	12	17	12	14	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	381	13	15	11	14	16	14	15	8	17	2	14	12	4	14	12	12	12	12	12	14	0	12	14	12	12	12	12	12	17	12	14	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	123	7	8	5	12	14	5	4	7	9	1	5	0	1	1	3	4	2	4	3	3	1	3	4	0	3	2	3	3	2	1	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	31	2	0	4	0	0	0	0	6	0	6	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	4	9	3	2	1	1	3	2	5	0	0	3	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	101	2	5	5	10	6	3	8	1	3	0	3	4	3	3	4	3	4	2	1	3	0	3	1	2	3	3	3	2	0	6	5	0									
		1.23%	0.53%	1.02%	1.70%	2.87%	1.32%	1.29%	1.52%	0.41%	0.55%	0.00%	1.39%	1.54%	1.95%	1.30%	1.85%	2.08%	1.54%	1.42%	0.54%	0.97%	0.00%	1.51%	0.23%	0.90%	1.55%	1.48%	1.97%	1.37%	0.00%	3.80%	1.74%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	244	9	15	10	9	14	6	24	4	18	2	3	6	10	6	9	5	12	2	11	5	3	8	5	3	10	7	5	5	4	5	6	3									
		2.98%	2.39%	3.06%	3.40%	2.59%	3.08%	2.58%	4.55%	1.66%	3.31%	1.19%	1.39%	2.32%	6.49%	2.61%	4.17%	3.47%	4.63%	1.42%	5.91%	1.62%	5.56%	4.02%	1.15%	1.35%	5.15%	3.45%	3.29%	3.42%	1.80%	3.16%	2.08%	2.52%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	108	4	5	4	5	9	0	9	6	5	0	3	4	4	8	1	3	5	2	4	3	0	2	7	2	0	5	2	1	2	3	0	0									
		1.32%	1.06%	1.02%	1.36%	1.44%	1.98%	0.00%	1.71%	2.49%	0.92%	0.00%	1.39%	1.54%	2.60%	3.48%	0.46%	2.08%	1.93%	1.42%	2.15%	0.97%	0.00%	1.01%	1.61%	0.90%	0.00%	2.46%	1.32%	0.68%	0.90%	1.90%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3639	158	200	118	152	175	95	220	86	211	77	93	143	68	99	81	69	92	69	54	114	11	107	259	116	90	87	86	83	117	82	148	79									
		44.49%	42.02%	40.82%	40.14%	43.68%	38.55%	40.77%	41.75%	35.68%	38.86%	45.83%	43.06%	55.21%	44.16%	43.04%	37.50%	47.92%	35.52%	48.94%	29.03%	37.01%	20.37%	53.77%	59.40%	52.25%	46.39%	42.86%	56.58%	56.85%	52.70%	51.90%	51.39%	66.39%									
