Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																				
Дата голосования: 02.12.2007																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Калининская N11																																																																																																				
																																																																																																				
Сводная таблица результатов выборов																																																																																																				
																																																																																																				
		Сумма	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421					
1	"Число избирателей, внесенных в списки избирателей"	216808	1953	2072	2990	2637	2249	1950	2492	2234	2611	2232	2618	2212	2290	2166	2663	1551	2274	1985	2715	2181	2110	2069	2151	2465	2664	2498	2358	2560	2731	2519	2367	2192	2127	2021	2152	2002	2087	2749	2827	2662	2229	2196	1902	2594	1828	2817	2867	2330	2391	2587	2042	2128	2190	2126	2510	2413	2587	2150	2063	2862	2832	2777	2408	2410	2810	2376	2665	2645	2056	2870	2729	2214	2178	2403	2249	2017	2404	2324	2097	2095	2010	2143	1815	2257	2107	2160	2178	2083	2569	2523	2296	1989	1921					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	184500	1500	2000	2500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	2000	1500	2000	2500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	2000	2000	2000	2000	2000	2000	2000	2000	1500	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	110269	1025	1048	2070	1386	1250	1239	1327	1113	1346	1222	1397	1145	1181	1124	1387	997	1115	1094	1331	1160	1083	1012	1111	1361	1509	1326	1263	1338	1382	1181	1239	1105	1007	1087	1113	1062	1140	1323	1415	1386	1120	992	982	1324	867	1408	1445	1162	1181	1187	1034	1097	1217	1011	1254	1253	1280	1031	1129	1404	1349	1305	1191	1281	1405	1099	1046	1192	1049	1401	1193	1097	1012	1328	1126	1033	1104	1131	865	948	1094	1061	908	1141	1089	1112	913	976	1351	1451	1155	1105	980					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2459	27	1	13	42	9	22	30	9	38	29	31	30	14	25	22	32	20	21	37	25	41	17	15	25	28	32	24	34	36	26	28	24	41	20	16	29	29	28	17	22	29	19	26	19	21	35	22	37	25	39	38	20	14	39	26	31	36	16	33	30	29	36	25	27	29	35	30	46	23	23	20	27	20	21	24	15	16	28	50	32	27	35	24	29	19	35	28	34	19	30	29	5	25					
6	Число погашенных избирательных бюллетеней	71772	448	951	417	572	741	739	643	878	616	749	572	825	805	851	591	971	865	885	632	815	876	971	874	614	463	642	713	628	582	793	733	871	952	893	871	909	831	649	568	592	851	989	492	657	612	557	1033	801	794	774	928	883	769	950	720	716	684	953	838	1066	622	659	784	692	566	866	924	762	928	576	787	876	968	651	850	952	880	841	1085	1020	879	904	568	830	892	853	1059	990	630	519	816	390	495					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2458	27	1	13	42	9	22	29	9	38	29	31	30	14	25	22	32	20	21	37	25	41	17	15	25	28	32	24	34	36	26	28	24	41	20	16	29	29	28	17	22	29	19	26	19	21	35	22	37	25	39	38	20	14	39	26	31	36	16	33	30	29	36	25	27	29	35	30	46	23	23	20	27	20	21	24	15	16	28	50	32	27	35	24	29	19	35	28	34	19	30	29	5	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	110075	1017	1045	2066	1382	1249	1225	1325	1112	1343	1222	1389	1143	1180	1123	1386	997	1115	1093	1328	1160	1081	1012	1110	1356	1508	1320	1251	1338	1381	1181	1236	1103	1007	1084	1110	1062	1140	1322	1413	1380	1119	992	982	1310	867	1405	1445	1162	1181	1187	1031	1097	1217	1010	1254	1253	1280	1030	1123	1404	1330	1303	1191	1277	1405	1099	1046	1190	1048	1400	1193	1097	1011	1326	1126	1031	1103	1130	865	948	1089	1061	907	1141	1087	1112	909	976	1350	1451	1150	1101	978					
9	Число недействительных избирательных бюллетеней	898	6	7	27	18	7	8	13	10	15	9	10	14	9	9	14	7	6	6	10	10	6	10	9	17	12	5	13	12	10	20	4	7	9	7	9	10	6	12	12	7	9	10	9	5	10	18	7	6	8	12	11	15	5	3	11	8	3	8	7	12	10	5	7	8	9	14	8	7	6	6	11	9	5	17	8	8	8	9	5	4	6	7	13	19	6	9	8	4	16	14	7	23	13					
10	Число действительных избирательных бюллетеней	111635	1038	1039	2052	1406	1251	1239	1341	1111	1366	1242	1410	1159	1185	1139	1394	1022	1129	1108	1355	1175	1116	1019	1116	1364	1524	1347	1262	1360	1407	1187	1260	1120	1039	1097	1117	1081	1163	1338	1418	1395	1139	1001	999	1324	878	1422	1460	1193	1198	1214	1058	1102	1226	1046	1269	1276	1313	1038	1149	1422	1349	1334	1209	1296	1425	1120	1068	1229	1065	1417	1202	1115	1026	1330	1142	1038	1111	1149	910	976	1110	1089	918	1151	1100	1138	929	1006	1353	1467	1172	1083	990					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	5205	70	50	100	50	100	65	50	50	70	50	50	50	50	50	70	50	50	50	100	50	50	50	50	50	50	65	50	50	50	50	60	50	50	50	60	50	50	65	50	65	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	75	50	50	75	50	50	50	50	50	60	50	50	75	50	50	70	50	50	50	50	50	60	50	50	49	50	51	50	50	50	50	50	50	50	50	200	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3778	50	34	66	31	50	50	50	40	65	34	38	39	37	36	70	34	27	36	72	31	32	35	28	43	44	49	31	33	41	33	56	34	27	31	50	25	22	50	44	45	37	31	23	27	21	44	43	38	30	26	30	33	44	49	38	43	50	43	26	69	42	36	46	36	42	43	26	35	50	38	34	49	25	29	40	34	49	45	28	41	31	45	51	22	33	35	31	23	50	43	43	172	43					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2068	57	14	19	22	25	17	21	10	21	13	14	25	22	28	21	23	28	14	30	28	20	20	14	30	23	23	26	22	17	26	27	17	18	28	36	24	40	22	17	31	15	26	13	25	15	31	19	17	30	17	23	8	25	14	23	13	10	20	19	43	16	16	21	21	15	7	21	13	32	34	10	46	9	23	25	23	22	20	19	6	27	10	18	23	14	27	17	13	5	30	14	108	24					
14	Число погашенных неиспользованных открепительных удостоверений	1427	20	16	34	19	50	15	0	10	5	16	12	11	13	14	0	16	23	14	28	19	18	15	22	7	6	16	19	17	9	17	4	16	23	19	10	25	28	15	6	20	13	19	27	23	29	6	7	12	20	24	20	17	6	1	12	7	25	7	24	6	8	14	4	14	8	17	24	15	25	12	16	21	25	21	10	16	1	15	22	9	18	5	0	28	17	15	19	27	0	7	7	28	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	322	2	2	3	2	2	2	6	2	5	3	0	2	3	6	7	5	1	3	3	0	2	6	7	1	7	2	4	2	1	8	4	3	2	4	2	2	1	5	5	8	5	2	1	6	2	4	2	3	4	2	3	2	4	4	1	2	3	3	4	6	6	2	5	4	3	5	4	4	8	7	4	3	2	3	3	3	6	7	4	3	4	1	7	1	4	2	6	5	2	1	2	1	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
