Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
"Наименование Избирательной комиссии:    Ростов-на-Дону, Советская"																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2303	УИК №2626									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	133912	2272	2261	2089	2659	2401	2337	2723	2728	2813	2488	2790	2675	2268	2750	2642	2728	2679	2813	1838	1807	1861	2863	2820	2849	2114	2068	2574	2710	2430	2317	2475	2614	2850	2223	1926	2292	1998	2074	2175	2425	2200	2555	2733	1397	2145	2427	2020	2077	2037	2709	2255	1429	1090	2281	926	765	2673	2774									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	110250	1900	1850	1700	2100	1950	1900	2250	2250	2300	2100	2300	2200	1900	2250	2200	2200	2200	2300	1550	1500	1550	2400	2300	2350	1750	1700	2100	2200	2000	1900	2050	2150	2300	1800	1600	1850	1650	1700	1800	2000	1800	2100	2250	1150	1750	1900	1650	1700	1700	2250	1900	1200	900	1900	800	900	2150	2200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	55092	907	1046	1092	1336	889	1660	1841	1889	925	1520	881	809	767	1188	1282	955	940	1331	725	917	710	869	876	872	672	716	826	723	647	922	803	725	591	503	406	891	818	860	867	964	844	891	978	913	1427	1511	1272	777	863	712	743	380	329	1378	414	765	1228	1506									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4850	160	99	102	24	148	19	84	75	179	23	55	71	66	81	80	141	112	216	121	116	36	7	6	61	78	59	49	36	197	166	143	91	64	138	198	92	77	57	34	35	13	69	133	22	3	106	94	90	121	25	131	120	142	115	0	0	63	7									
6	Число погашенных избирательных бюллетеней	50308	833	705	506	740	913	221	325	286	1196	557	1364	1320	1067	981	838	1104	1148	753	704	467	804	1524	1418	1417	1000	925	1225	1441	1156	812	1104	1334	1645	1159	996	867	755	783	899	1001	943	1140	1139	215	320	283	284	833	716	1513	1026	700	429	407	386	135	859	687									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4850	160	99	102	24	148	19	84	75	179	23	55	71	66	81	80	141	112	216	121	116	36	7	6	61	78	59	49	36	197	166	143	91	64	138	198	92	77	57	34	35	13	69	133	22	3	106	94	90	121	25	131	120	142	115	0	0	63	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	54898	907	1046	1092	1336	889	1660	1841	1889	925	1520	881	809	767	1188	1282	954	940	1331	725	917	709	867	876	863	672	716	826	722	647	922	803	725	591	498	406	891	815	860	866	964	839	889	978	913	1427	1511	1272	777	860	707	743	380	329	1378	414	765	1228	1350									
9	Число недействительных избирательных бюллетеней	613	13	18	0	9	24	0	0	0	11	0	31	13	5	14	29	19	11	7	14	0	11	17	17	0	10	11	10	9	3	7	17	10	12	3	14	3	1	10	4	4	12	19	16	8	0	7	10	8	23	22	18	4	19	7	3	11	0	35									
10	Число действительных избирательных бюллетеней	59135	1054	1127	1194	1351	1013	1679	1925	1964	1093	1543	905	867	828	1255	1333	1076	1041	1540	832	1033	734	857	865	924	740	764	865	749	841	1081	929	806	643	633	590	980	891	907	896	995	840	939	1095	927	1430	1610	1356	859	958	710	856	496	452	1486	411	754	1291	1322									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3920	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	0	0	70	70									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1759	45	19	22	47	31	32	35	39	45	23	42	37	29	36	31	37	39	36	33	24	21	39	37	24	34	26	20	38	32	41	31	38	30	23	30	34	31	27	33	31	43	43	47	33	42	26	20	22	29	33	23	11	10	11	0	0	31	33									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	620	2	7	5	11	13	7	12	3	7	6	6	7	18	12	6	14	14	3	0	3	10	10	17	5	14	11	21	13	8	5	15	5	7	17	0	10	8	4	0	11	14	20	8	11	10	84	4	9	9	9	12	0	5	2	39	0	16	21									
14	Число погашенных неиспользованных открепительных удостоверений	2161	25	51	48	23	39	38	35	31	25	47	28	33	41	34	39	33	31	34	37	46	49	31	33	46	36	44	50	32	38	29	39	32	40	47	40	36	39	43	37	39	27	27	23	37	28	44	50	48	41	37	47	59	60	59	0	0	39	37									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	142	1	1	0	3	2	4	3	3	2	2	3	6	2	6	2	0	10	3	4	0	4	3	1	4	7	4	2	4	0	3	3	1	1	0	2	5	2	1	2	5	2	2	4	1	4	1	1	1	1	4	4	0	1	1	0	0	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1205	25	28	21	24	29	3	13	89	38	25	36	8	1	22	22	19	25	40	22	13	7	26	39	17	10	11	20	23	11	18	30	20	17	6	25	13	20	12	23	22	38	21	45	13	15	2	39	23	14	21	18	7	1	17	5	10	16	27									
