Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    Белебеевская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286					
1	"Число избирателей, внесенных в списки избирателей"	76867	1890	830	1454	1717	1184	887	1158	1222	1208	2096	2507	2136	1554	1965	1566	1792	2486	2147	2174	1741	2173	2693	1947	1609	940	2760	395	306	491	715	216	353	750	259	1566	289	311	258	526	145	473	998	590	297	2422	155	288	598	1828	2051	1140	1180	948	1010	2163	1002	2295	1187	854	1015	222	116	418	243	300	431	227					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	76300	1900	850	1450	1720	1210	850	1110	1250	1190	2050	2400	2100	1580	2100	1500	1750	2450	2050	2150	1730	2100	2600	1880	1530	890	2700	402	300	520	715	210	360	760	258	1560	290	325	265	525	170	460	990	595	296	2400	155	290	595	1860	2100	1140	1255	960	1010	2160	980	2290	1190	880	1020	213	115	410	248	294	417	227					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	69867	1687	641	1384	1643	1022	774	1069	1115	1091	1660	2319	1817	1412	1802	1404	1541	2341	1965	1882	1558	1972	2445	1787	1467	762	2662	272	273	443	591	206	353	699	257	1538	206	285	221	518	144	448	908	590	261	2266	155	285	531	1796	1941	1060	1063	887	941	1941	887	2230	1054	642	914	199	108	375	241	289	402	225					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2578	53	149	41	35	58	74	5	11	23	17	13	105	19	25	10	108	47	21	80	45	29	30	31	29	39	38	120	27	42	118	4	0	51	0	9	65	26	29	0	0	0	82	0	29	83	0	0	62	32	91	33	23	32	32	43	35	15	39	169	76	14	7	35	0	5	15	0					
6	Число погашенных избирательных бюллетеней	3855	160	60	25	42	130	2	36	124	76	373	68	178	149	273	86	101	62	64	188	127	99	125	62	34	89	0	10	0	35	6	0	7	10	1	13	19	14	15	7	26	12	0	5	6	51	0	5	2	32	68	47	169	41	37	176	58	45	97	69	30	0	0	0	7	0	0	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2578	53	149	41	35	58	74	5	11	23	17	13	105	19	25	10	108	47	21	80	45	29	30	31	29	39	38	120	27	42	118	4	0	51	0	9	65	26	29	0	0	0	82	0	29	83	0	0	62	32	91	33	23	32	32	43	35	15	39	169	76	14	7	35	0	5	15	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	69834	1687	641	1384	1643	1022	774	1069	1115	1091	1659	2319	1817	1412	1802	1404	1541	2341	1965	1882	1558	1972	2445	1787	1467	762	2662	272	273	443	591	206	353	699	257	1538	206	285	221	518	144	448	908	590	261	2266	155	285	531	1764	1941	1060	1063	887	941	1941	887	2230	1054	642	914	199	108	375	241	289	402	225					
9	Число недействительных избирательных бюллетеней	388	0	0	0	9	2	1	6	0	2	12	3	5	6	9	6	0	0	21	6	5	5	5	2	170	8	0	0	0	0	5	0	0	0	2	15	1	0	2	2	0	0	0	2	1	22	1	0	0	9	5	6	3	0	0	0	2	14	10	0	3	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	72024	1740	790	1425	1669	1078	847	1068	1126	1112	1664	2329	1917	1425	1818	1408	1649	2388	1965	1956	1598	1996	2470	1816	1326	793	2700	392	300	485	704	210	353	750	255	1532	270	311	248	516	144	448	990	588	289	2327	154	285	593	1787	2027	1087	1083	919	973	1984	920	2231	1083	811	987	213	115	410	241	294	417	225					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1104	20	5	10	19	14	10	15	43	9	30	31	20	32	20	15	24	30	25	23	20	21	46	21	31	15	30	5	0	5	10	2	8	10	5	10	1	1	5	0	0	8	17	5	5	20	0	1	5	58	50	23	23	15	35	43	17	44	6	25	23	2	15	5	5	5	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1086	20	5	10	19	14	9	14	43	9	30	31	20	32	19	15	24	30	25	23	20	21	46	18	31	12	30	5	0	5	10	2	8	10	2	9	1	1	4	0	0	6	17	5	5	20	0	1	5	58	50	21	23	15	35	43	17	44	6	25	23	2	15	5	5	5	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	483	10	24	14	19	19	11	18	16	10	5	6	13	5	6	8	28	5	10	16	8	8	7	7	34	2	1	0	3	5	2	2	3	5	4	6	4	0	1	1	27	3	4	0	3	16	5	2	0	0	3	22	6	7	8	0	4	4	2	0	2	2	1	5	3	3	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	18	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	2	0	1	0	0	1	0	0	1	1	1	1	1	3	1	1	1	1	1	0	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	2	4	0	3	3	1	1	0	2	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
18	1.Политическая партия «Аграрная партия России»	324	0	2	2	0	3	6	2	4	1	2	12	3	3	5	2	21	15	18	6	2	8	8	36	0	1	10	0	3	0	6	0	4	1	0	41	6	8	0	4	2	0	3	2	1	6	1	0	0	7	2	0	1	1	9	13	0	9	6	0	6	0	1	0	3	0	2	4					
		0.45%	0.00%	0.25%	0.14%	0.00%	0.28%	0.71%	0.19%	0.36%	0.09%	0.12%	0.51%	0.16%	0.21%	0.27%	0.14%	1.27%	0.63%	0.91%	0.31%	0.12%	0.40%	0.32%	1.98%	0.00%	0.12%	0.37%	0.00%	1.00%	0.00%	0.85%	0.00%	1.13%	0.13%	0.00%	2.65%	2.21%	2.57%	0.00%	0.77%	1.39%	0.00%	0.30%	0.34%	0.34%	0.26%	0.65%	0.00%	0.00%	0.39%	0.10%	0.00%	0.09%	0.11%	0.92%	0.66%	0.00%	0.40%	0.55%	0.00%	0.61%	0.00%	0.87%	0.00%	1.24%	0.00%	0.48%	1.78%					
