Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																										
Дата голосования: 04.12.2011																																																																										
																																																																										
Наименование Избирательной комиссии:    Белебеевская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253					
1	"Число избирателей, внесенных в список избирателей"	76523	1829	898	1568	1717	1303	1192	1134	966	1020	1909	2087	2069	1750	1875	1236	1703	2146	2425	1995	1533	2012	2330	1883	2009	1447	2387	2076	2077	1050	1261	1071	1031	2068	994	2217	1190	1160	472	2336	177	384	273	1043	659	272	287	439	254	1580	279	1025	474	151	602	306	763	441	167	216	336	207	537	568	764	256	335	302					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	78808	1860	890	1595	1750	1320	1220	1190	995	1050	1950	2120	2045	1805	1920	1260	1725	2195	2435	2025	1550	2035	2385	1875	2130	1450	2435	2221	2216	1151	1376	1161	1106	2201	1096	2326	1291	1261	474	2365	180	392	283	1075	677	269	296	442	262	1625	289	1010	473	160	608	308	778	445	175	222	345	212	554	597	759	262	348	307					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	59134	1330	710	1225	1080	908	1000	602	719	821	1401	1592	1488	1295	1439	903	1102	1614	1946	1538	1152	1506	1727	1441	1547	1061	1620	1605	1510	822	828	1019	905	1550	796	1763	985	1014	418	1935	177	284	211	900	597	265	266	394	240	1346	215	868	441	151	590	254	563	404	114	179	286	196	442	524	586	237	273	214					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2490	43	33	30	32	108	56	19	6	46	32	6	64	18	16	24	94	18	52	20	40	56	20	34	33	34	21	32	157	13	20	40	10	67	23	46	86	56	34	51	0	65	41	38	23	0	8	23	0	51	37	129	0	0	8	26	138	20	47	9	33	0	39	33	95	0	16	21					
6	Число погашенных избирательных бюллетеней	17184	487	147	340	638	304	164	569	270	183	517	522	493	492	465	333	529	563	437	467	358	473	638	400	550	355	794	584	549	316	528	102	191	584	277	517	220	191	22	379	3	43	31	137	57	4	22	25	22	228	37	13	32	9	10	28	77	21	14	34	26	16	73	40	78	25	59	72					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2490	43	33	30	32	108	56	19	6	46	32	6	64	18	16	24	94	18	52	20	40	56	20	34	33	34	21	32	157	13	20	40	10	67	23	46	86	56	34	51	0	65	41	38	23	0	8	23	0	51	37	129	0	0	8	26	138	20	47	9	33	0	39	33	95	0	16	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59062	1330	710	1225	1080	908	1000	602	719	821	1401	1592	1488	1295	1439	903	1099	1614	1946	1538	1152	1506	1727	1441	1514	1061	1620	1573	1510	822	828	1019	905	1550	796	1763	985	1014	418	1935	177	284	211	900	597	265	266	394	240	1346	215	868	441	151	590	254	563	400	114	179	286	196	442	524	586	237	273	214					
9	Число недействительных избирательных бюллетеней	281	0	0	0	0	8	0	7	0	5	20	0	2	12	0	2	0	1	5	3	0	11	0	5	14	11	6	8	18	8	11	7	9	13	17	34	6	11	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	1	2	0	3	3	0	0	0	0	2	2	0	0	0	5					
10	Число действительных избирательных бюллетеней	61271	1373	743	1255	1112	1008	1056	614	725	862	1413	1598	1550	1301	1455	925	1193	1631	1993	1555	1192	1551	1747	1470	1533	1084	1635	1597	1649	827	837	1052	906	1604	802	1775	1065	1059	452	1986	177	349	252	938	620	265	274	417	240	1397	249	991	441	150	596	280	698	417	161	188	319	196	479	555	681	237	289	230					
