Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Новоаннинская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28192	1497	1474	1120	1398	1313	1382	1557	1274	1194	1392	1104	843	76	437	167	105	64	394	159	317	724	164	636	135	272	481	239	559	172	1548	406	379	378	778	151	166	397	589	177	930	201	212	1231									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28650	1530	1480	1140	1370	1320	1390	1600	1300	1210	1400	1100	860	80	450	170	110	70	410	170	330	740	160	660	140	280	490	250	550	170	1560	420	390	390	800	160	170	410	590	180	940	210	230	1270									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9161	402	399	336	473	476	418	471	473	301	442	305	224	39	183	69	42	35	134	63	105	245	47	215	62	65	186	86	201	107	463	68	193	104	323	53	81	151	186	47	294	82	99	413									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2802	71	16	66	47	39	61	24	222	49	38	14	90	2	82	45	23	12	15	24	56	182	50	105	25	95	67	60	150	41	164	138	40	106	48	70	35	69	92	8	62	38	28	133									
6	Число погашенных избирательных бюллетеней	16687	1057	1065	738	850	805	911	1105	605	860	920	781	546	39	185	56	45	23	261	83	169	313	63	340	53	120	237	104	199	22	933	214	157	180	429	37	54	190	312	125	584	90	103	724									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2802	71	16	66	47	39	61	24	222	49	38	14	90	2	82	45	23	12	15	24	56	182	50	105	25	95	67	60	150	41	164	138	40	106	48	70	35	69	92	8	62	38	28	133									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9159	402	399	334	473	476	418	471	473	301	442	305	224	39	183	69	42	35	134	63	105	245	47	215	62	65	186	86	201	107	463	68	193	104	323	53	81	151	186	47	294	82	99	413									
9	Число недействительных избирательных бюллетеней	218	9	8	8	3	7	10	4	7	10	13	7	4	1	6	18	1	2	5	2	4	5	2	4	0	6	1	4	5	1	2	4	2	2	14	0	2	3	8	0	5	2	4	13									
10	Число действительных избирательных бюллетеней	11743	464	407	392	517	508	469	491	688	340	467	312	310	40	259	96	64	45	144	85	157	422	95	316	87	154	252	142	346	147	625	202	231	208	357	123	114	217	270	55	351	118	123	533									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	516	25	25	25	20	20	25	25	30	20	20	25	8	3	9	5	5	5	9	8	8	13	8	20	2	3	7	3	5	2	25	3	3	3	20	3	6	6	10	2	18	10	9	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	363	25	3	15	3	5	8	25	30	4	15	7	8	3	9	5	0	5	9	0	8	13	8	20	2	3	7	3	5	2	5	3	3	3	20	3	6	6	10	2	18	10	9	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	125	3	6	4	7	7	0	2	18	1	6	3	1	1	2	2	0	1	3	1	2	4	5	2	1	2	2	0	2	7	9	1	0	0	5	3	1	3	0	1	3	2	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	153	0	22	10	17	15	17	0	0	16	5	18	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	2	1	0	1	1	0	2	4	2	2	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	1	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
