Выборы Президента Российской Федерации																																																									
																																																									
"Наименование Избирательной комиссии:    Нижний Тагил, Ленинская"																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236					
1	"Число избирателей, внесенных в список"	94730	2305	1957	1537	1635	1769	1912	1744	2666	2200	1960	2197	1569	1920	1857	2178	2101	2350	2452	2234	1901	2357	2229	1679	2226	2825	2504	2515	2277	2342	1973	2697	2434	2213	2491	2068	2315	462	782	464	1704	1388	1388	1885	1177	584	618	2032	2040	2072	545					
2	Число полученных избирательных бюллетеней	89145	2200	1900	1400	1600	1700	1800	1600	2500	2200	1900	2100	1500	1900	1900	2000	2000	2200	2300	2100	1800	2300	1700	1600	2100	2700	2400	2400	2100	2200	1900	2600	2300	2100	2300	1900	2200	450	700	450	1500	1200	1300	1700	1100	500	600	1900	1900	1900	545					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	58005	1410	1224	938	1104	1138	1250	961	1659	1448	1192	1474	1049	1115	1311	1341	1298	1465	1605	1116	1118	1391	1422	1077	1322	1662	1551	1688	1455	1413	1289	1662	1467	1381	1559	1311	1058	283	329	207	986	665	866	1133	603	294	386	1365	1337	1106	521					
5	"Число избирательных бюллетеней, выданных вне помещения"	1814	65	44	47	35	22	29	221	48	32	35	49	23	20	52	18	34	32	32	153	39	21	20	11	19	23	31	23	15	44	14	10	18	12	18	18	39	22	42	28	0	42	11	18	28	29	16	35	39	114	24					
6	Число погашенных избирательных бюллетеней	29326	725	632	415	461	540	521	418	793	720	673	577	428	765	537	641	668	703	663	831	643	888	258	512	759	1015	818	689	630	743	597	928	815	707	723	571	1103	145	329	215	514	493	423	549	469	177	198	500	524	680	0					
7	Число избирательных бюллетеней в переносных ящиках	1814	65	44	47	35	22	29	221	48	32	35	49	23	20	52	18	34	32	32	153	39	21	20	11	19	23	31	23	15	44	14	10	18	12	18	18	39	22	42	28	0	42	11	18	28	29	16	35	39	114	24					
8	Число бюллетеней в стационарных ящиках для голосования	57974	1410	1224	938	1104	1136	1250	960	1659	1446	1192	1473	1049	1115	1311	1338	1298	1463	1605	1116	1118	1391	1420	1077	1322	1662	1548	1688	1455	1413	1289	1652	1467	1381	1559	1311	1055	283	329	207	986	665	864	1133	603	294	386	1365	1337	1106	521					
9	Число недействительных избирательных бюллетеней	649	14	10	9	11	8	12	3	9	8	10	8	5	18	11	12	17	10	28	20	14	34	12	16	25	22	11	21	22	11	17	13	12	8	16	12	9	8	11	9	6	9	12	15	15	4	2	18	16	13	13					
10	Число действительных избирательных бюллетеней	59139	1461	1258	976	1128	1150	1267	1178	1698	1470	1217	1514	1067	1117	1352	1344	1315	1485	1609	1249	1143	1378	1428	1072	1316	1663	1568	1690	1448	1446	1286	1649	1473	1385	1561	1317	1085	297	360	226	980	698	863	1136	616	319	400	1382	1360	1207	532					
11	Число полученных открепительных  удостоверений	1900	40	40	30	40	40	30	30	40	50	40	50	40	30	40	40	50	50	50	50	40	40	40	40	40	40	50	40	50	40	50	40	40	40	50	40	30	30	20	30	30	40	30	40	30	20	20	40	40	40	0					
12	Число выданных открепительных удостоверений	546	16	13	8	15	10	16	6	21	15	11	12	14	7	22	14	9	16	9	14	4	11	8	7	11	13	13	13	11	10	10	16	11	11	13	14	11	0	1	3	19	11	8	12	3	4	1	14	17	18	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	474	13	14	15	12	11	10	2	7	10	11	12	9	6	11	14	5	6	7	7	8	8	13	7	6	6	4	15	4	7	6	5	11	9	11	9	9	15	4	7	13	14	0	8	10	2	42	10	14	15	0					
14	Число неиспользованных открепительных удостоверений	1354	24	27	22	25	30	14	24	19	35	29	38	26	23	18	26	41	34	41	36	36	29	32	33	29	27	37	27	39	30	40	24	29	29	37	26	19	30	19	27	11	29	22	28	27	16	19	26	23	22	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
