Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																					
																																																																					
Наименование Избирательной комиссии:    Петроградская № 18																																																																					
																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																					
																																																																					
		Сумма	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366					
1	"Число избирателей, внесенных в списки"	103246	2030	1611	2289	1513	1126	1495	1745	1725	2067	2399	2387	2582	1658	2758	1683	1502	1252	1260	1971	2357	1724	1379	1703	1904	1524	1034	2230	2245	742	1400	1115	2681	1217	2468	36	122	328	2080	1699	2115	2891	1516	1822	1978	2017	1345	790	1244	2457	2249	2385	1863	1604	2058	1016	1569	2767	1262	902	2114	64	177					
2	"Число бюллетеней, полученных участковыми комиссиями"	98700	2000	2000	2100	1400	1000	1400	1600	1500	2000	2200	2200	2500	1500	2500	1500	1500	1200	1200	1800	2100	2000	1300	1600	1700	2000	1000	2000	2000	700	1300	1000	2500	1100	2300	100	400	500	2000	1500	2000	2500	1400	1600	2000	2000	1200	800	1100	2200	2000	2200	1700	1500	1700	900	1500	2500	1200	2000	2000	200	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	42142	794	613	855	588	421	597	668	681	795	982	870	1037	628	1061	723	600	537	618	800	811	671	515	703	794	686	365	865	902	348	644	444	1152	448	996	36	0	0	911	599	785	1099	525	629	1151	650	530	263	795	1498	1018	1400	698	628	722	403	651	1037	410	538	807	64	83					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1638	40	12	17	10	13	10	15	11	26	19	25	16	6	30	17	13	12	12	14	18	11	18	11	21	19	16	45	23	25	20	18	27	13	19	0	122	328	20	16	13	34	15	20	7	35	14	16	3	20	16	21	9	16	89	14	16	23	1	12	42	0	94					
6	Число погашенных бюллетеней	54917	1166	1375	1228	802	566	793	917	808	1179	1199	1305	1447	866	1409	760	887	651	570	986	1271	1318	767	886	885	1295	619	1090	1075	327	636	538	1321	639	1283	64	278	172	1069	885	1202	1367	860	951	842	1315	656	521	302	682	966	779	993	856	889	483	833	1439	789	1450	1151	136	123					
7	Число бюллетеней в переносных ящиках для голосования	1638	40	12	17	10	13	10	15	11	26	19	25	16	6	30	17	13	12	12	14	18	11	18	11	21	19	16	45	23	25	20	18	27	13	19	0	122	328	20	16	13	34	15	20	7	35	14	16	3	20	16	21	9	16	89	14	16	23	1	12	42	0	94					
8	Число бюллетеней в стационарных ящиках для голосования	42081	791	613	854	587	420	597	668	672	795	982	868	1037	627	1061	707	596	537	616	800	811	671	514	703	789	686	365	864	901	348	644	444	1151	448	996	36	0	0	908	599	784	1099	525	628	1149	650	530	263	794	1498	1017	1400	697	628	721	402	651	1037	410	538	807	64	83					
9	Число недействительных бюллетеней	228	4	2	2	3	1	6	4	2	3	5	2	8	7	4	5	4	4	2	1	4	1	6	2	5	4	0	3	4	0	4	2	6	1	10	0	1	1	11	0	3	4	1	6	2	4	3	5	5	14	2	9	7	4	7	2	1	10	2	1	1	0	1					
10	Число действительных бюллетеней	43491	827	623	869	594	432	601	679	681	818	996	891	1045	626	1087	719	605	545	626	813	825	681	526	712	805	701	381	906	920	373	660	460	1172	460	1005	36	121	327	917	615	794	1129	539	642	1154	681	541	274	792	1504	1031	1412	699	640	803	414	666	1050	409	549	848	64	176					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2926	50	50	50	50	50	50	50	50	50	50	50	65	50	65	50	50	50	50	50	50	50	50	50	50	50	50	50	50	40	50	50	65	50	65	0	0	0	50	50	50	71	50	50	50	50	50	50	50	50	50	50	50	50	50	40	50	65	50	50	50	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	386	12	5	1	7	3	3	3	4	8	17	10	8	1	10	8	16	11	2	6	5	13	5	16	9	10	5	5	5	1	5	6	15	2	7	0	0	0	11	8	9	8	7	5	10	9	6	2	1	6	3	2	12	3	8	4	5	4	1	10	8	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	427	5	7	2	5	10	14	5	5	6	6	8	6	13	11	7	6	9	9	7	11	4	4	14	4	10	3	8	6	7	7	5	13	3	7	17	0	1	11	4	11	8	1	4	11	9	4	3	2	5	4	8	10	8	6	3	18	11	2	3	6	2	8					
14	Число погашенных открепительных удостоверений	2540	38	45	49	43	47	47	47	46	42	33	40	57	49	55	42	34	39	48	44	45	37	45	34	41	40	45	45	45	39	45	44	50	48	58	0	0	0	39	42	41	63	43	45	40	41	44	48	49	44	47	48	38	47	42	36	45	61	49	40	42	0	0					
15	Число открепительных удостоверений выданных ТИК	74	1	0	1	5	0	0	2	1	4	3	1	1	1	2	2	2	2	0	2	0	2	0	1	0	2	1	1	1	0	2	0	0	0	4	0	0	0	1	0	1	3	0	2	1	2	2	0	1	0	2	3	1	1	3	0	0	2	3	0	2	0	0					
16	Число утраченных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																					
18	"1. ""ЕДИНЕНИЕ"""	426	12	3	2	3	8	5	4	8	4	9	6	6	7	7	3	3	7	8	2	5	7	4	3	5	7	3	8	4	2	4	8	6	1	11	0	1	5	4	2	7	8	4	3	22	11	6	2	29	14	37	26	7	8	13	5	5	10	2	4	1	0	5					
		0.97%	1.44%	0.48%	0.22%	0.50%	1.84%	0.82%	0.58%	1.17%	0.48%	0.89%	0.67%	0.56%	1.10%	0.64%	0.41%	0.49%	1.27%	1.27%	0.24%	0.60%	1.02%	0.75%	0.42%	0.61%	0.99%	0.78%	0.88%	0.43%	0.53%	0.60%	1.73%	0.50%	0.21%	1.08%	0.0%	0.81%	1.52%	0.43%	0.32%	0.87%	0.70%	0.74%	0.46%	1.90%	1.60%	1.10%	0.71%	3.63%	0.92%	3.58%	1.82%	0.99%	1.24%	1.60%	1.20%	0.74%	0.94%	0.48%	0.72%	0.11%	0.0%	2.82%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	5724	133	80	143	83	73	75	97	68	106	138	147	161	95	159	97	100	74	97	118	107	99	53	92	132	127	44	127	125	81	106	77	212	70	161	0	11	26	134	111	94	168	86	68	75	83	70	27	21	98	75	81	80	78	110	63	82	142	56	75	127	8	18					
		13.09%	16.00%	12.8%	16.41%	13.90%	16.85%	12.35%	14.20%	9.95%	12.91%	13.78%	16.46%	15.28%	15.00%	14.57%	13.39%	16.42%	13.47%	15.44%	14.49%	12.90%	14.51%	9.96%	12.88%	16.29%	18.01%	11.54%	13.97%	13.52%	21.71%	15.96%	16.66%	17.99%	15.18%	15.86%	0.0%	9.01%	7.92%	14.43%	18.04%	11.79%	14.82%	15.92%	10.49%	6.48%	12.11%	12.86%	9.67%	2.63%	6.45%	7.26%	5.70%	11.33%	12.11%	13.58%	15.14%	12.29%	13.39%	13.62%	13.63%	14.95%	12.5%	10.16%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1137	16	31	25	24	15	23	13	22	15	25	26	34	9	18	20	19	12	14	23	29	16	14	12	13	15	7	21	19	5	9	17	39	14	35	3	5	12	30	9	37	30	20	19	14	25	25	12	4	22	17	24	31	19	19	13	15	34	2	14	29	0	4					
		2.60%	1.92%	4.96%	2.87%	4.02%	3.46%	3.78%	1.90%	3.22%	1.82%	2.49%	2.91%	3.22%	1.42%	1.64%	2.76%	3.11%	2.18%	2.22%	2.82%	3.49%	2.34%	2.63%	1.68%	1.60%	2.12%	1.83%	2.31%	2.05%	1.34%	1.35%	3.67%	3.31%	3.03%	3.44%	8.33%	4.09%	3.65%	3.23%	1.46%	4.64%	2.64%	3.70%	2.93%	1.21%	3.64%	4.59%	4.30%	0.50%	1.44%	1.64%	1.68%	4.39%	2.95%	2.34%	3.12%	2.24%	3.20%	0.48%	2.54%	3.41%	0.0%	2.25%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4620	88	52	90	66	48	77	66	82	95	124	104	114	82	128	89	64	56	75	98	88	77	49	92	108	107	43	117	121	69	71	57	152	49	134	3	8	22	98	74	70	140	61	68	75	65	44	21	31	81	57	64	66	69	78	63	71	123	37	80	100	6	13					
