Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
Наименование Избирательной комиссии:    Мишкинская																																																																		
																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2865	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2870	УИК №2871	УИК №2872	УИК №2873	УИК №2874	УИК №2875	УИК №2876	УИК №2877	УИК №2878	УИК №2879	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №2886	УИК №2887					
1	"Число избирателей, внесенных в списки"	18781	309	496	343	281	226	227	210	167	326	199	395	404	62	334	414	105	394	149	106	139	940	539	500	800	563	704	375	147	482	269	172	301	295	448	159	277	184	133	347	216	390	411	471	815	363	122	304	379	374	332	257	94	152	364	153	144	195	204	120					
2	"Число бюллетеней, полученных участковыми комиссиями"	19072	320	515	337	287	225	227	255	194	324	196	400	407	62	347	413	106	401	152	112	137	900	525	475	785	545	655	370	149	501	320	176	305	375	446	149	274	183	130	352	226	397	418	468	820	370	126	302	381	364	333	260	97	152	468	157	145	197	210	149					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14538	246	361	261	218	156	180	165	144	210	159	279	294	57	259	296	91	320	125	90	106	691	426	438	638	460	540	303	111	359	247	124	219	262	387	107	198	137	111	279	171	311	284	324	558	261	96	232	271	288	279	210	82	106	364	119	117	146	155	110					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1186	18	44	18	17	32	21	45	23	48	10	24	14	3	35	21	7	25	20	9	18	36	12	12	22	8	43	19	17	33	22	15	16	33	21	26	8	9	6	10	8	15	53	14	64	22	11	14	23	28	14	16	2	20	0	9	9	19	15	10					
6	Число погашенных бюллетеней	3348	56	110	58	52	37	26	45	27	66	27	97	99	2	53	96	8	56	7	13	13	173	87	25	125	77	72	48	21	109	51	37	70	80	38	16	68	37	13	63	47	71	81	130	198	87	19	56	87	48	40	34	13	26	104	29	19	32	40	29					
7	Число бюллетеней в переносных ящиках для голосования	1186	18	44	18	17	32	21	45	23	48	10	24	14	3	35	21	7	25	20	9	18	36	12	12	22	8	43	19	17	33	22	15	16	33	21	26	8	9	6	10	8	15	53	14	64	22	11	14	23	28	14	16	2	20	0	9	9	19	15	10					
8	Число бюллетеней в стационарных ящиках для голосования	14536	246	361	261	218	156	180	165	144	210	159	279	294	57	259	296	91	320	125	90	106	691	426	438	638	460	540	303	111	359	247	124	219	262	387	107	198	137	111	279	171	311	284	324	556	261	96	232	271	288	279	210	82	106	364	119	117	146	155	110					
9	Число недействительных бюллетеней	864	4	27	15	15	19	13	10	13	15	16	18	5	1	25	12	2	26	8	0	0	44	12	10	17	15	18	10	15	49	26	9	14	59	2	9	18	12	11	22	7	15	12	23	32	25	5	13	24	3	5	11	3	7	24	6	7	4	13	9					
10	Число действительных бюллетеней	14858	260	378	264	220	169	188	200	154	243	153	285	303	59	269	305	96	319	137	99	124	683	426	440	643	453	565	312	113	343	243	130	221	236	406	124	188	134	106	267	172	311	325	315	588	258	102	233	270	313	288	215	81	119	340	122	119	161	157	111					
