Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    Земетчинская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495					
1	"Число избирателей, внесенных в списки избирателей"	22227	1423	1456	1437	1345	1178	1332	1560	1023	225	104	883	322	297	518	243	177	363	85	697	1530	532	304	612	286	342	270	323	693	890	552	521	704					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22050	1410	1460	1420	1350	1160	1330	1570	1000	220	100	860	320	300	500	240	180	360	90	690	1500	530	300	610	280	350	270	300	700	880	550	510	710					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14587	738	808	744	744	605	786	969	861	169	82	711	262	123	336	117	59	257	59	459	1016	454	193	490	113	181	147	212	474	790	474	480	674					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2606	100	84	102	87	138	112	152	110	40	18	97	46	71	121	55	68	78	21	190	127	41	103	60	114	60	77	83	170	55	22	4	0					
6	Число погашенных избирательных бюллетеней	4857	572	568	574	519	417	432	449	29	11	0	52	12	106	43	68	53	25	10	41	357	35	4	60	53	109	46	5	56	35	54	26	36					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2606	100	84	102	87	138	112	152	110	40	18	97	46	71	121	55	68	78	21	190	127	41	103	60	114	60	77	83	170	55	22	4	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14586	738	808	744	744	605	786	969	861	169	82	711	262	123	336	117	59	257	59	458	1016	454	193	490	113	181	147	212	474	790	474	480	674					
9	Число недействительных избирательных бюллетеней	333	10	17	9	8	1	44	4	72	4	8	0	0	0	10	0	0	9	10	4	33	0	11	1	2	7	11	0	4	21	29	4	0					
10	Число действительных избирательных бюллетеней	16859	828	875	837	823	742	854	1117	899	205	92	808	308	194	447	172	127	326	70	644	1110	495	285	549	225	234	213	295	640	824	467	480	674					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	400	20	20	20	20	20	20	20	20	10	5	10	10	10	10	10	10	10	5	10	20	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	178	20	20	12	20	3	15	20	4	0	0	0	0	2	3	5	3	5	5	1	4	3	0	1	0	10	10	0	4	1	0	1	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	37	2	5	0	3	4	1	0	0	1	1	1	0	0	0	2	0	1	0	1	6	0	1	0	0	1	0	3	1	1	0	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	222	0	0	8	0	17	5	0	16	10	5	10	10	8	7	5	7	5	0	9	16	7	10	9	10	0	0	10	6	9	10	9	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
