Выборы Президента Российской Федерации																																																																											
																																																																											
Наименование Избирательной комиссии:    Куйтунская																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №1582					
1	"Число избирателей, внесенных в список"	25903	1003	988	782	845	409	548	708	430	920	782	532	167	151	191	190	244	122	125	348	120	901	144	180	62	330	175	369	35	181	285	35	262	1059	241	113	76	712	942	43	598	658	159	254	1381	90	144	148	135	118	121	471	197	157	241	240	478	1049	142	993	230	514	328	143	570	99	229	115	151					
2	Число полученных избирательных бюллетеней	26100	1020	1005	752	888	416	551	712	437	920	783	538	168	152	194	191	246	123	126	347	123	905	144	180	64	329	179	378	36	183	287	41	262	1060	238	113	79	704	953	44	607	657	163	256	1370	92	148	150	134	130	120	479	203	161	246	240	480	1055	145	997	235	511	331	146	565	97	233	123	155					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13111	374	387	316	314	149	188	295	184	297	343	199	87	101	104	103	148	78	82	219	67	416	106	92	35	245	128	191	32	138	206	29	125	557	140	69	31	525	410	31	296	383	103	192	549	61	97	83	72	72	103	254	126	114	159	161	221	470	84	496	146	356	212	102	297	51	136	71	103					
5	"Число избирательных бюллетеней, выданных вне помещения"	572	23	22	48	12	4	6	1	9	11	3	4	0	0	0	0	22	0	1	21	6	46	0	6	0	0	2	0	3	0	2	0	11	24	0	0	9	30	20	6	36	6	0	0	35	1	0	10	0	0	5	17	0	0	0	27	0	0	0	4	0	3	0	0	12	7	23	28	6					
6	Число погашенных избирательных бюллетеней	12417	623	596	388	562	263	357	416	244	612	437	335	81	51	90	88	76	45	43	107	50	443	38	82	29	84	49	187	1	45	79	12	126	479	98	44	39	149	523	7	275	268	60	64	786	30	51	57	62	58	12	208	77	47	87	52	259	585	61	497	89	152	119	44	256	39	74	24	46					
7	Число избирательных бюллетеней в переносных ящиках	572	23	22	48	12	4	6	1	9	11	3	4	0	0	0	0	22	0	1	21	6	46	0	6	0	0	2	0	3	0	2	0	11	24	0	0	9	30	20	6	36	6	0	0	35	1	0	10	0	0	5	17	0	0	0	27	0	0	0	4	0	3	0	0	12	7	23	28	6					
8	Число бюллетеней в стационарных ящиках для голосования	13111	374	387	316	314	149	188	295	184	297	343	199	87	101	104	103	148	78	82	219	67	416	106	92	35	245	128	191	32	138	206	29	125	557	140	69	31	525	410	31	296	383	103	192	549	61	97	83	72	72	103	254	126	114	159	161	221	470	84	496	146	356	212	102	297	51	136	71	103					
9	Число недействительных избирательных бюллетеней	158	1	4	2	0	1	4	2	0	4	7	4	2	3	0	0	2	0	0	5	0	5	2	5	0	0	1	0	0	0	1	0	3	12	0	1	1	5	4	0	5	7	2	1	17	0	0	0	2	0	0	0	1	1	4	3	5	2	0	13	0	1	2	0	7	0	2	1	1					
10	Число действительных избирательных бюллетеней	13525	396	405	362	326	152	190	294	193	304	339	199	85	98	104	103	168	78	83	235	73	457	104	93	35	245	129	191	35	138	207	29	133	569	140	68	39	550	426	37	327	382	101	191	567	62	97	93	70	72	108	271	125	113	155	185	216	468	84	487	146	358	210	102	302	58	157	98	108					
