Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Иланская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №2197									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18737	1496	1421	1069	1266	1096	1036	2377	1159	692	371	156	55	603	206	248	326	75	82	46	399	118	399	123	104	93	167	587	42	90	35	56	1082	170	279	147	315	751									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18749	1509	1418	1071	1263	1094	1039	2380	1167	689	375	154	55	604	203	248	323	75	83	46	393	117	401	123	103	90	167	592	42	90	36	60	1081	169	278	147	307	757									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6728	355	490	333	397	310	237	994	215	175	149	42	28	309	105	71	192	44	63	28	159	35	243	57	61	66	98	205	28	60	35	46	398	83	132	78	127	280									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	548	12	15	36	11	13	10	31	17	4	16	17	2	17	16	41	10	0	0	0	41	37	8	6	4	0	10	68	5	5	0	0	37	15	12	11	5	16									
6	Число погашенных избирательных бюллетеней	11473	1142	913	702	855	771	792	1355	935	510	210	95	25	278	82	136	121	31	20	18	193	45	150	60	38	24	59	319	9	25	1	14	646	71	134	58	175	461									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	548	12	15	36	11	13	10	31	17	4	16	17	2	17	16	41	10	0	0	0	41	37	8	6	4	0	10	68	5	5	0	0	37	15	12	11	5	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6728	355	490	333	397	310	237	994	215	175	149	42	28	309	105	71	192	44	63	28	159	35	243	57	61	66	98	205	28	60	35	46	398	83	132	78	127	280									
9	Число недействительных избирательных бюллетеней	144	3	14	2	11	14	11	19	2	3	5	1	0	6	0	0	4	0	0	1	1	1	11	0	1	3	2	0	0	4	0	0	6	0	2	2	6	9									
10	Число действительных избирательных бюллетеней	7132	364	491	367	397	309	236	1006	230	176	160	58	30	320	121	112	198	44	63	27	199	71	240	63	64	63	106	273	33	61	35	46	429	98	142	87	126	287									
