Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Дальнереченская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719	УИК №3720	УИК №3721	УИК №3722	УИК №3723	УИК №3724	УИК №3725									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8347	955	459	229	77	178	838	617	220	755	130	93	830	228	231	258	272	401	206	148	208	184	369	181	212	68									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8021	900	435	235	77	180	777	580	212	725	144	96	780	230	232	255	263	392	198	138	195	175	345	185	202	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	72	0	0	0	0	0	44	12	0	0	0	0	0	6	0	0	0	0	0	0	0	10	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4276	419	228	172	61	112	382	327	102	449	81	63	437	111	109	128	155	221	118	93	100	18	178	110	98	4									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	472	16	13	15	9	14	33	28	0	37	4	0	87	42	26	6	8	9	20	3	8	39	20	10	11	14									
6	Число погашенных избирательных бюллетеней	3201	465	194	48	7	54	318	213	110	239	59	33	256	71	97	121	100	162	60	42	87	108	147	65	93	52									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	544	16	13	15	9	14	77	40	0	37	4	0	87	48	26	6	8	9	20	3	8	49	20	10	11	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4275	419	228	172	61	112	382	327	102	449	81	63	437	111	109	128	155	221	118	93	100	18	178	109	98	4									
9	Число недействительных избирательных бюллетеней	139	15	16	12	1	6	11	17	1	1	0	1	2	3	8	0	0	7	6	4	6	1	18	0	3	0									
10	Число действительных избирательных бюллетеней	4680	420	225	175	69	120	448	350	101	485	85	62	522	156	127	134	163	223	132	92	102	66	180	119	106	18									
