Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																															
Дата голосования: 04.12.2011																															
																															
Наименование Избирательной комиссии:    район Восточное Дегунино																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288					
1	"Число избирателей, внесенных в список избирателей"	60262	2432	2403	2602	2485	2362	2363	2134	2558	2393	2432	2587	2382	2734	2658	2883	2528	2610	2732	2403	2586	2202	2506	2564	2723					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	59400	2400	2400	2600	2400	2300	2300	2100	2600	2400	2400	2600	2400	2600	2600	2600	2500	2600	2700	2400	2600	2200	2500	2500	2700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	35721	1224	1242	1320	1501	1372	1481	1322	1505	1244	1109	1326	1543	1792	1738	1851	1613	1724	1595	1449	1443	1487	1429	1698	1713					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1412	43	59	34	113	78	58	79	54	36	21	39	26	38	24	139	59	21	24	88	82	73	79	99	46					
6	Число погашенных избирательных бюллетеней	22267	1133	1099	1246	786	850	761	699	1041	1120	1270	1235	831	770	838	610	828	855	1081	863	1075	640	992	703	941					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1411	43	59	34	113	78	58	78	54	36	21	39	26	38	24	139	59	21	24	88	82	73	79	99	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	35327	1224	1242	1320	1501	1369	1478	1320	1505	1230	1097	1316	1443	1792	1736	1850	1613	1656	1571	1444	1443	1487	1429	1559	1702					
9	Число недействительных избирательных бюллетеней	786	28	16	34	48	24	28	20	28	26	16	25	22	50	41	31	44	32	39	16	22	32	33	91	40					
10	Число действительных избирательных бюллетеней	35952	1239	1285	1320	1566	1423	1508	1378	1531	1240	1102	1330	1447	1780	1719	1958	1628	1645	1556	1516	1503	1528	1475	1567	1708					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1161	45	45	55	45	45	45	50	51	75	45	55	45	45	45	45	55	45	45	45	45	45	45	45	55					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1082	45	45	55	38	37	45	46	51	75	40	55	35	45	45	45	46	34	42	41	41	43	44	35	54					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	807	27	20	19	103	31	21	27	20	20	9	29	38	138	42	36	41	17	24	30	18	14	31	24	28					
14	Число погашенных неиспользованных открепительных удостоверений	79	0	0	0	7	8	0	4	0	0	5	0	10	0	0	0	9	11	3	4	4	2	1	10	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	0	2	1	0	0	1	0	1	6	2	1	1	1	7	2	2	3	2	3	0	0	2	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4928	203	191	196	230	168	156	142	215	202	172	172	199	247	286	292	225	204	232	190	190	147	199	211	259					
		13.41%	16.02%	14.68%	14.48%	14.25%	11.61%	10.16%	10.16%	13.79%	15.96%	15.38%	12.69%	13.55%	13.50%	16.25%	14.68%	13.46%	12.16%	14.55%	12.40%	12.46%	9.42%	13.20%	12.73%	14.82%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4361	156	177	178	165	163	194	127	183	172	167	227	146	238	176	257	171	183	216	157	151	183	175	188	211					
		11.87%	12.31%	13.60%	13.15%	10.22%	11.26%	12.63%	9.08%	11.74%	13.59%	14.94%	16.75%	9.94%	13.01%	10.00%	12.92%	10.23%	10.91%	13.54%	10.25%	9.90%	11.73%	11.60%	11.34%	12.07%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	503	21	22	20	21	17	21	14	29	18	16	18	21	23	32	28	20	22	12	24	14	21	21	15	33					
		1.37%	1.66%	1.69%	1.48%	1.30%	1.17%	1.37%	1.00%	1.86%	1.42%	1.43%	1.33%	1.43%	1.26%	1.82%	1.41%	1.20%	1.31%	0.75%	1.57%	0.92%	1.35%	1.39%	0.90%	1.89%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7490	337	296	278	303	288	294	247	317	301	227	313	283	350	383	429	286	376	330	284	305	255	313	304	391					
		20.39%	26.60%	22.75%	20.53%	18.77%	19.90%	19.14%	17.67%	20.33%	23.78%	20.30%	23.10%	19.26%	19.13%	21.76%	21.57%	17.11%	22.42%	20.69%	18.54%	20.00%	16.35%	20.76%	18.34%	22.37%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3223	203	136	169	115	158	114	99	133	147	96	126	137	143	149	236	183	17	122	109	124	110	122	136	139					
		8.77%	16.02%	10.45%	12.48%	7.13%	10.92%	7.42%	7.08%	8.53%	11.61%	8.59%	9.30%	9.33%	7.81%	8.47%	11.87%	10.94%	1.01%	7.65%	7.11%	8.13%	7.05%	8.09%	8.20%	7.95%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15133	310	452	464	723	619	721	734	639	389	417	462	651	766	670	698	721	833	631	741	698	798	630	700	666					
		41.19%	24.47%	34.74%	34.27%	44.80%	42.78%	46.94%	52.50%	40.99%	30.73%	37.30%	34.10%	44.32%	41.86%	38.07%	35.09%	43.12%	49.67%	39.56%	48.37%	45.77%	51.15%	41.78%	42.22%	38.10%					
