Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    Таборинская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889					
1	"Число избирателей, внесенных в списки избирателей"	3412	19	54	164	137	41	1740	473	54	227	323	101	79					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3500	25	60	170	150	45	1780	490	70	220	310	105	75					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2155	16	53	112	97	27	963	288	35	203	235	77	49					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	237	0	0	24	24	0	129	31	0	4	17	1	7					
6	Число погашенных избирательных бюллетеней	1108	9	7	34	29	18	688	171	35	13	58	27	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	237	0	0	24	24	0	129	31	0	4	17	1	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2155	16	53	112	97	27	963	288	35	203	235	77	49					
9	Число недействительных избирательных бюллетеней	16	0	0	0	2	0	10	1	0	0	2	1	0					
10	Число действительных избирательных бюллетеней	2376	16	53	136	119	27	1082	318	35	207	250	77	56					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	38	1	1	1	4	0	20	3	1	1	3	2	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	36	1	1	1	4	0	19	3	0	1	3	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	35	0	1	0	0	0	9	1	1	4	18	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	2	0	0	0	0	0	1	0	1	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	12	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	66	0	0	7	1	0	39	3	0	8	4	4	0					
		2.76%	0.00%	0.00%	5.15%	0.83%	0.00%	3.57%	0.94%	0.00%	3.86%	1.59%	5.13%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	18	0	0	2	0	0	13	1	0	1	1	0	0					
		0.75%	0.00%	0.00%	1.47%	0.00%	0.00%	1.19%	0.31%	0.00%	0.48%	0.40%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	2	0	0	0	0	0	2	0	0	0	0	0	0					
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	120	0	0	2	14	0	56	17	1	17	7	4	2					
		5.02%	0.00%	0.00%	1.47%	11.57%	0.00%	5.13%	5.33%	2.86%	8.21%	2.78%	5.13%	3.57%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	7	0	0	0	0	0	7	0	0	0	0	0	0					
		0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	4	0	0	0	1	0	2	0	0	0	1	0	0					
		0.17%	0.00%	0.00%	0.00%	0.83%	0.00%	0.18%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	209	2	6	2	10	4	104	24	3	10	31	8	5					
		8.74%	12.50%	11.32%	1.47%	8.26%	14.81%	9.52%	7.52%	8.57%	4.83%	12.30%	10.26%	8.93%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	98	2	0	3	4	1	54	15	2	8	9	0	0					
		4.10%	12.50%	0.00%	2.21%	3.31%	3.70%	4.95%	4.70%	5.71%	3.86%	3.57%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	13	0	3	1	0	0	5	0	0	3	1	0	0					
		0.54%	0.00%	5.66%	0.74%	0.00%	0.00%	0.46%	0.00%	0.00%	1.45%	0.40%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1832	12	44	116	89	22	798	258	29	158	196	61	49					
		76.59%	75.00%	83.02%	85.29%	73.55%	81.48%	73.08%	80.88%	82.86%	76.33%	77.78%	78.21%	87.50%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	7	0	0	3	0	0	2	0	0	2	0	0	0					
		0.29%	0.00%	0.00%	2.21%	0.00%	0.00%	0.18%	0.00%	0.00%	0.97%	0.00%	0.00%	0.00%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
