Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    Таборинская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №880	УИК №881	УИК №883	УИК №884	УИК №886	УИК №887	УИК №888	УИК №889					
1	"Число избирателей, внесенных в список избирателей"	3265	212	149	1714	505	212	313	96	64					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3285	200	160	1730	505	215	310	95	70					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	164	32	0	17	31	30	54	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1559	99	85	843	208	104	125	49	46					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	180	10	11	70	47	5	28	3	6					
6	Число погашенных избирательных бюллетеней	1382	59	64	800	219	76	103	43	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	344	42	11	87	78	35	82	3	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1559	99	85	843	208	104	125	49	46					
9	Число недействительных избирательных бюллетеней	50	3	2	33	6	1	2	2	1					
10	Число действительных избирательных бюллетеней	1853	138	94	897	280	138	205	50	51					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	91	10	10	33	6	5	23	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	70	2	5	30	4	3	23	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	4	3	12	4	1	15	3	7					
14	Число погашенных неиспользованных открепительных удостоверений	21	8	5	3	2	2	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	9	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	337	11	12	213	36	20	28	9	8					
		17.71%	7.80%	12.50%	22.90%	12.59%	14.39%	13.53%	17.31%	15.38%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	235	11	14	111	44	15	26	8	6					
		12.35%	7.80%	14.58%	11.94%	15.38%	10.79%	12.56%	15.38%	11.54%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	22	2	1	8	1	1	6	3	0					
		1.16%	1.42%	1.04%	0.86%	0.35%	0.72%	2.90%	5.77%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	168	5	9	96	30	11	11	3	3					
		8.83%	3.55%	9.38%	10.32%	10.49%	7.91%	5.31%	5.77%	5.77%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	23	2	1	13	4	2	1	0	0					
		1.21%	1.42%	1.04%	1.40%	1.40%	1.44%	0.48%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1060	107	57	450	163	89	133	27	34					
		55.70%	75.89%	59.38%	48.39%	56.99%	64.03%	64.25%	51.92%	65.38%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	8	0	0	6	2	0	0	0	0					
		0.42%	0.00%	0.00%	0.65%	0.70%	0.00%	0.00%	0.00%	0.00%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
