Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва								
Дата голосования: 07.12.2003 0:00:00								
								
Наименование Избирательной комиссии:    Первомайская поселковая								
								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)								
								
		Сумма	УИК №946					
1	"Число избирателей, внесенных в списки"	7159	7159					
2	"Число бюллетеней, полученных участковыми комиссиями"	7036	7036					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4855	4855					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	78	78					
6	Число погашенных бюллетеней	2103	2103					
7	Число бюллетеней в переносных ящиках для голосования	78	78					
8	Число бюллетеней в стационарных ящиках для голосования	4847	4847					
9	Число недействительных бюллетеней	64	64					
10	Число действительных бюллетеней	4861	4861					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	190	190					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	76	76					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	17					
14	Число погашенных открепительных удостоверений	114	114					
15	Число открепительных удостоверений выданных ТИК	0	0					
16	Число утраченных бюллетеней	0	0					
17	Число не учтенных при получении бюллетеней	0	0					
								
18	"1. ""ЕДИНЕНИЕ"""	75	75					
		1.52%	1.52%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	182	182					
		3.69%	3.69%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	96	96					
		1.94%	1.94%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	144	144					
		2.92%	2.92%					
22	"5. ""За Русь Святую"""	25	25					
		0.50%	0.50%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	17					
		0.34%	0.34%					
24	"7. ""Новый курс - Автомобильная Россия"""	81	81					
		1.64%	1.64%					
25	"8. ""Народно-республиканская партия России"""	7	7					
		0.14%	0.14%					
26	"9. ""Российская экологическая партия ""Зеленые"""	39	39					
		0.79%	0.79%					
27	"10. ""Аграрная партия России"""	107	107					
		2.17%	2.17%					
28	"11. ""Истинные патриоты России"""	15	15					
		0.30%	0.30%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	55	55					
		1.11%	1.11%					
30	"13. ""Демократическая партия России"""	18	18					
		0.36%	0.36%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	7					
		0.14%	0.14%					
32	"15. ""Партия СЛОН"""	11	11					
		0.22%	0.22%					
33	"16. ""Родина"" (народно-патриотический союз)"""	229	229					
		4.64%	4.64%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	13					
		0.26%	0.26%					
35	"18. ""ЛДПР"""	1305	1305					
		26.49%	26.49%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	102	102					
		2.07%	2.07%					
37	"20. ""Политическая партия ""Единая Россия"""	1724	1724					
		35.00%	35.00%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	15					
		0.30%	0.30%					
39	"22. ""Развитие предпринимательства"""	25	25					
		0.50%	0.50%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	207	207					
		4.20%	4.20%					
								
41	Против всех	362	362					
		7.35%	7.35%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
