Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Среднеколымская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5807	1293	1425	392	316	212	432	314	390	446	393	194									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6000	1372	1367	412	333	213	453	341	403	480	417	209									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	94	12	13	0	0	0	35	0	0	12	22	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2852	551	620	241	183	74	232	194	186	261	214	96									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	211	43	52	17	5	9	17	10	12	17	23	6									
6	Число погашенных избирательных бюллетеней	2843	766	682	154	145	130	169	137	205	190	158	107									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	305	55	65	17	5	9	52	10	12	29	45	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2852	551	620	241	183	74	232	194	186	261	214	96									
9	Число недействительных избирательных бюллетеней	49	9	18	2	2	1	3	3	1	5	4	1									
10	Число действительных избирательных бюллетеней	3108	597	667	256	186	82	281	201	197	285	255	101									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	175	30	30	15	10	10	15	10	15	15	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	125	15	22	12	10	0	15	7	11	15	13	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	76	27	31	4	5	1	2	1	4	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	50	15	8	3	0	10	0	3	4	0	2	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	70	6	4	8	3	0	1	14	9	12	4	9									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	33	8	12	1	1	3	0	1	3	1	1	2									
		1.05%	1.32%	1.75%	0.39%	0.53%	3.61%	0.00%	0.49%	1.52%	0.34%	0.39%	1.96%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	93	21	16	5	9	4	4	9	5	13	5	2									
		2.95%	3.47%	2.34%	1.94%	4.79%	4.82%	1.41%	4.41%	2.53%	4.48%	1.93%	1.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	72	16	20	4	2	1	8	9	4	4	3	1									
		2.28%	2.64%	2.92%	1.55%	1.06%	1.20%	2.82%	4.41%	2.02%	1.38%	1.16%	0.98%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1677	305	343	107	108	42	151	93	146	188	141	53									
		53.12%	50.33%	50.07%	41.47%	57.45%	50.60%	53.17%	45.59%	73.74%	64.83%	54.44%	51.96%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	3	7	0	0	0	2	0	0	1	2	0									
		0.48%	0.50%	1.02%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.34%	0.77%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	3	3	1	1	0	1	2	0	1	1	0									
		0.41%	0.50%	0.44%	0.39%	0.53%	0.00%	0.35%	0.98%	0.00%	0.34%	0.39%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	185	50	60	10	4	10	7	19	4	11	9	1									
		5.86%	8.25%	8.76%	3.88%	2.13%	12.05%	2.46%	9.31%	2.02%	3.79%	3.47%	0.98%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	1	0	0	2	0	1	0	1	1	0	0									
		0.19%	0.17%	0.00%	0.00%	1.06%	0.00%	0.35%	0.00%	0.51%	0.34%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	10	3	3	0	0	0	0	0	2	2	0									
		0.63%	1.65%	0.44%	1.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.77%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	1	3	0	0	0	0	0	1	0	1	0									
		0.19%	0.17%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.39%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	2	8	0	0	0	2	3	0	0	1	1									
		0.54%	0.33%	1.17%	0.00%	0.00%	0.00%	0.70%	1.47%	0.00%	0.00%	0.39%	0.98%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	326	73	69	24	24	6	10	38	11	27	33	11									
		10.33%	12.05%	10.07%	9.30%	12.77%	7.23%	3.52%	18.63%	5.56%	9.31%	12.74%	10.78%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	2	2	0	2	0	1	1	0	1	0	1									
		0.32%	0.33%	0.29%	0.00%	1.06%	0.00%	0.35%	0.49%	0.00%	0.34%	0.00%	0.98%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	635	102	121	101	33	16	94	26	22	35	56	29									
		20.11%	16.83%	17.66%	39.15%	17.55%	19.28%	33.10%	12.75%	11.11%	12.07%	21.62%	28.43%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
