Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Селемджинская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598					
1	"Число избирателей, внесенных в список избирателей"	10151	569	83	769	243	842	848	252	294	981	673	301	311	193	1165	1959	382	286					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9939	480	81	800	267	690	696	286	322	1500	645	286	381	462	890	1470	392	291					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	279	58	0	0	0	24	0	0	0	0	93	0	66	0	0	0	12	26					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5806	307	76	674	147	495	467	190	236	799	267	146	105	121	548	850	222	156					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	315	30	0	0	15	42	28	8	15	0	67	8	10	6	10	45	17	14					
6	Число погашенных избирательных бюллетеней	3539	85	5	126	105	129	201	88	71	701	218	132	200	335	332	575	141	95					
7	Число избирательных бюллетеней в переносных ящиках для голосования	594	88	0	0	15	66	28	8	15	0	160	8	76	6	10	45	29	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5806	307	76	674	147	495	467	190	236	799	267	146	105	121	548	850	222	156					
9	Число недействительных избирательных бюллетеней	110	6	1	12	5	3	7	8	3	16	9	1	2	4	14	16	3	0					
10	Число действительных избирательных бюллетеней	6290	389	75	662	157	558	488	190	248	783	418	153	179	123	544	879	248	196					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	247	15	5	0	20	31	11	15	10	0	15	10	10	10	25	25	25	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	169	8	5	0	16	31	8	15	8	0	12	6	3	6	13	25	6	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	188	5	1	79	2	7	2	0	1	47	4	4	1	5	6	10	2	12					
14	Число погашенных неиспользованных открепительных удостоверений	78	7	0	0	4	0	3	0	2	0	3	4	7	4	12	0	19	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	702	67	11	32	18	75	66	33	67	26	55	16	12	14	70	88	30	22					
		10.97%	16.96%	14.47%	4.75%	11.11%	13.37%	13.33%	16.67%	26.69%	3.25%	12.88%	10.39%	6.63%	11.02%	12.54%	9.83%	11.95%	11.22%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1483	89	11	177	12	119	93	52	40	257	88	30	49	34	115	233	52	32					
		23.17%	22.53%	14.47%	26.26%	7.41%	21.21%	18.79%	26.26%	15.94%	32.17%	20.61%	19.48%	27.07%	26.77%	20.61%	26.03%	20.72%	16.33%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	99	1	1	8	0	10	6	2	4	5	6	1	13	4	13	15	4	6					
		1.55%	0.25%	1.32%	1.19%	0.00%	1.78%	1.21%	1.01%	1.59%	0.63%	1.41%	0.65%	7.18%	3.15%	2.33%	1.68%	1.59%	3.06%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	960	46	7	67	10	123	97	24	20	82	68	28	27	23	125	158	38	17					
		15.00%	11.65%	9.21%	9.94%	6.17%	21.93%	19.60%	12.12%	7.97%	10.26%	15.93%	18.18%	14.92%	18.11%	22.40%	17.65%	15.14%	8.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	110	12	0	4	1	17	5	3	2	13	1	8	2	3	9	22	5	3					
		1.72%	3.04%	0.00%	0.59%	0.62%	3.03%	1.01%	1.52%	0.80%	1.63%	0.23%	5.19%	1.10%	2.36%	1.61%	2.46%	1.99%	1.53%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2908	172	45	372	116	212	219	74	114	399	200	69	74	43	209	356	118	116					
		45.44%	43.54%	59.21%	55.19%	71.60%	37.79%	44.24%	37.37%	45.42%	49.94%	46.84%	44.81%	40.88%	33.86%	37.46%	39.78%	47.01%	59.18%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	28	2	0	2	0	2	2	2	1	1	0	1	2	2	3	7	1	0					
		0.44%	0.51%	0.00%	0.30%	0.00%	0.36%	0.40%	1.01%	0.40%	0.13%	0.00%	0.65%	1.10%	1.57%	0.54%	0.78%	0.40%	0.00%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
