Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Темрюкская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №4901	УИК №4902	УИК №4903	УИК №4904	УИК №4905	УИК №4906	УИК №4907	УИК №4908	УИК №4909	УИК №4910	УИК №4911	УИК №4912	УИК №4913	УИК №4914	УИК №4915	УИК №4916	УИК №4917	УИК №4918	УИК №4919	УИК №4920	УИК №4921	УИК №4922	УИК №4923	УИК №4924	УИК №4925	УИК №4926	УИК №4927	УИК №4928	УИК №4929	УИК №4930	УИК №4931	УИК №4932	УИК №4933	УИК №4934	УИК №4935	УИК №4936	УИК №4937	УИК №4938	УИК №4939	УИК №4940	УИК №4941	УИК №4942	УИК №4943	УИК №4944	УИК №4945	УИК №4946	УИК №4947	УИК №4948	УИК №4949	УИК №4950	УИК №4951	УИК №4952	УИК №4953	УИК №4954	УИК №4999									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	87971	1248	580	1638	1980	1243	2002	1794	2097	2207	2581	1421	1535	1356	1713	2257	1743	1508	1323	1750	1602	1782	1358	1069	2175	1063	2429	2151	1412	1293	1184	2268	1228	2052	2090	1358	1284	1138	2087	1294	939	1722	1118	1761	1614	1090	938	465	2699	2472	2171	882	1308	1150	1642	1707									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	78374	1100	577	1509	1756	1115	1821	1617	1989	1886	2299	1267	1358	1199	1529	1993	1522	1423	1222	1508	1424	1569	1213	908	1926	942	2192	1915	1252	1152	1026	1993	1069	1846	1882	1100	1160	991	1857	1155	816	1472	994	1574	1416	968	827	401	2343	2150	1898	771	1269	1023	1483	1707									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31901	324	283	537	626	380	728	638	758	664	767	402	457	409	524	665	500	426	684	781	586	660	470	405	861	338	795	769	487	516	364	690	395	677	840	555	549	659	1245	588	538	704	327	569	476	378	545	191	801	681	661	321	549	384	548	1226									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4366	119	54	21	22	33	42	17	28	49	28	59	15	41	53	114	34	105	112	57	100	89	112	26	42	225	301	137	78	167	44	77	101	135	117	67	181	31	31	24	53	90	49	142	103	106	67	26	120	83	67	80	71	55	166	0									
6	Число погашенных избирательных бюллетеней	42107	657	240	951	1108	702	1051	962	1203	1173	1504	806	886	749	952	1214	988	892	426	670	738	820	631	477	1023	379	1096	1009	687	469	618	1226	573	1034	925	478	430	301	581	543	225	678	618	863	837	484	215	184	1422	1386	1170	370	649	584	769	481									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4366	119	54	21	22	33	42	17	28	49	28	59	15	41	53	114	34	105	112	57	100	89	112	26	42	225	301	137	78	167	44	77	101	135	117	67	181	31	31	24	53	90	49	142	103	106	67	26	120	83	67	80	71	55	166	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31768	324	283	537	626	380	728	621	758	664	767	402	457	409	524	665	500	426	572	781	586	660	470	405	861	338	795	769	487	512	364	690	395	677	840	555	549	659	1245	588	538	704	327	569	476	378	545	191	801	681	661	321	549	384	548	1226									
9	Число недействительных избирательных бюллетеней	753	12	3	16	19	4	18	24	13	11	15	6	9	7	7	10	15	13	25	20	8	35	16	7	25	5	37	15	10	10	8	9	9	18	19	12	4	7	31	14	0	8	6	6	12	8	3	7	45	18	27	5	7	8	11	36									
10	Число действительных избирательных бюллетеней	35381	431	334	542	629	409	752	614	773	702	780	455	463	443	570	769	519	518	659	818	678	714	566	424	878	558	1059	891	555	669	400	758	487	794	938	610	726	683	1245	598	591	786	370	705	567	476	609	210	876	746	701	396	613	431	703	1190									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	854	20	30	20	15	10	20	10	10	20	14	15	20	10	20	20	20	20	10	10	10	20	20	10	10	10	20	10	10	20	10	20	10	10	10	20	20	20	20	10	20	10	20	20	10	10	10	50	20	10	10	20	10	10	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	408	5	22	5	11	4	13	10	10	10	14	11	9	7	9	20	10	7	3	4	7	7	12	6	7	3	11	10	10	1	0	7	5	4	1	1	17	2	3	2	1	10	0	8	4	10	0	44	2	4	6	4	5	5	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1033	5	18	27	5	12	16	13	5	15	10	2	3	8	3	8	7	7	5	7	6	5	6	34	36	18	10	2	10	4	3	11	3	7	4	4	3	15	5	2	5	34	2	3	2	4	9	20	11	29	2	5	5	9	3	526									
14	Число погашенных неиспользованных открепительных удостоверений	446	15	8	15	4	6	7	0	0	10	0	4	11	3	11	0	10	13	7	6	3	13	8	4	3	7	9	0	0	19	10	13	5	6	9	19	3	18	17	8	19	0	20	12	6	0	10	6	18	6	4	16	5	5	15	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	126	3	18	7	7	3	2	4	9	6	10	5	7	4	3	0	5	2	3	2	0	1	4	0	4	0	1	0	0	0	1	3	0	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	656	8	7	12	16	14	31	22	23	14	22	9	9	12	21	15	13	11	14	17	8	10	6	13	22	9	20	14	9	8	7	13	4	10	12	7	8	6	15	4	9	28	5	9	15	2	7	2	6	16	19	4	11	8	1	19									
		1.82%	1.81%	2.08%	2.15%	2.47%	3.39%	4.03%	3.45%	2.93%	1.96%	2.77%	1.95%	1.91%	2.67%	3.64%	1.93%	2.43%	2.07%	2.05%	2.03%	1.17%	1.34%	1.03%	3.02%	2.44%	1.60%	1.82%	1.55%	1.59%	1.18%	1.72%	1.69%	0.81%	1.23%	1.25%	1.13%	1.10%	0.87%	1.18%	0.65%	1.52%	3.53%	1.33%	1.27%	2.59%	0.41%	1.14%	0.92%	0.65%	2.09%	2.61%	0.99%	1.77%	1.82%	0.14%	1.55%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	910	10	6	13	26	12	14	21	15	18	14	10	12	14	13	21	17	21	31	36	23	28	18	10	21	17	22	17	12	28	6	12	9	18	20	17	15	6	17	9	14	27	5	20	14	8	12	2	20	20	19	8	16	18	19	39									
		2.52%	2.26%	1.78%	2.33%	4.01%	2.91%	1.82%	3.29%	1.91%	2.52%	1.76%	2.17%	2.54%	3.11%	2.25%	2.70%	3.18%	3.95%	4.53%	4.30%	3.35%	3.74%	3.09%	2.32%	2.33%	3.02%	2.01%	1.88%	2.12%	4.12%	1.47%	1.56%	1.81%	2.22%	2.09%	2.73%	2.05%	0.87%	1.33%	1.47%	2.37%	3.40%	1.33%	2.81%	2.42%	1.65%	1.96%	0.92%	2.17%	2.62%	2.61%	1.99%	2.58%	4.10%	2.66%	3.18%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	808	8	3	21	20	13	21	17	24	13	16	5	9	4	15	13	13	14	12	11	15	23	12	6	21	20	27	25	19	12	14	18	8	26	22	9	10	3	14	7	15	16	8	17	14	4	17	2	23	19	27	11	12	24	13	23									
		2.24%	1.81%	0.89%	3.76%	3.09%	3.15%	2.73%	2.66%	3.05%	1.82%	2.01%	1.08%	1.91%	0.89%	2.60%	1.67%	2.43%	2.64%	1.75%	1.31%	2.19%	3.07%	2.06%	1.39%	2.33%	3.55%	2.46%	2.76%	3.36%	1.77%	3.43%	2.35%	1.61%	3.20%	2.30%	1.45%	1.37%	0.43%	1.10%	1.14%	2.54%	2.02%	2.13%	2.39%	2.42%	0.83%	2.78%	0.92%	2.50%	2.49%	3.71%	2.74%	1.94%	5.47%	1.82%	1.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19030	223	185	238	272	178	350	257	365	314	395	192	210	214	248	429	244	288	321	400	355	347	280	196	415	307	614	551	313	391	216	412	295	417	598	345	496	539	885	461	329	406	218	389	283	271	458	104	424	380	327	246	324	211	419	485									
